Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días.,0.0,2,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, vamos a iniciar la conferencia y la semana con el informe de lo que se está haciendo para rescatar a 10 mineros en Sabinas, Coahuila. Y allá está, desde el día de este lamentable suceso, está Laura Velázquez, que es la coordinadora nacional de Protección Civil, y están los comandantes, tanto de la región militar como de la zona militar aplicando el plan DN-III. Vamos a que nos informe Laura Velázquez y luego el general Sandoval va a informar también sobre lo mismo.",0.0,84,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Posteriormente, Ricardo va a informar sobre quién es quién en los precios de los combustibles; después, vamos con los videos y las preguntas y las respuestas.",0.0,26,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Adelante, Laura.",0.0,2,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, ya te escuchamos.",0.0,4,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Gracias, Laura.",0.0,2,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,General.,0.0,1,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, vamos con Ricardo.",0.0,4,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Vamos con los videos.,0.0,4,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Vamos uno, dos, tres, cuatro, cinco, seis y luego nos vamos pa’atrás.",0.0,12,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Bueno, sobre las tres preguntas, desde luego. La primera, que se presenten todos los informes que tengan sobre estos casos a la Secretaría de la Función Pública y a Gobernación, se ve la forma.",0.0,34,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo segundo es que Pemex va a presentarnos también un reporte por esta denuncia que has hecho aquí. Ya seguramente tienen estos datos, aún en lo general. Si es necesario, como se van a tener más elementos, ellos tienen que informarnos.",0.0,41,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Lo tercero es que no hay impunidad para nadie, por lo que estás preguntando Si alguien resulta involucrado en un acto de corrupción, es juzgado o se inicia un proceso para que sea juzgado.",0.0,34,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y lo otro, pues yo estoy muy contento porque tanto trabajadores, técnicos, directivos de Pemex, han actuado con honestidad, y la mejor recompensa es el estar ayudando a rescatar a Pemex, precisamente por su rectitud, porque ya no es la administración anterior o las anteriores, en donde lo que imperaba era la corrupción.",0.0,53,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ha habido cambios importantísimos en el manejo honesto de los recursos de Pemex y esto se refleja en el buen funcionamiento de esta empresa, que estaba en bancarrota y que está renaciendo, está saliendo adelante, está siendo rescatada.",0.0,38,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Tiene utilidades, tiene ganancias para el pueblo de México, está operando muy bien, está siendo muy bien evaluada y esto sin duda está relacionado con el manejo honesto, con evitar la corrupción.",0.0,32,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, sí, a todos los servidores públicos de Pemex que actúan con rectitud se les reconoce por su actuación honesta, y lo vamos a seguir haciendo.",0.0,26,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero, sobre estas denuncias, vamos a investigar.",0.0,7,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Muy bien. Pues vamos a ver con el doctor Alcocer sobre cómo va lo de las denuncias que has presentado.,0.0,20,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y que Alejandro Encinas el día de hoy platique contigo, si te parece, el día de hoy para lo de la protección.",0.0,22,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Muy bien. Adelante.,0.0,3,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," No, pues ahora no. Pero, desde luego, estamos muy contentos porque es un cambio histórico en Colombia.",0.0,17,08,08,2022
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ya he hablado en otras ocasiones de lo que ha significado el conservadurismo en Colombia, muy fuertes, muy duro. Históricamente han impedido que se den los cambios que se requieren en Colombia.",0.0,32,08,08,2022
