Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO SHEFFIELD PADILLA," Buenos días, señor presidente. Muy buenos días a todas y a todos ustedes.",0.0,13,19,09,2022
RICARDO SHEFFIELD PADILLA,Quién es quién en el precio de los combustibles.,0.0,9,19,09,2022
RICARDO SHEFFIELD PADILLA,"Tenemos que el precio de la gasolina regular la semana pasada fue de 21 pesos con 91 centavos, el precio de la Premium, 24 pesos con cuatro centavos y el precio del diésel, 23 pesos con 49 centavos.",0.0,38,19,09,2022
RICARDO SHEFFIELD PADILLA,"La mezcla mexicana de petróleo, con corte al 15 de septiembre, estuvo a 81 dólares con 39 centavos de dólar. Por lo tanto, el incentivo fiscal en esta semana es del 73.3 por ciento para la gasolina regular, 60.6 por ciento para la Premium y 100 por ciento para el diésel, que el diésel es el que más impacta en otros precios porque es el combustible más utilizado en el transporte y en la industria.",0.0,75,19,09,2022
RICARDO SHEFFIELD PADILLA,Seguimos viendo afortunadamente una tendencia a la baja en los precios internacionales de los energéticos.,0.0,15,19,09,2022
RICARDO SHEFFIELD PADILLA,"Las tres gasolineras que dieron más caro en esta semana que cerró: Shell, Chevron y Arco fueron las más careras. Y las aliadas de los consumidores en la semana pasada fue Hidrosina, G500 y Orsan.",0.0,35,19,09,2022
RICARDO SHEFFIELD PADILLA,Vamos a ver las ocho regiones tomando en cuenta el margen:,0.0,11,19,09,2022
RICARDO SHEFFIELD PADILLA,"BP fue la más carera con el margen más alto, en Escárcega, Campeche, un precio al público de 23 pesos con 59 centavos, porque estos angelitos nada más tenían un margen de cuatro pesos con 18 centavos. Y pueden ver que es bastante alto, están embolsando el apoyo, el subsidio, el incentivo fiscal y eso no debe de ser porque es un abuso a los consumidores y un abuso de este incentivo. Y lo vemos cuando el margen es de 18 centavos de franquicia Pemex en La Paz, Baja California, con un precio al público en consecuencia de 20 pesos con 77 centavos.",0.0,103,19,09,2022
RICARDO SHEFFIELD PADILLA,"Vamos ahora a la Premium, en donde franquicia Pemex en Cuauhtémoc, la delegación Cuauhtémoc, aquí en la Ciudad de México, con un precio de 25 pesos 99 centavos y un margen de tres pesos 88 centavos, es la que da más caro con el margen más alto; mientras que Valero en Veracruz, Veracruz, con un precio de 21 pesos 31 centavos y un margen de 17 centavos la más económica.",0.0,70,19,09,2022
RICARDO SHEFFIELD PADILLA,"Y en el diésel la franquicia BP, en Amozoc, Puebla, con un precio al público de 24 pesos 79 centavos y un margen de tres pesos con dos centavos, es la opción más cara; y la más económica, como un referente, es franquicia Pemex en Tuxtla Gutiérrez, en Chiapas, 23 pesos con 11 centavos por litro, un margen de 18 centavos.",0.0,61,19,09,2022
RICARDO SHEFFIELD PADILLA,"Realizamos 530 visitas y/o verificaciones, perdón, 530 denuncias o quejas recibimos a través de la app de Litro por Litro y realizamos 388 visitas o verificaciones.",0.0,26,19,09,2022
RICARDO SHEFFIELD PADILLA,"En dos gasolineras, una en Culiacán, Sinaloa, y una en Tijuana, Baja California, no se dejaron colocar los sellos a pesar de que encontramos irregularidades en esta gasolinera Bravo, de Culiacán. Se nos pusieron, por cierto, muy bravos, pero ya iremos con la Guardia Nacional; y el Servicio de Epigas, en Tijuana, Baja California. Para que lo tomen en cuenta los consumidores, tienen serias irregularidades, deberían de tener sellos y no los dejaron colocar, y no se dejaron verificar, y estaremos visitándolos muy pronto, pero ya en un operativo conjunto de CRE, ASEA y Profeco.",0.0,95,19,09,2022
RICARDO SHEFFIELD PADILLA,"En Cholula, Puebla, dos gasolineras, en Silao, de Servicio Río Salinas, y Servicio Tzilagua, y también una en Tampico, Tamaulipas, y otra más en Acatlán, Puebla.",0.0,26,19,09,2022
RICARDO SHEFFIELD PADILLA,"Por cierto, hicimos un operativo ASEA, CRE y Profeco de forma conjunta a cinco gasolineras aquí en la Ciudad de México, que eran las que más quejas y denuncias habían recibido en la app de Litro por Litro, la mayoría de las quejas era por lo caro del precio en comparación con las demás gasolineras, pero, bueno.",0.0,57,19,09,2022
RICARDO SHEFFIELD PADILLA,"Aprovechando ese tema de no ser nada aliados, ni solidarios con los consumidores, pues revisamos todo y, como era de esperarse, encontramos en cuatro de estas cinco serias irregularidades de diversos temas, y las cuatro fueron cerradas por completo. Una, pues nada más era carera, pero lo demás lo tenía en orden y continúa operando.",0.0,55,19,09,2022
RICARDO SHEFFIELD PADILLA,Les pedimos que nos denuncien las irregularidades a la app de Litro por Litro que se descarga de manera gratuita en el sistema Android e IOS.,0.0,26,19,09,2022
RICARDO SHEFFIELD PADILLA,¿Cuál es el referente de la gasolina regular más barata?,0.0,10,19,09,2022
