Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA," Señor presidente, buenos días.",0.0,4,21,09,2022
PREGUNTA,"Martha Obeso, de Esfera Noticias y de la revista Naturopatía.",0.0,10,21,09,2022
PREGUNTA,"Agradecerle, señor presidente, que el pasado 6 de septiembre en este espacio los titulares de las principales áreas respondieron a unos cuestionamientos expresados a través de Esfera Noticias y Naturopatía, que nos hacen llegar precisamente los representantes de los pueblos originarios de México.",0.0,43,21,09,2022
PREGUNTA,"En esa ocasión el subsecretario de Salud, el doctor Hugo López-Gatell, anunció que la Secretaría de Salud trabaja en la elaboración de un proyecto de norma para regular la importante labor que históricamente han realizado las parteras tradicionales en nuestro país.",0.0,41,21,09,2022
PREGUNTA,"Lamentablemente, señor presidente, la imprecisión con la que el subsecretario hizo este anuncio ha causado gran confusión en servidores públicos de la Secretaría de Salud, de la propia Secretaría de Salud, quienes inmediatamente decidieron empezar a negar a las parteras tradicionales los certificados de nacimientos que ellas gestionan después de realizar su labor.",0.0,53,21,09,2022
PREGUNTA,Y ellas han emitido un comunicado en donde solicitan su intervención y saber si usted está de acuerdo de que antes de que se publique esta norma ya se les esté negando este derecho a recibir los certificados de nacimiento.,0.0,40,21,09,2022
PREGUNTA,"Y, sobre todo, señor presidente, preguntarle si serán tomadas ellas en cuenta para la elaboración de esta norma para regular la partería tradicional en México.",0.0,25,21,09,2022
PREGUNTA," Así es, señor presidente. Sobre todo, aclarar que este anuncio de este proyecto de norma no sé si fue o no fue una orden que dio el sector salud a todas las clínicas que trabajan en estas zonas de pueblos originarios de que ya no se dé ese certificado, se frenó la entrega de los certificados. Entonces, volver a agilizar esa actividad que venían haciendo las parteras.",0.0,67,21,09,2022
PREGUNTA, En Chiapas hay denuncias.,0.0,4,21,09,2022
PREGUNTA," Bueno, el comunicado que compartieron las parteras dice que a partir del 6 de septiembre les empezaron a prohibir este certificado de nacimiento. Entonces, ellas lo están diciendo.",0.0,28,21,09,2022
PREGUNTA," No, pues el 6 de septiembre fue cuando el doctor Hugo Gatell hizo el anuncio, inmediatamente lo que… como actuaron en las clínicas de los pueblos originarios fue negándoles el certificado de nacimiento a las parteras.",0.0,36,21,09,2022
