Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ANA ELIZABETH GARCIA VILCHIS," Con su permiso, señor presidente. Buenos días a todas, a todos.",0.0,11,28,09,2022
ANA ELIZABETH GARCIA VILCHIS,Esta es la sección Quién es quién en las mentiras de la semana del 28 de septiembre de 2022.,0.0,19,28,09,2022
ANA ELIZABETH GARCIA VILCHIS,"Vamos a iniciar con la primera. Con una fotografía sacada de contexto, Reforma y periodistas arman campaña contra las Fuerzas Armadas. El periódico Reforma publicó el 22 de septiembre una fotografía con el título ‘Mirada verde’, con un pie que decía: ‘En el pleno del Senado, un militar tomaba fotos ayer mientras se desarrollaba la sesión. Para hoy en la cámara alta se tiene programada la discusión de la reforma que amplía hasta 2018 la permanencia de la Guardia Nacional en tareas de seguridad pública’.",0.0,85,28,09,2022
ANA ELIZABETH GARCIA VILCHIS,"Aquí vemos en la pantalla la nota de Reforma con la fotografía de un elemento de Comunicación Social de la Secretaría de la Defensa Nacional. La fotografía en cuestión está sacada de contexto ya que el medio de comunicación y otros periodistas usaron la imagen para desprestigiar a la Sedena, argumentando una supuesta intimidación por parte de los elementos del Ejército mexicano a legisladores, señalando que el militar uniformado se encontraba grabando la sesión del Senado de la República.",0.0,79,28,09,2022
ANA ELIZABETH GARCIA VILCHIS,"Cabe mencionar que la presencia del fotógrafo de la Sedena en el salón principal del Senado se dio durante la sesión solemne con motivo de la visita del presidente de la República Federal de Alemania. En el acto protocolario, el mandatario alemán fue recibido por cadetes del Heroico Colegio Militar y una banda de música militar.",0.0,56,28,09,2022
ANA ELIZABETH GARCIA VILCHIS,"Aquí vemos las fotografías del elemento de Comunicación Social de Sedena durante la visita del invitado extranjero. Así que Reforma, con mala leche, quiso inducir a sus lectores a pensar que la Sedena vigila y con ello intimida a los legisladores, pero eso es mentira.",0.0,45,28,09,2022
ANA ELIZABETH GARCIA VILCHIS,"El mismo error, entre comillas, cayeron periodistas y políticos. Por cierto, nadie habló del contexto, así que podemos señalar que se trató de una estrategia de desinformación.",0.0,27,28,09,2022
ANA ELIZABETH GARCIA VILCHIS,"Vean nada más los tuits que distorsionan el uso de la foto, un verdadero nado sincronizado para acusar de militarización, intimidación, espionaje y otras lindezas.",0.0,25,28,09,2022
ANA ELIZABETH GARCIA VILCHIS,"Se sumaron a esta mentira Risco, conductor de noticias del Financiero Bloomberg, con retuit, por supuesto, de Denise Dresser; el periodista Jorge Alejandro Medellín, de La Silla Rota; el economista Jorge Suárez, el medio digital Literal México y el director de la revista Etcétera, Marco Levario. Por cierto, esta no fue la única lista que pudimos sacar de las redes sociales, hay muchos otros que se pronunciaron y no desmintieron.",0.0,70,28,09,2022
ANA ELIZABETH GARCIA VILCHIS,"Este tipo de ataques han sido constantes en las últimas semanas en redes sociales, programas de televisión, radio, columnas de opinión y artículos, derivado del debate legislativo sobre la Guardia Nacional y su integración a la Secretaría de la Defensa Nacional. Eso por un lado y, por el otro, la reforma para que los militares sigan atendiendo tareas de seguridad pública hasta el 2028.",0.0,64,28,09,2022
