Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DAVID MONREAL AVILA," Muchas gracias, señor presidente.",0.0,4,09,09,2022
DAVID MONREAL AVILA,"Bienvenido a Tierra Santa, tierra de gente noble, trabajadora, de gente que ha entregado su confianza y su esperanza a nuestro movimiento, a este movimiento que le ha venido a dar frescura y oportunidad a todo un pueblo; y que hoy, más que nunca, convencido de nuestra lucha y convencido del acompañamiento.",0.0,52,09,09,2022
DAVID MONREAL AVILA,"Por eso, quiero refrendar nuevamente mi compromiso, mi lealtad y mi trabajo en favor del pueblo, el que usted encabeza, como lo ha hecho de manera decidida y de manera contundente.",0.0,31,09,09,2022
DAVID MONREAL AVILA,"Qué mejor regalo en esta fecha para Zacatecas que el día de su aniversario fundacional, 8 de septiembre, esté acá nuestro presidente, porque deben de saber que el presidente desde el día de ayer arribó a Zacatecas, tuve la oportunidad de recibirlo y me da mucha alegría, me da mucho contento, porque además hoy por la mañana, la primera actividad, el Gabinete de Seguridad aquí presente, a quienes también les deseamos una buena estancia y les expresamos nuestra gratitud por el trabajo y por la lucha.",0.0,86,09,09,2022
DAVID MONREAL AVILA,"Al secretario de Gobernación, Adán Augusto, a la secretaría Rosa Icela, que ha estado muy comprometida con Zacatecas y generosa; al general Cresencio Sandoval, que nos ha ayudado mucho, mucho, en esta estrategia; y desde luego a nuestros compañeros de Marina; y a Tiburcio, de la Guardia Nacional; y al general Rafael Ojeda, secretario de Marina, a todos ellos.",0.0,59,09,09,2022
DAVID MONREAL AVILA,"Está también, por la mañana estuvieron los integrantes de la Mesa de Construcción de Paz, pero quiero decirle, señor presidente, que el anhelo de los zacatecanos es recuperar su paz y su tranquilidad.",0.0,33,09,09,2022
DAVID MONREAL AVILA,"Por eso, se lo quiero agradecer a nombre del pueblo de Zacatecas, de todo corazón, porque la gente de Zacatecas somos agradecida y somos gente, como lo dije, noble y buena.",0.0,31,09,09,2022
DAVID MONREAL AVILA,Y puedo constatar de su compromiso en esta materia.,0.0,9,09,09,2022
DAVID MONREAL AVILA,"Y yo estoy convencido que tal como tiene diseñado el programa, atendiendo las causas, vamos a lograr, y desde luego también haciendo estas tareas de contención, de orden, haciendo estas tareas de coordinación.",0.0,33,09,09,2022
DAVID MONREAL AVILA,"Por eso, la historia le tiene ya su lugar, no tengo ninguna duda. Y nosotros queremos seguirle acompañando en ese esfuerzo y en esa lucha.",0.0,25,09,09,2022
DAVID MONREAL AVILA,"Quiero reconocerle, también, toda esa firmeza, audacia, para que se mantengan las Fuerzas Armadas, la Guardia Nacional y la estrategia integral para regresarle la paz al pueblo de México. Lo que sea necesario, nosotros de manera pública como zacatecanos, le decimos: Esta estrategia la necesitamos, la acompañamos, la avalamos.",0.0,49,09,09,2022
DAVID MONREAL AVILA,"Por eso, no vamos a desistir y lo que haya de hacer, lo vamos a hacer para que las Fuerzas Armadas, la Guardia Nacional y la Estrategia de la Construcción de Paz se mantenga, continúe, y que los elementos de estas corporaciones tengan la autoridad que les da esa confianza que le otorga el pueblo de México, porque cuando se le consulta al pueblo con quién se siente seguro, es con el Ejército, con quién se siente seguro es con la Guardia Nacional, con quién se siente seguro es con la Marina, con los que se siente seguro es con esta estrategia que se está llevando a cabo.",0.0,108,09,09,2022
DAVID MONREAL AVILA,"Por eso, señor presidente, bienvenido sea usted a Zacatecas.",0.0,9,09,09,2022
DAVID MONREAL AVILA,"Y seguro estoy, convencido estoy porque conozco de su compromiso con nuestro pueblo, con nuestro estado y con este país, que esta visita, como siempre y como en toda la República, le va a traer bienestar y beneficio a nuestro Zacatecas.",0.0,41,09,09,2022
DAVID MONREAL AVILA,Que Dios nos ayude.,0.0,4,09,09,2022
DAVID MONREAL AVILA,Buenos días a todas y a todos.,0.0,7,09,09,2022
DAVID MONREAL AVILA,Muchas gracias.,0.0,2,09,09,2022
