Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
CLAUDIA SHEINBAUM PARDO," Con su permiso, presidente. Muy buenos días. Muchas gracias, presidente, por permitirnos usar esta tribuna, esta mañanera.",0.0,17,12,01,2023
CLAUDIA SHEINBAUM PARDO,"Lo primero es que quisiera comentarles, el presupuesto del Metro, porque ha habido mucha información que no es real, de que se ha disminuido el presupuesto del Metro de la Ciudad de México. Este año el Metro tiene cerca de 20 mil millones de pesos, 19 mil 700 millones de pesos, arriba del presupuesto del 2022, de 18 mil 800 millones de pesos.",0.0,63,12,01,2023
CLAUDIA SHEINBAUM PARDO,"En 2020 y 21 ven que tuvo un menor presupuesto, pero por la pandemia el número de usuarios del Metro disminuyó en más de la mitad, prácticamente una cuarta parte, y comparado con el 2018, que fue de 15 mil 500 millones, pues hoy tenemos cuatro mil millones de pesos más del presupuesto del Metro. Para que se sepa que no hay una disminución.",0.0,64,12,01,2023
CLAUDIA SHEINBAUM PARDO,"Segundo, estamos llevando a cabo obras muy importantes en el Metro. La primera es la completa rehabilitación de la Línea 1 del Metro, se están adquiriendo 29 trenes y se está cambiando completamente todo lo que queda en el túnel, las vías, el balasto, los durmientes, etcétera, para hacer completamente una nueva Línea 1. Es una inversión de cerca de 37 mil 500 millones de pesos que se va a pagar en los siguientes 10 años, que ya está en desarrollo, y que la primera etapa va a ser abierta a finales de febrero, principios de marzo de este año.",0.0,100,12,01,2023
CLAUDIA SHEINBAUM PARDO,"Por otro lado, una inversión también millonaria que estamos haciendo con Comisión Federal de Electricidad, que ya está lista, va a ser presentada la próxima semana que se llama Metro Energía, cuatro mil 500 millones de pesos, es la adquisición de cuatro transformadores, una subestación eléctrica, el cambio de cables, el incremento en el voltaje, es decir, la garantía del suministro de energía eléctrica y todas sus instalaciones para la Línea 1 y 2 y 3, que se está desarrollando en este momento, y que su primera etapa que abarca cerca del 60 por ciento ya está lista y va a ser puesta en marcha la próxima semana.",0.0,108,12,01,2023
CLAUDIA SHEINBAUM PARDO,"Y, por otro lado, el cambio de un Centro de Control, que hoy está instalado en el C5, y que está ya funcionando y adaptándose a la nueva situación.",0.0,29,12,01,2023
CLAUDIA SHEINBAUM PARDO,"Es decir, una inversión muy importante, dado que el Metro tiene… La Línea 1 cumple este año 54 años, y de igual manera la Línea 2 y 3 pues tienen ya una edad importante. Además, se ha hecho un sistema de supervisión, de seguimiento de todo el mantenimiento.",0.0,48,12,01,2023
CLAUDIA SHEINBAUM PARDO,"He instalado una comisión desde finales del año pasado para hacer un diagnóstico especial del Metro. Y si requiere más presupuesto, se va a tener, pero basado en un diagnóstico específico para poder mejorar todas las condiciones del Metro.",0.0,39,12,01,2023
CLAUDIA SHEINBAUM PARDO,"Aun así, han venido ocurriendo en los últimos meses episodios que nosotros catalogamos como fuera de lo normal, que no son lo que normalmente ocurre en el Metro. Después del trágico accidente, del terrible accidente que tuvimos en donde falleció una joven —primero quiero decirles además que se ha estado atendiendo a todas las víctimas de manera personalizada y a todas las familias— después de esto, ese mismo día en la tarde tuvimos un problema en la Línea 3 de una zapata del tren, al siguiente día se tuvo un problema en la Línea 8, el día de ayer un problema en la Línea 5, con una llanta lateral que fue revisada un día antes.",0.0,115,12,01,2023
CLAUDIA SHEINBAUM PARDO,"Y por esta razón el día de ayer por la tarde me permití hablar con el presidente de la República y solicitarle la presencia de la Guardia Nacional en el Metro de la Ciudad de México. Esto fue aceptado, de tal manera que a partir del día de hoy de las 2:00 de la tarde, y agradezco el apoyo, la Guardia Nacional estará presente en las estaciones del Metro y en algunas otras instalaciones con seis mil 60 elementos.",0.0,79,12,01,2023
