Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JAVIER MAY RODRIGUEZ," Con su permiso, señor presidente. Muy buenos días.",0.0,8,12,01,2023
JAVIER MAY RODRIGUEZ,"El Tren Maya es una obra muy importante del Gobierno de México que va a rescatar del olvido al sureste mexicano. Por ello, además de los programas para el Bienestar, que ya se aplican en esta región del país, cumplimos la instrucción del presidente de aplicar un plan integral de desarrollo con acciones sociales específicas para las localidades por donde va a pasar el tren.",0.0,65,12,01,2023
JAVIER MAY RODRIGUEZ,El Plan Integral de Desarrollo incluye 432 obras y acciones sociales que se aplican en 127 localidades de 34 municipios de los cinco estados que comprenden la ruta del tren.,0.0,30,12,01,2023
JAVIER MAY RODRIGUEZ,"Se trata de calles, caminos para las localidades, fomento a las actividades apícolas, agropecuarias, mejoramiento de espacios públicos y recreativos, red eléctrica, caminos, cosecheros y obras hidráulicas educativas, de salud, casas ejidales y casas culturales.",0.0,35,12,01,2023
JAVIER MAY RODRIGUEZ,"Todas estas obras y acciones parten de un esquema absolutamente democrático, donde la participación es muy importante de las comunidades. En las comunidades es la propia gente la que decide cuáles son sus prioridades y las obras que se requieren.",0.0,40,12,01,2023
JAVIER MAY RODRIGUEZ,"En Chiapas el Plan Integral de Desarrollo incluye 26 obras y acciones donde las principales prioridades fueron infraestructura educativa y de salud, así como calles y caminos.",0.0,27,12,01,2023
JAVIER MAY RODRIGUEZ,"En Tabasco se realizan 31 obras y acciones como calles y caminos, infraestructura hidráulica y caminos cosecheros.",0.0,17,12,01,2023
JAVIER MAY RODRIGUEZ,"En Campeche son 147 las obras y acciones del plan integral de desarrollo con prioridades en calles y caminos, espacios públicos y recreativos y caminos cosecheros.",0.0,26,12,01,2023
JAVIER MAY RODRIGUEZ,"En el estado de Yucatán suman 210 las obras y acciones sociales. Ahí la población eligió sobre todo obras como calles, caminos, espacios públicos y recreativos, y además de electrificación y fomento a la productividad.",0.0,35,12,01,2023
JAVIER MAY RODRIGUEZ,"Y en Quintana Roo son 18 obras y acciones como calles y caminos, infraestructura ejidal y red eléctrica.",0.0,18,12,01,2023
JAVIER MAY RODRIGUEZ,"Es importante destacar que en todos los casos los mismos hombres y mujeres de las comunidades han integrado comités de contraloría social para vigilar los trabajos, los cuales se están terminando en un plazo muy corto.",0.0,36,12,01,2023
JAVIER MAY RODRIGUEZ,"En las obras del Plan Integral de Desarrollo del Tren Maya acabamos con el burocratismo, con las largas esperas de años y de gestiones, por supuesto no permitimos la corrupción.",0.0,30,12,01,2023
JAVIER MAY RODRIGUEZ,"La vocación del Tren Maya también ha permitido atender necesidades en las comunidades de comunicar con internet diversas comunidades. En total, han sido 83 solicitudes recibidas, de las cuales 48 ya fueron atendidas con servicio de internet, instalado sobre todo en escuelas, y las otras 36 están en proceso. La instalación de internet se realiza en 61 localidades de 18 municipios de los cinco estados por donde la ruta del tren.",0.0,71,12,01,2023
JAVIER MAY RODRIGUEZ,"De manera adicional, el Plan Integral de Desarrollo comprende cuatro mil 152 acciones de viviendas para familias que fueron relocalizadas por el derecho de vía. Se trata de una acción muy importante del Gobierno de México que demuestra que el Tren Maya no es una obra impuesta ni de despojo, no despoja a nadie, sino todo lo contrario, se ha realizado con diálogo, con acuerdos, sin desamparar a nadie.",0.0,69,12,01,2023
JAVIER MAY RODRIGUEZ,"De las cuatro mil 152 acciones de viviendas, tres mil 800 son apoyos para mejoramiento de sus casas y 352 son viviendas nuevas, viviendas dignas entregadas, listas para ser habitadas. Son 253 viviendas nuevas en Campeche, son 71 en Tabasco, 22 en Yucatán, seis en Quintana Roo.",0.0,47,12,01,2023
JAVIER MAY RODRIGUEZ,"El Tren Maya es mucho más que vías y vagones, es una obra integral que impulsará el desarrollo. No puede haber desarrollo, no puede haber progreso, sin justicia.",0.0,28,12,01,2023
JAVIER MAY RODRIGUEZ,"Es cuanto, presidente.",0.0,3,12,01,2023
JAVIER MAY RODRIGUEZ,Pasamos el video.,0.0,3,12,01,2023
JAVIER MAY RODRIGUEZ," Es cuanto, presidente.",0.0,3,12,01,2023
