Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JOSE RAFAEL OJEDA DURAN," Con su permiso, señor presidente. Muy buenos días.",0.0,8,17,01,2023
JOSE RAFAEL OJEDA DURAN,"Vamos a empezar con el informe de seguridad conjunto del 3 al 16 de enero. Este es el estado de fuerza en el que ―la anterior, por favor― se tiene actualmente desplegado ahorita en el territorio nacional, 239 mil 372 elementos, de los cuales el 75 por ciento es el operativo y el 25 restante, 59 mil 891, son el apoyo logístico para que operen estos.",0.0,66,17,01,2023
JOSE RAFAEL OJEDA DURAN,"Personal desplegado, ahorita de estos siete eventos hay 23 mil 490, lo vamos a estar viendo uno por uno.",0.0,19,17,01,2023
JOSE RAFAEL OJEDA DURAN,"En el mantenimiento del Estado de derecho en la mar, en el aire y en la tierra, por parte de esta secretaría se llevaron a cabo en el mar 250 operaciones, en el aire 190 y en la tierra 170 operaciones. Desplegados, nueve mil 900 elementos.",0.0,46,17,01,2023
JOSE RAFAEL OJEDA DURAN,"En la protección marítima y portuaria me refiero a la seguridad en los puertos, se llevaron a cabo inspecciones, como lo podemos ver, de vehículos, 41 mil 850; personas, 123 mil 600; contenedores, 14 mil; buques o embarcaciones, 310; maletas y paquetería, 17 mil; inspecciones a buques con drones submarinos, fueron a seis.",0.0,53,17,01,2023
JOSE RAFAEL OJEDA DURAN,"Se aseguraron dos contenedores con posible metanfetamina. Se están haciendo las evaluaciones para ver si es o no metanfetaminas, en su momento se dará la comunicación. Hay mil 700 personas desplegadas ahí.",0.0,32,17,01,2023
JOSE RAFAEL OJEDA DURAN,"Aduanas marítimas portuarias, ya se hizo la licitación, se van a adquirir 173 equipos de revisión no intrusiva con una inversión de ocho mil 74 millones de pesos. Estos son los equipos que se van a comprar, como se ve ahí.",0.0,41,17,01,2023
JOSE RAFAEL OJEDA DURAN,¿Qué vamos a tener con esto?,0.0,6,17,01,2023
JOSE RAFAEL OJEDA DURAN,"Pues, desde luego, incrementar la capacidad de revisión y detección no intrusiva en mercancías.",0.0,14,17,01,2023
JOSE RAFAEL OJEDA DURAN,"Y lo que se ganó también es una migración de tecnología de rayos gama a rayos X, esto nos va a dar mayor seguridad y mayor profundidad en las revisiones.",0.0,30,17,01,2023
JOSE RAFAEL OJEDA DURAN,"Aquí lo podemos ver, son 16 aduanas marítimas, dos interiores, tenemos desplegados nosotros 290 elementos de la Marina y dos mil 194 civiles.",0.0,23,17,01,2023
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere al aeropuerto de la Ciudad de México, acciones que se dieron en este periodo, acciones y apoyos, fueron 63; apoyos médicos, 18; ayudas a migración y no los inadmitidos, fueron 540 personas; recorridos de seguridad, 290; inspecciones a maletas, a aeronaves, en total nueve mil 300, tenemos desplegados ahí mil 500 elementos.",0.0,57,17,01,2023
JOSE RAFAEL OJEDA DURAN,"En tres ocasiones se inició el protocolo por alertamiento de sustancias explosivas, activándose el equipo de búsqueda, localización y neutralización en los medios que se cuentan, pues el binomio canino detector de explosivos, equipo de detección de sustancias explosivas y un equipo de análisis.",0.0,44,17,01,2023
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a uso de inteligencia, gracias a la inteligencia en Atizapán de Zaragoza se detuvo a una persona con apoyo de la Fiscalía General de la República, a José ‘N’, el jefe regional del cártel de los Beltrán Leyva en el estado de Nuevo León, es uno de los 10 más buscados por el FBI.",0.0,59,17,01,2023
