Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO SHEFFIELD PADILLA," Buenos días, señor presidente; buenos días a todas y a todos ustedes.",0.0,12,23,01,2023
RICARDO SHEFFIELD PADILLA,"Quién es quién en el precio de los combustibles. Tenemos que, con corte el 19 de enero, la mezcla mexicana de petróleo estuvo a 69 dólares con 88 centavos de dólar el barril.",0.0,33,23,01,2023
RICARDO SHEFFIELD PADILLA,"Vemos, si ustedes notan la gráfica, una ligera tendencia a la alza, lo cual es normal por la temporada invernal, es una cuestión cíclica. Lo bueno es que sí han bajado sustancialmente sus precios a nivel internacional y en consecuencia el precio de la gasolina regular en México la semana pasada fue de 22 pesos con cuatro centavos, el de Premium 24 pesos con 17 centavos y el del diésel 23 pesos con 64 centavos.",0.0,75,23,01,2023
RICARDO SHEFFIELD PADILLA,"El incentivo fiscal para esta semana es del 64.8 por ciento en el caso de la regular, del 47.1 por ciento para la Premium y del 89.4 por ciento para el diésel.",0.0,32,23,01,2023
RICARDO SHEFFIELD PADILLA,"¿Cuáles fueron las tres marcas más careras la semana pasada en gasolina, diésel y Premium?",0.0,15,23,01,2023
RICARDO SHEFFIELD PADILLA,"Fue Arco, Chevron y Acron. Y las tres aliadas de los consumidores esta semana que cerró fue G500, BP y Total.",0.0,21,23,01,2023
RICARDO SHEFFIELD PADILLA,"Vamos ahora a ver el precio más alto, con el margen más alto, por cada uno de los productos, y lo pueden ver ustedes en las ocho regiones. En este caso, con un margen de dos pesos con 60 centavos, mucho más bajo que los márgenes altos de la semana anterior, tenemos que el precio más alto, con el margen más alto, está en franquicia Pemex, en Las Choapas, Veracruz, a 23 pesos con 28 centavos precio al público por litro; mientras que la más económica, con un margen de 15 centavos, fue Mobil, en Zacatecas, Zacatecas, con un precio al público de 21 pesos con 29 centavos.",0.0,108,23,01,2023
RICARDO SHEFFIELD PADILLA,"Para la Premium, la más alta, fue de una gasolinera de Mobil, en Monclova, Coahuila, un precio al público de 25 pesos con 89 centavos, un margen de tres pesos con 40 centavos, contra 15 centavos de margen que tiene franquicia Pemex, en Boca del Río, Veracruz, un precio al público mucho más bajo en consecuencia, 21 pesos con 97 centavos.",0.0,61,23,01,2023
RICARDO SHEFFIELD PADILLA,"Y en el diésel, el precio más alto, con el margen más alto, fue de Pemex, en Cancún, Quintana Roo, 25 pesos con ocho centavos, es esta gasolinera con un margen de tres pesos 14 centavos; mientras que el más económico fue de la cadena Tesoro, en La Paz, Baja California Sur, 23 pesos con 69 centavos por litro de diésel, un margen de 23 centavos.",0.0,66,23,01,2023
RICARDO SHEFFIELD PADILLA,"Recibimos a través de la app de Litro por Litro 199 denuncias o quejas, y las atendimos a través de 271 visitas o verificaciones.",0.0,24,23,01,2023
RICARDO SHEFFIELD PADILLA,"Tuvimos una gasolinera que no se dejó verificar, ya se hizo acreedora a una multa de más de 800 mil pesos, esto es en Silao, Guanajuato, Servicio Lateral, por algún motivo habrá impedido que hiciéramos la verificación conforme corresponde a la ley; y también dos gasolineras que no dejaron colocar los sellos porque tienen irregularidades, una en Salamanca, Guanajuato, en Hidalgo 1919, allá mis paisanos guanajuatenses, y en Tarímbaro, Michoacán, en Franco Gaona 315, estas dos gasolineras no permitieron la colocación de sellos.",0.0,83,23,01,2023
RICARDO SHEFFIELD PADILLA,"Vamos ahora a ver cuál es la más cara y la más barata como un referente, una manera de comparar que nuestro proveedor esté en los altos, en los bajos o en la media de estos precios. Para la gasolina regular, sin tomar en cuenta el margen, la más barata fue en Saltillo, Coahuila, Cargo Gas, 17 pesos con 39 centavos, muy económica; y 18 pesos con 39 centavos de la Phillips 66 en Querétaro, Querétaro.",0.0,76,23,01,2023
RICARDO SHEFFIELD PADILLA,"Mientras que las más caras para la regular fue 24 pesos con 22 centavos en Chilpancingo, Guerrero. Y ahí mismo en Chilpancingo Petro, 24 pesos con 20 centavos, ahí le andan cargando las pulgas a Chilpancingo, habrá que revisar más a detalle qué está pasando ahí.",0.0,46,23,01,2023
RICARDO SHEFFIELD PADILLA,"En la Premium, la más barata a 21 pesos con 73 centavos de franquicia Pemex en Veracruz, Veracruz; y 21.07 también de Pemex en Boca del Río, Veracruz. Las más caras 26 pesos con 84 centavos para variar de Shell en el Estado de México, en Atizapán; y 26 pesos con 56 centavos de franquicia Pemex en Tepelmeme, Morelos, Oaxaca.",0.0,60,23,01,2023
RICARDO SHEFFIELD PADILLA,"Y para el diésel, la más económica 22 pesos con 79 centavos de BP en Coatzacoalcos, Veracruz; y 22 pesos 79 centavos de franquicia Pemex en Veracruz, Veracruz. La más cara 26 pesos con 50 centavos también de franquicia Pemex eh Jilotlán, Jalisco; y 26 pesos con 19 centavos Gas 57 en Monclova, Coahuila.",0.0,54,23,01,2023
RICARDO SHEFFIELD PADILLA,Seguimos también revisando los servicios sanitarios en las gasolineras para que de preferencia no los cobren y sobre todo que los tengan en buen estado y limpios.,0.0,27,23,01,2023
RICARDO SHEFFIELD PADILLA,"Vamos a ver ahora el gas LP. En gas LP, si hacemos un corte el 18 de enero y convertimos a kilos a pesos el precio internacional del gas, tenemos que estuvo a 22 pesos con 49 centavos, mientras que el promedio la semana pasada en todo México para cilindros de gas fue de 19 pesos con 72 centavos por kilo. Ese mismo día, 12 pesos con 16 centavos por litro para tanques estacionarios; 10 pesos con 65 centavos el promedio de las 220 regiones en que se divide el país.",0.0,91,23,01,2023
RICARDO SHEFFIELD PADILLA,"Seguimos encontrando proveedores aliados de los consumidores en el gas LP. Tenemos casos por abajo del precio máximo de su región en el Estado de México, en Jalisco, en Veracruz, en Puebla y en Nuevo León. Un ejemplo, Gas Premium, de San Simón de Guerrero, Estado de México, lo tiene al precio al público a 10 pesos con 14 centavos el litro, cuando el precio máximo es de 11 pesos con nueve centavos, casi un peso abajo, aliados de los consumidores estos en el caso del Gas LP.",0.0,88,23,01,2023
RICARDO SHEFFIELD PADILLA,"Y tenemos también ejemplos para cilindros de gas donde hay quien da por abajo del precio máximo en Jalisco, en el Estado de México, en Guanajuato y en Guerrero. Gas Butep, en Zapotlanejo, Jalisco, lo tiene a 19 pesos con 91 centavos el kilo, cuando el precio máximo de la región es de 20 pesos con 70 centavos, prácticamente 80 centavos abajo del precio máximo.",0.0,65,23,01,2023
RICARDO SHEFFIELD PADILLA,Realizamos 807 visitas y/o verificaciones. En esta ocasión encontramos todas las que visitamos respetando los precios máximos y sin ninguna falta grave.,0.0,22,23,01,2023
RICARDO SHEFFIELD PADILLA,"Vamos ahora a ver quién es quién en los 24 productos de la canasta básica, de los 24 productos más consumidos por las familias mexicanas. Tenemos un muy ligero aumento en el caso de los precios de promedio alto y una baja, también pequeña, en el caso de los promedios de precios bajos. Y ya estaremos viendo la próxima semana los resultados del Índice Nacional de Precios al consumidor de bebidas y alimentos, aunque ya estamos empezando a ver cierta estabilidad en esos precios.",0.0,84,23,01,2023
RICARDO SHEFFIELD PADILLA,"Tenemos nosotros en la región zona centro, donde el precio más alto lo encontramos en Walmart, de la Benito Juárez, aquí en la Ciudad de México, por los 24 productos, 992 pesos con 30 centavos; mientras que esos mismos 24 productos los encontramos en Tlaxcala, Tlaxcala, en 897 pesos con 90 centavos y 60 pesos más barato en la Central de Abastos de Iztapalapa, que el precio más alto aquí de la Ciudad de México, en 930 pesos con 50 centavos.",0.0,81,23,01,2023
RICARDO SHEFFIELD PADILLA,"Vamos a la zona centro norte, donde el precio más alto lo encontramos en Walmart, en Guadalajara, Jalisco, a mil 74 pesos con 30 centavos, mientras que en mismo Walmart tiene el precio más bajo en Morelia, Michoacán, a 904 pesos este mismo paquete. Ojalá Walmart lo pudiera dar igual en Guadalajara para que también se alíen con esos consumidores.",0.0,60,23,01,2023
RICARDO SHEFFIELD PADILLA,"En esta semana que pasó el precio más alto en la zona norte lo encontramos en HEB, Saltillo, Coahuila, a mil 73 pesos, mientras que el más económico es en Mercado Soriana, en Chihuahua, Chihuahua, a 920 pesos con 10 centavos por los mismos 24 productos en las mismas cantidades.",0.0,50,23,01,2023
RICARDO SHEFFIELD PADILLA,"Y, por último, en la zona sur sureste, la Central de Abastos de Mérida, Yucatán, tiene el precio más alto a mil 105 pesos con 16 centavos a menudeo, mientras que Soriana Híper en Acapulco, Guerrero, tiene este paquete al precio más bajo de la zona a 881 pesos con 20 centavos.",0.0,52,23,01,2023
RICARDO SHEFFIELD PADILLA,Muchas gracias.,0.0,2,23,01,2023
RICARDO SHEFFIELD PADILLA," Si me presentan las gráficas, por favor. Sí, tenemos el reporte enfocado a seguros para automóviles y primero habría que comentar que hay 32 empresas que venden seguros para automóviles en nuestro país, pero de esas 32 son cinco las que destacan:",0.0,42,23,01,2023
RICARDO SHEFFIELD PADILLA,"Es Quálitas, que tiene prácticamente la cuarta parte de los seguros para autos; por tanto, pues va a tener por lo menos la cuarta parte de las quejas, y no es el caso, ya veremos.",0.0,35,23,01,2023
RICARDO SHEFFIELD PADILLA,"Grupo Nacional Provincial, que tienen 13 por ciento del mercado.",0.0,10,23,01,2023
RICARDO SHEFFIELD PADILLA,"Chubb, que tiene 11.8.",0.0,4,23,01,2023
RICARDO SHEFFIELD PADILLA,"Axa Seguros, nueve por ciento.",0.0,5,23,01,2023
RICARDO SHEFFIELD PADILLA,"Y Seguros Bancomer, tiene 7.5 por ciento.",0.0,7,23,01,2023
RICARDO SHEFFIELD PADILLA,"También habría que mencionar que hubo una baja en los accidentes, en los siniestros, en el año 2020 y 2021, lo cual es lógico porque bajó significativamente la circulación, aquí mismo en la Ciudad de México podrías ir caminando en el 2020 en medio de la calle y casi no pasaban coches; ahora este año que cerró, el 2022, pues regresó la normalidad en el tráfico y regresaron los mismos números de accidentes, de siniestros, que en el año 2019. Entonces, no es de llamar la atención ese tema.",0.0,89,23,01,2023
RICARDO SHEFFIELD PADILLA,"Tenemos nosotros que la principal causa de reclamación es porque no se entrega a tiempo el vehículo reparado, nada más que aquí tenemos un problema a nivel mundial: no hay abasto de refacciones, y las refacciones no las hacen las aseguradoras, las hacen en la industria.",0.0,46,23,01,2023
