Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JESUS RAMIREZ CUEVAS," Bueno, esto es la nota de La Jornada, del corresponsal David Brooks de La Jornada, del juicio en Nueva York en contra de Genaro García Luna.",0.0,26,24,01,2023
JESUS RAMIREZ CUEVAS, O hablo más fuerte.,0.0,4,24,01,2023
JESUS RAMIREZ CUEVAS," Se oye bien, ¿verdad?",0.0,4,24,01,2023
JESUS RAMIREZ CUEVAS,"Bueno, esta es la nota de David Brooks, el corresponsal de La Jornada sobre el caso del juicio en Nueva York contra Genaro García Luna, exsecretario de Seguridad Pública en el gobierno de Calderón, dice la nota:",0.0,37,24,01,2023
JESUS RAMIREZ CUEVAS,"‘El Grande Villarreal, que es Sergio Villarreal, uno de los miembros del cártel de los Beltrán Leyva detalla sobornos a García Luna, la defensa dice que no hay pruebas y, bueno, la nota dice así.",0.0,35,24,01,2023
JESUS RAMIREZ CUEVAS,"‘El fiscal comenzó su caso contra Genaro García Luna acusando que el entonces jefe policiaco nacional “traicionó” tanto a México como a Estados Unidos al volverse cómplice del entonces cártel más poderoso de su país y presentó a un ex narcotraficante que dijo que atestiguó la entrega de sobornos multimillonarios al acusado, mientras que la defensa argumentó que “no hay pruebas” más que las de los narcos que el propio ex funcionario encarceló y que este juicio es de hecho un acto de venganza de esos criminales y oficiales corruptos que el acusado persiguió.",0.0,94,24,01,2023
JESUS RAMIREZ CUEVAS,"‘Frente el jurado y apuntando a García Luna -quien estaba sentado en la mesa de defensa en un traje gris y que al llegar saludó con la mano sobre su corazón y una sonrisa a su esposa e hija que estaban con el público atrás en la sala-, el fiscal asistente Phillip Pilmar acusó, en el argumento de apertura de la fiscalía federal, que el exmáximo funcionario de seguridad pública en México aceptó millones de dólares de un cártel para permitir el traslado de toneladas de cocaína a Estados Unidos. Sostuvo que al final del juicio, este jurado determinará que el hombre que traicionó a su país y al nuestro es culpable de todos los cargos.",0.0,116,24,01,2023
JESUS RAMIREZ CUEVAS,"‘El primer testimonio del caso. Dice: ‘El primer testigo convocado por el equipo de fiscales federales fue el expolicía y después narcotraficante Sergio El Grande Villarreal Barragán, quien detalló múltiples ocasiones en que acompañó a su jefe Arturo Beltrán Leyva en reuniones en donde se le entregaba a García Luna un millón y medio de dólares cada mes. El ahora procesado era entonces jefe de la Agencia Federal de Investigaciones, AFI, durante el sexenio de Vicente Fox, y el pago era para protegiera el negocio del cártel de Sinaloa. Estos pagos solían ser, dijo el testigo, en billetes de 100 empaquetados dentro de una maleta chorizo negra.",0.0,107,24,01,2023
JESUS RAMIREZ CUEVAS,"‘Villarreal contó que, en una ocasión, cuando él y su gente logró interceder un cargamento de dos toneladas de cocaína de sus rivales del cártel del Golfo, actuaron según el acuerdo que tenían con la AFI en estos casos, cada quien se quedaba con una mitad. Por lo tanto, entregaron personalmente a García Luna un pago de entre 14 a 16 millones de dólares, en billetes de 20 empacados en cajas de cartón.",0.0,73,24,01,2023
JESUS RAMIREZ CUEVAS,"‘También había regalos. Arturo Beltrán Leyva, quien aparentemente gustaba vestirse como un rapero rico, con ropa de lujo, exótica y joyería, y tener autos como los Rolls Royce, Ferrari y Mercedes Benz, casas de lujo y animales como panteras negras y tigres blancos, le regaló una motocicleta Harley Davidson edición especial a García Luna.",0.0,54,24,01,2023
JESUS RAMIREZ CUEVAS,"‘El Grande, quien mide unos dos metros de alto, declaró que, por parte del cártel de Sinaloa, el encargado de pagarle a García Luna cuando era jefe de la AFI desde 2001 era Arturo Beltrán Leyva.",0.0,36,24,01,2023
JESUS RAMIREZ CUEVAS,‘Indicó que la participación de García Luna fue clave en el crecimiento del cártel tanto en control de territorio como en el volumen de su comercio de drogas y también ‘en eliminar a nuestros rivales’.,0.0,35,24,01,2023
JESUS RAMIREZ CUEVAS,"‘Detalló que el acusado, a cambio de los sobornos, ‘nos daba información sobre operativos, nos ayudó a tener o quitar agentes en México, compartió información para ayudarnos a golpear a rivales. Afirmó que García Luna también avisaba si otras fuerzas de seguridad preparaban contra integrantes del cártel, incluyendo los impulsados por inteligencia de otros gobiernos. ‘Sin su apoyo, hubiera sido imposible el crecimiento del cártel, repitió varias veces.",0.0,68,24,01,2023
JESUS RAMIREZ CUEVAS,"‘Durante horas, guiado por el interrogatorio de la fiscal asistente, Erin Reid, Villarreal Barragán brindó detalles de esta relación, informó que los pagos multimillonarios a García Luna y su gente eran una polla de varios capos del cártel de Sinaloa: los Zambada, Joaquín ‘Chapo’ Guzmán y los Beltrán Leyva, y después de una ruptura, directamente de los últimos. Se referían al jefe del AFI como ‘el compa’ o ‘el Tartamudo, por su problema al hablar.",0.0,75,24,01,2023
JESUS RAMIREZ CUEVAS,"‘El Grande subrayó que presenció por lo menos 20 reuniones entre García Luna y Arturo Beltrán Leyva en una casa de seguridad en el sur de la Ciudad de México donde se le entregaba su pago mensual. La casa estaba cerca de Perisur, donde recogían al jefe de la AFI y algunos de sus hombres como Luis Cárdenas Palomino, para traerlos al lugar, el cual también estaba cerca de la iglesia conocida como ‘la Paloma’ que le gustaba al capo.",0.0,80,24,01,2023
JESUS RAMIREZ CUEVAS,"‘El testigo reportó que los jefes del cártel consideraban el negocio con García Luna ‘como la mejor inversión que teníamos, no teníamos ningún problema’.",0.0,24,24,01,2023
JESUS RAMIREZ CUEVAS,"‘La fiscal usó su testigo para identificar a un número de comandantes de la AFI que fueron parte del canal corrupto de García Luna, incluyendo a Cárdenas Palomino y Ramón Pequeño, también acusados en este mismo caso.",0.0,37,24,01,2023
JESUS RAMIREZ CUEVAS,"‘El Grande, quien sólo abordó hasta ahora el periodo de García Luna como director de la AFI durante el gobierno de Fox, continuará declarando este martes por segundo día, y sólo es el primero de varios exnarcotraficantes que se presentarán en este juicio.",0.0,43,24,01,2023
JESUS RAMIREZ CUEVAS,"‘La defensa, encabezada por el abogado de oficio, César de Castro, ofreció sus argumentos de apertura subrayando al jurado que el caso en contra de García Luna gira exclusivamente en las declaraciones de narcotraficantes que están cooperando con el gobierno a cambio de una reducción de sus sentencias o que son testigos protegidos. ‘Todos culpables de algunos de los peores delitos y que comparten otra cosa: “todos los testigos del gobierno fueron víctimas de esta guerra encabezada por García Luna’, señaló el defensor. Más aún, enfatizó que ‘no hay pruebas más allá de estos testimonios. “No hay dinero, no hay llamadas telefónicas, no hay fotos, no hay evidencia creíble en el caso’.",0.0,112,24,01,2023
JESUS RAMIREZ CUEVAS,"‘En su presentación, el abogado expuso la biografía profesional de su cliente, desde su paso por Centro de Investigaciones de Seguridad Nacional, CISEN, hasta la Secretaría de Seguridad Pública, donde fue “la cara pública de la guerra contra las drogas. García Luna comprobó con sus acciones que fue ‘enemigo de los cárteles” y de los policías y políticos corruptos’, añadió el defensor.",0.0,62,24,01,2023
JESUS RAMIREZ CUEVAS,"‘Recordó que el ahora acusado fue quien encabezó la implementación de la Iniciativa Mérida y que fue reconocido no sólo en su propio país, sino por sus contrapartes estadunidenses. Mostró al jurado fotos de quien fuera el secretario de Seguridad Pública durante el sexenio de Felipe Calderón junto con la entonces directora de la Agencia Antidrogas de Estados Unidos, DEA, la entonces secretaria de Estado Hillary Clinton, senadores como John McCain y Lindsey Graham, y hasta saludando al presidente Barack Obama.",0.0,81,24,01,2023
JESUS RAMIREZ CUEVAS,"‘Acusó que, en el fondo, este juicio es una venganza de narcotraficantes y funcionarios corruptos contra ‘el hombre que más odian’ y advirtió al jurado que ‘los cárteles que él cazó y los oficiales corruptos que él saco quieren que ustedes les ayuden a buscar la venganza’.",0.0,47,24,01,2023
JESUS RAMIREZ CUEVAS,‘García Luna enfrenta cinco cargos criminales y si es declarado culpable por este jurado enfrenta una condena máxima de cadena perpetua y mínima de 20 años de prisión.,0.0,28,24,01,2023
JESUS RAMIREZ CUEVAS,‘El juez Brian Cogan surbayó al jurado que el acusado es presunto inocente hasta que el gobierno compruebe más allá de la duda razonable las acusaciones en su contra.’,0.0,29,24,01,2023
JESUS RAMIREZ CUEVAS,Eso es todo lo que se reportó el día de ayer.,0.0,11,24,01,2023
JESUS RAMIREZ CUEVAS, Ya lo van a…,0.0,4,24,01,2023
JESUS RAMIREZ CUEVAS," Ya lo anunciaron; entonces, vamos a esperar.",0.0,7,24,01,2023
JESUS RAMIREZ CUEVAS, (Inaudible),0.0,1,24,01,2023
JESUS RAMIREZ CUEVAS, Manuel Montes.,0.0,2,24,01,2023
JESUS RAMIREZ CUEVAS, El director general.,0.0,3,24,01,2023
