Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ANA ELIZABETH GARCIA VILCHIS," Con su permiso, señor presidente. Buenos días a todos, a todas, a los que nos ven a través de redes sociales en cualquier rincón del país.",0.0,26,25,01,2023
ANA ELIZABETH GARCIA VILCHIS,"Vamos a iniciar la sección ‘Quién es quién en las mentiras de la semana’, hoy es 25 de enero de 2023.",0.0,21,25,01,2023
ANA ELIZABETH GARCIA VILCHIS,"Y, bueno, la oposición se pinta de cuerpo entero, lucran y festinan con el supuesto fallecimiento del fiscal Alejandro Gertz. Primero fueron medios de comunicación como El Financiero, Tabasco Hoy y PrimeraPlana.Mx, que inventaron y publicaron como información que el fiscal general de la República, Alejandro Gertz Manero, padece cáncer de páncreas, lo cual es absolutamente falso.",0.0,57,25,01,2023
ANA ELIZABETH GARCIA VILCHIS,"Luego, en las redes sociales como Twitter se viralizó la mentira de que el fiscal habría fallecido en Estados Unidos a causa de una operación realizada. El rumor escaló tanto que se hizo tendencia nacional en Twitter por varias horas.",0.0,40,25,01,2023
ANA ELIZABETH GARCIA VILCHIS,"La oposición dio por cierto este rumor y comenzó el festín. La actriz Laisha Wilkins publicó: ‘Lo que no logró la justicia humana lo logró el cáncer de páncreas. Justicia divina’. Este tuit, hay que mencionar que alcanzó, es decir, lo vieron más de un millón de personas.",0.0,48,25,01,2023
ANA ELIZABETH GARCIA VILCHIS,"Después circuló un tuit con el mismo mensaje atribuido a Diego Fernández de Cevallos y el hashtag que significa ‘que no descanse en paz’. Eso lo retrata, no tienen ningún respeto por la vida.",0.0,34,25,01,2023
ANA ELIZABETH GARCIA VILCHIS,"Ricardo Alemán le pide al presidente presentar la renuncia de Gertz Manero, la cual por supuesto que tampoco existe.",0.0,19,25,01,2023
ANA ELIZABETH GARCIA VILCHIS,También participaron miembros de la oposición diseminando mentiras sobre la salud y supuesta muerte del fiscal.,0.0,16,25,01,2023
ANA ELIZABETH GARCIA VILCHIS,"Luego, procedieron, porque no les fue suficiente nada más mentir sobre la enfermedad y la muerte y burlarse de eso, lo cual es bastante bajo, procedieron a falsificar un documento en el que supuestamente el presidente López Obrador le pedía al titular de la Unidad de Inteligencia Financiera, Pablo Gómez, revisar los antecedentes fiscales y financieros de 13 personajes que presuntamente fueron considerados para sustituir al fiscal. Pero, si vieron el documento, es una cosa supermalhecha, ni el lenguaje ni las formas son del estilo del presidente, y, bueno, ya decir de la firma, que ni se parece.",0.0,98,25,01,2023
ANA ELIZABETH GARCIA VILCHIS,"Pero a propósito de lo que hablaba el presidente, hasta aquí esta nota, pero a propósito de lo que hablaba el presidente sobre el periódico El País, tenemos a uno de los clientes más frecuentes de esta sección, y pues una más del diario El País, tergiversan discurso del presidente de México. Vamos a ver qué dijo El País.",0.0,59,25,01,2023
