Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
OSCAR DAVID LOZANO AGUILA," Muy buenos días. Con su permiso, señor presidente.",0.0,8,02,10,2023
OSCAR DAVID LOZANO AGUILA,"La Secretaría de la Defensa Nacional continúa informando los avances en el proyecto integral Tren Maya. El día de hoy vamos a informarles cómo vamos en el tramo número 2, el tramo que se compone de 234 kilómetros de vía, de vía sencilla, que pasa todo por el estado de Campeche, seis municipios del estado, y tiene cinco estaciones a lo largo de la ruta. De acuerdo con cifras del Inegi, este tramo está beneficiando aproximadamente a 535 mil personas a lo largo de toda la ruta.",0.0,87,02,10,2023
OSCAR DAVID LOZANO AGUILA,"Como ustedes pueden ver, se está construyendo una base de mantenimiento de vía en Edzná y un patio de operaciones ferroviarias del sistema de transporte de carga que está ubicado en Pomuch, en Campeche.",0.0,34,02,10,2023
OSCAR DAVID LOZANO AGUILA,"En la siguiente, por favor, observamos que el avance es: prácticamente la vía está concluida al 100 por ciento, estamos haciendo algunos trabajos de nivelación, las estaciones ya están cercanas a su conclusión, la cochera y la base de mantenimiento cercanas al 60 por ciento.",0.0,45,02,10,2023
OSCAR DAVID LOZANO AGUILA,"Y un componente importante de este tramo es el libramiento ferroviario de Campeche, que son 18.76 kilómetros con cinco viaductos, que ya fueron concluidos, y 49 pasos vehiculares, peatonales y de fauna que también han sido terminados.",0.0,37,02,10,2023
OSCAR DAVID LOZANO AGUILA,"La siguiente, por favor. Ahí observamos el avance de las obras complementarias del tramo 2 tanto el tramo norte como el tramo sur, los cinco viaductos terminados, 315 drenajes transversales de 325 proyectadas, 190 pasos peatonales, vehiculares y de fauna de 210 que se encuentran proyectados. Este tramo le ha dado empleo a cerca de 27 mil personas a lo largo del tiempo que ha estado en ejecución.",0.0,68,02,10,2023
OSCAR DAVID LOZANO AGUILA,"En la siguiente, también, se mejoran dos zonas arqueológicas que más tarde explicará Diego Prieto.",0.0,15,02,10,2023
OSCAR DAVID LOZANO AGUILA,Y la Secretaría de la Defensa Nacional construye el Hotel Tren Maya en Edzná.,0.0,14,02,10,2023
OSCAR DAVID LOZANO AGUILA,"La siguiente, por favor. Prácticamente estaremos listos para inaugurar en diciembre de 2023 y tener la posibilidad de visitar este destino y todos estos destinos turísticos como Hecelchakán, El Fuerte de San Miguel, Champotón y Dzitbalché.",0.0,36,02,10,2023
OSCAR DAVID LOZANO AGUILA,"En realidad, estamos listos estamos listos para inaugurar en diciembre y esperemos tener a todos ustedes la oportunidad de visitar este maravilloso estado de Campeche.",0.0,25,02,10,2023
OSCAR DAVID LOZANO AGUILA,"Muchas gracias. Es cuanto, señor presidente.",0.0,6,02,10,2023
