Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ROSA ICELA RODRIGUEZ VELAZQUEZ," Con su permiso, presidente. Buenos días a todas y a todos.",0.0,11,24,11,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Mañana, 25 de noviembre, es el Día Internacional para la Eliminación de la Violencia Contra la Mujer, una fecha que se conmemora en todo el mundo para recordar que la violencia contra las mujeres es una ofensa a la dignidad humana que nos degrada y nos denigra como sociedad.",0.0,49,24,11,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Nadie está de acuerdo con que las mujeres y niñas sufran violencia o se violen sus derechos humanos y libertades. El gobierno del presidente Andrés Manuel López Obrador tiene un compromiso genuino con la población femenina. Estamos convencidos que eliminar la violencia contra las mujeres y las niñas es indispensable para lograr su pleno desarrollo, empoderamiento económico, social y político, y así alcanzar la igualdad y la felicidad en todos los ámbitos de sus vidas.",0.0,75,24,11,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Presidente, usted nos instruyó para atender las causas estructurales que generan la violencia y trabajar para prevenir e inhibir los delitos que se cometen en las comunidades, en los hogares, en las escuelas. Con ese propósito, implementamos de manera permanente la Estrategia Integral Contra la Violencia hacia a las Mujeres y las Niñas en los 15 municipios con mayor incidencia de delitos de género.",0.0,64,24,11,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En esta labor participan autoridades de los tres niveles de gobierno con acciones de prevención, atención y sanción de la violencia contra las mujeres y las niñas en colonias y localidades de esos municipios. Participa la Secretaría de Gobernación, la Subsecretaría de Derechos Humanos, el DIF, Bienestar, la Conavim por supuesto, el Instituto Nacional de las Mujeres y los institutos estatales de Defensa de los Derechos de las Mujeres, las fiscalías estatales, la Fiscalía General de la República, las Fuerzas Armadas, la Guardia Nacional, en fin, todo el gabinete interinstitucional que coordina la Secretaría de Gobernación y la Secretaría de Seguridad y Protección Ciudadana, también las mujeres constructoras de paz.",0.0,110,24,11,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Y esta suma de esfuerzos se ha fortalecido el Sistema Nacional de Prevención, Atención, Sanción y Erradicación de la Violencia Contra las Mujeres y nos ha permitido llegar a miles de ellas. Y todo este trabajo ha logrado que se reduzcan los delitos en contra de las mujeres, fundamentalmente los feminicidios.",0.0,51,24,11,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"También, se ha creado la Conaho, para erradicar la violencia feminicida, trabajos de manera paralela a las labores de prevención con estados, municipios y fiscalías locales a través de la Coordinación Nacional Antihomicidios y Antifeminicidios. Es un grupo interdisciplinario en el que participan abogados, abogadas, policías expertos en certificación de la investigación de homicidios, feminicidios y violencia de género, también analistas tácticos que se encargan de analizar las carpetas para evitar la impunidad, para tener cero impunidad, apoyando con detenciones de violadores de los derechos de las mujeres.",0.0,88,24,11,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Así, se da seguimiento puntual a cada caso para que quienes cometen estos crímenes sean castigados y fortalecer la judicialización y la sanción en este delito.",0.0,26,24,11,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Buscamos que las mujeres y las niñas puedan caminar, estudiar, vivir libres de violencias, conscientes que el derecho a vivir vidas libres de violencia debe ser garantizado por el Estado mexicano, las mujeres hemos logrado construir un marco jurídico de reconocimiento y garantía de nuestros derechos fuerte y sólido para erradicar todas las formas de discriminación de desigualdad de género y las violencias contra las mujeres.",0.0,66,24,11,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,Las convocamos a que sigamos trabajando y juntas en todo el territorio del país podamos seguir buscando que estos delitos contra las mujeres se erradiquen totalmente.,0.0,26,24,11,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Hoy soy una convencida de que es posible construir un país en paz, libres de violencias donde mujeres y niñas estén seguras, libres, plenas y felices.",0.0,26,24,11,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,Informar que ya desde esta semana desde el gobierno se están realizando acciones en los 16 días de activismo contra la violencia hacia a las mujeres y que culminarán el día 11 de diciembre. Porque vivir sin violencia es un derecho de todas y todos.,0.0,45,24,11,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,Muchas gracias por su atención y gracias que nos permiten servirles y trabajar a favor de las mujeres.,0.0,18,24,11,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ," No, 26.",0.0,2,24,11,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ, Veinte o 25.,0.0,3,24,11,2023
