Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LUIS CRESENCIO SANDOVAL GONZALEZ," Con su permiso, señor presidente. Continuamos con el informe de seguridad conjunto. Aquí informar, en este periodo del 14 al 27 de noviembre, se encuentran desplegados 127 mil 483 elementos de la Guardia Nacional, 159 mil 11 de las Fuerzas Armadas, para hacer un total de 286 mil 494 elementos desplegados cumpliendo las misiones que a continuación veremos.",0.0,58,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"Aquí son 12 misiones, 12 misiones en las que están desplegada la Guardia Nacional, el Ejército, la Fuerza Aérea y la Secretaría de Marina cubriendo el territorio nacional y que van desde de la Estrategia Nacional de Seguridad Pública, la Estrategia para el Fortalecimiento de Aduanas y Puertos, la vigilancia del territorio y el espacio aéreo nacional, el plan de migración en la frontera norte y sur, las operaciones para el combate al mercado ilícito de combustibles, seguridad a instalaciones estratégicas, la erradicación intensiva de plantíos ilícitos, Plan integral de seguridad al Tren Maya, Plan integral de seguridad al Transístmico, atención a desastres, operaciones de búsqueda y rescate y pesca ilícita y redes.",0.0,113,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"La Guardia Nacional en este periodo del 14 al 27 desarrolló el apoyo a búsqueda de personas, fueron siete ocasiones en que se proporcionó el servicio en seis estados con 123 elementos y siete binomios canófilos.",0.0,36,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En cuanto al apoyo a la Secretaría de Agricultura y Desarrollo Rural en el traslado de fertilizantes, fueron trasladados 10 mil 49 toneladas de fertilizantes, 227 viajes, empleando tres mil 178 elementos.",0.0,32,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En reclusorios, también apoyaron el traslado de internos, 22 traslados, 527 internos que fueron cambiados de sede, dos mil 130 efectivos empleados.",0.0,22,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En carreteras, la operación que tiene la Guardia está centrada en ocho estados con mayor incidencia de robo en carreteras, empleando dos mil 289 efectivos, mil 566 vehículos que están destinados a esta actividad.",0.0,34,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En las aduanas fronterizas e interiores, en 21 aduanas y 11 interiores. Tiene desplegado siete mil 695 elementos realizando, cumpliendo esta misión.",0.0,22,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En aeropuertos, en 72 aeropuertos y 27 aeródromos, tiene 518 elementos que realizan las operaciones de revisión de las aeronaves y de las personas que arriban a ellos.",0.0,28,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En cuanto a los aseguramientos, del 14 al 27 de noviembre: sobre armas de fuego, fueron 330 armas de fuego aseguradas; en cargadores, mil 468 cargadores asegurados; en granadas, 27 granadas aseguradas; 43 mil 65 cartuchos, aquí la cantidad que llevamos en la administración son casi 19 millones de cartuchos asegurados a la delincuencia organizada.",0.0,55,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En detenidos, 507, para un total en la administración de 80 mil 577 personas detenidas.",0.0,15,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En vehículos, 500 vehículos asegurados, para un total de 91 mil 708.",0.0,12,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En fentanilo, 33.7 kilogramos de fentanilo asegurado en este periodo de 14 al 27. En el mes llevamos 243.68 kilogramos asegurados y en la administración un poco más de ocho toneladas de este enervante asegurado.",0.0,35,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"De metanfetaminas, nueve mil 977.8 kilogramos en el periodo; en el mes, 48 mil 687.8 kilogramos de metanfetamina asegurada; en la administración, 544 mil 807.8 kilogramos de este enervante.",0.0,29,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En cocaína, 267 mil 0.4 kilogramos en el periodo, dos mil 275.7 en el mes y 189 mil 426.5 kilogramos en la administración.",0.0,23,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En marihuana, dos mil 946.6 kilogramos de marihuana asegurada en el periodo; y en el mes, tres mil 619.7.",0.0,19,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En moneda nacional, 0.8 millones de pesos asegurados en el periodo, para un total de 633.5 millones de pesos en la administración.",0.0,22,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"Y en dólares americanos, 0.7 millones de dólares asegurados en el periodo, para un total de 141.4 millones de dólares.",0.0,20,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"Plantíos, 984 plantíos localizados y destruidos en el periodo, abarcan 94.8 hectáreas.",0.0,12,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"De amapola, cuatro mil 82 plantíos en 494.4 hectáreas.",0.0,9,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En cuanto a laboratorios clandestinos ubicados y destruidos en el periodo del 14 al 27, 44 laboratorios; y asegurados, 1.6 toneladas de metanfetaminas y 61.6 toneladas de sustancias químicas. Esto es lo que se asegura en los laboratorios, lo que llevamos en la administración son dos mil 329 laboratorios asegurados y destruidos, y 522.64 toneladas de metanfetaminas aseguradas, dos mil 281.18 toneladas de sustancias químicas. Con todo esto que se ha asegurado se ha evitado un estimado, de lo que se ha evitado que se produzca en este enervante, son siete mil 797.229 toneladas de este enervante.",0.0,97,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En cuanto a la estrategia del fortalecimiento de aduanas, las 50 aduanas que corresponden a 21 fronterizas, 13 interiores y 16 marítimas, empleando siete mil 695 elementos, han obtenido resultados de 25 detenidos, 267 kilogramos de cocaína, 223 mil 499 dólares americanos en documentos por cobrar, 47 mil 300 dólares americanos.",0.0,51,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"También aquí vemos la recaudación, en el periodo fue una recaudación de las aduanas de 17 mil 455 millones de pesos.",0.0,21,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En cuanto al combate al mercado ilícito de combustibles, en el periodo se recuperaron 933 mil 508 litros de combustible. Llevamos en la administración 59 millones 134 mil 230 litros de combustible recuperado.",0.0,33,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"Tomas clandestinas, se detectaron 238 tomas clandestinas en el periodo.",0.0,10,28,11,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En cuanto a la afectación a grupos delictivos empleando la inteligencia, la inteligencia del Estado mexicano, donde entran todas las instancias que tienen estas capacidades, se logró la detención de 10 personas: uno del cártel del Pacífico, en Sinaloa; dos detenidos del nuevo cártel de Juárez, en Chihuahua; seis detenidos de una célula independiente en Chihuahua, también; y un detenido del cártel Jalisco Nueva Generación, ahí en Jalisco.",0.0,68,28,11,2023
