Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
CARLOS GABRIEL LERMA COTERA,": Muy buen día a todos. Con su permiso, señor presidente.",0.0,11,14,12,2023
CARLOS GABRIEL LERMA COTERA,"Como ya se ha comentado, en este sexenio el Gobierno de México está realizando un gran despliegue en infraestructura de telecomunicaciones que hace de nuestro país uno de los países más conectados del continente y que ha permitido ofrecer señal a muchos mexicanos por primera vez, brindándoles la oportunidad de comunicarse con sus familiares en otras partes del país y en otras partes del mundo, que puedan tener acceso a cualquier tipo de información; también, que puedan bajar contenido educativo. En fin, que puedan obtener todos los beneficios que el internet otorga hoy en día.",0.0,95,14,12,2023
CARLOS GABRIEL LERMA COTERA,Ahora que ya existe una amplia cobertura. Uno de los grandes retos es que todos los mexicanos y mexicanas puedan tener señal o acceso a esta red y utilizar mayores contenidos a un precio más económico. Para eso se ha creado el programa y la marca de Internet para el Bienestar.,0.0,51,14,12,2023
CARLOS GABRIEL LERMA COTERA,¿Qué es Internet para el Bienestar?,0.0,6,14,12,2023
CARLOS GABRIEL LERMA COTERA,"Bueno, es una marca de Promtel, un organismo dependiente de la Secretaría de Infraestructura, Comunicaciones y Transportes que provee ya internet y telefonía para todos los mexicanos y al precio más bajo sin plazos forzosos.",0.0,35,14,12,2023
CARLOS GABRIEL LERMA COTERA,"También se provee a través de esta marca un servicio confiable y de calidad, el cual está siendo desplegada a través de una red de telecomunicaciones con las tecnologías más modernas del país, 4.5G, que está siendo desplegadas, como ya se comentó, en todo el país; es decir, esta tecnología se está llevando tanto a las zonas urbanas como las zonas rurales, inclusive reemplazando tecnología de hace 20 años en términos de telecomunicaciones.",0.0,73,14,12,2023
CARLOS GABRIEL LERMA COTERA,"Con esta marca de Internet para el Bienestar, también, cualquier usuario tendrá servicio, estará conectado en cualquier parte de México, Estados Unidos y Canadá; tendrá internet para navegar, minutos y mensajes para estar cerca de sus familiares y amigos. Este servicio de Internet para el Bienestar será prestado a través de distintos operadores privados de telefonía móvil, como lo obliga y lo mandata la regulación actual.",0.0,66,14,12,2023
CARLOS GABRIEL LERMA COTERA,"Y, bueno, es importante comunicarle a la gente dónde tendrán señal. Prácticamente tendrán señal en todo el país, como ya se comentó. Actualmente, a través de la red propia y de la red con diferentes alianzas con empresas privadas, tenemos cobertura ya en el 94.7 por ciento a través de esta red, que es una asociación pública-privada donde el gobierno tiene una participación importante.",0.0,64,14,12,2023
CARLOS GABRIEL LERMA COTERA,"Ya estamos proveyendo servicios a más de 10 millones de usuarios en todo el país a través de más de 130 marcas, tenemos presencia en más de 16 mil poblaciones donde nadie más tiene señal y, como se comentó, a través del despliegue que se está haciendo actualmente y concluye en 2024, se estarán instalando alrededor de tres mil 500 antenas adicionales por todo el país para llegar a una cobertura del 96.4 en 2024, lo que implicará que lleguemos a 11 mil poblaciones adicionales donde actualmente no tienen conectividad.",0.0,90,14,12,2023
CARLOS GABRIEL LERMA COTERA,"Pero ¿cómo podemos ser usuarios de internet para el bienestar? De una manera muy sencilla: lo que tenemos que hacer es básicamente obtener una tarjeta SIM con un paquete determinado e introducirlo a su teléfono, con esto cualquier persona podemos tener acceso a este servicio.",0.0,45,14,12,2023
