Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA, La foto es del reportero del Reforma.,0.0,7,18,12,2023
PREGUNTA, También.,0.0,1,18,12,2023
PREGUNTA," La presa ‘Santa María’ se encuentra sobre el cauce del río Baluarte, en el municipio del Rosario, Sinaloa.",0.0,18,18,12,2023
PREGUNTA,"El potencial hídrico del subsistema Baluarte-Presidio ha sido estudiado detalladamente como parte integral del Plan Hidráulico Interconectado del Noroeste, el cual determinó que la presa ‘Santa María’ contaba con la factibilidad técnica, económica y ambiental para su ejecución.",0.0,38,18,12,2023
PREGUNTA,"La construcción de la presa ‘Santa María’ inició en el 2015; sin embargo, sus trabajos fueron interrumpidos constantemente hasta quedar suspendida por completo. Debido a la utilidad social, económica y ambiental que aportaría a la región, el Gobierno de México retomó esta obra inconclusa y procedió a la solución de las dificultades que impedían que se terminara, reanudando su construcción en diciembre de 2020.",0.0,64,18,12,2023
PREGUNTA,La obra tiene cuatro objetivos fundamentales:,0.0,6,18,12,2023
PREGUNTA,"Primero, suministrar agua para el riego de 24 mil 250 hectáreas en beneficio de más de dos mil 500 productores.",0.0,20,18,12,2023
PREGUNTA,"Segundo, permitir el abastecimiento de agua potable para casi 430 mil habitantes de los municipios de El Rosario y Escuinapa.",0.0,20,18,12,2023
PREGUNTA,"Tercero, proteger a ambos municipios de inundaciones.",0.0,7,18,12,2023
PREGUNTA,"Cuarto, generar energía eléctrica.",0.0,4,18,12,2023
PREGUNTA,"Asimismo, su construcción considera tres tipos de obras:",0.0,8,18,12,2023
PREGUNTA,"De desvío, integradas por tres túneles con las siguientes longitudes: el túnel 1, de 705 metros; el túnel 2, de 781 metros; y el túnel 3, de 856 metros. Dos de estos túneles son para la obra de desvío y uno para el equipamiento electromecánico, así como la ataguía aguas arriba con una altura de 46 metros y una ataguía aguas abajo con una altura de nueve metros.",0.0,68,18,12,2023
PREGUNTA,"De contención, compuestas con una cortina de 123 metros de altura y 782 metros de largo, así como por diques de contención.",0.0,22,18,12,2023
PREGUNTA,"Y las de obras de excedencia, comprendidas por dos vertedores de cresta libre con longitudes de 484 y 477 metros y una capacidad de desfogue de 16 mil 795 metros cúbicos por segundo de ambos.",0.0,35,18,12,2023
PREGUNTA,"El equipamiento electromecánico del túnel 3 está integrado por dos sistemas de tubería: el primero, para el desagüe de fondo de 104 metros de longitud, y el segundo para la obra de 300 metros de longitud. Asimismo, se cuenta con cinco válvulas para la operación y manejo del agua, tanto de la obra de toma como del desagüe de fondo.",0.0,60,18,12,2023
PREGUNTA,"Las técnicas constructivas del proyecto incluyeron el estudio de modelos de geológicos del sitio de construcción, así como del banco de roca y del muro de carga del vertedor 1. También, se realizaron terraplenes de prueba que permitieron ratificar las proyecciones calculadas de materiales y contenido de humedad para lograr el grado de compactación de los materiales. Adicional a lo anterior, la cortina de la presa está instrumentada con sensores que permiten monitorear asentamientos de los materiales, verificando que se encuentren dentro de los parámetros permitidos.",0.0,86,18,12,2023
PREGUNTA,"Durante su construcción se realizaron acciones de protección al ambiente considerando el rescate de flora y fauna, habilitación de viveros, reforestación y manejo de desechos sólidos, entre otras.",0.0,28,18,12,2023
PREGUNTA,"Con esta obra se generaron alrededor de cuatro mil 478 empleos durante su etapa de construcción, apoyando al desarrollo regional de la zona.",0.0,23,18,12,2023
PREGUNTA,"La conclusión de esta presa refrenda el compromiso del Gobierno de México de impulsar el desarrollo agrícola del país y de elevar la productividad del campo en la región sur de Sinaloa, con una visión integral y de inclusión social.",0.0,40,18,12,2023
PREGUNTA," El Realito, en San Luis, ¿cómo va, presidente?",0.0,8,18,12,2023
PREGUNTA, ¿Será la planta de ciclo combinado?,0.0,6,18,12,2023
PREGUNTA, Gracias. Buenos días.,0.0,3,18,12,2023
PREGUNTA,"Isabel González, de Grupo Imagen. Buenos días a todos.",0.0,9,18,12,2023
PREGUNTA,"Presidente, pues saber cuál es la evaluación que tienen de los lamentables acontecimientos en Salvatierra, Guanajuato, en donde perdieron la vida, hasta este momento, 12 jóvenes. Estaban en una posada.",0.0,30,18,12,2023
PREGUNTA,"¿Cuál era el perfil de estos jóvenes? Si se sabe el grupo criminal que atentó en contra de ellos y algunos indicios sobre cuál habría sido el móvil, presidente, pues sobe este multihomicidio, esta masacre.",0.0,35,18,12,2023
PREGUNTA," ¿Les ha pedido el gobierno del estado algún tipo de colaboración, la fiscalía?",0.0,13,18,12,2023
PREGUNTA, ¿Esta línea de investigación del consumo de drogas estaría siendo contemplada en estos hechos?,0.0,14,18,12,2023
PREGUNTA," Bien, presidente.",0.0,2,18,12,2023
PREGUNTA,"En otro tema, la semana pasada se dio a conocer, y la hizo pública, la renuncia del magistrado presidente del Tribunal Electoral del Poder Judicial de la Federación, el magistrado Reyes Rodríguez. Esto se da prácticamente a seis meses de las elecciones presidenciales y federales del 2024.",0.0,47,18,12,2023
PREGUNTA,"Su evaluación, ¿cuál es el impacto de este tipo de hechos?",0.0,11,18,12,2023
PREGUNTA, ¿Sea quien sea quien encabece el Tribunal Electoral?,0.0,8,18,12,2023
PREGUNTA," Diecinueve, un poco menos.",0.0,4,18,12,2023
PREGUNTA, Violencia política de género.,0.0,4,18,12,2023
PREGUNTA," ¿Se van a inconformar, presidente?",0.0,5,18,12,2023
PREGUNTA, (Inaudible),0.0,1,18,12,2023
PREGUNTA, ¿Antes de que se resuelva de manera definitiva por parte del tribunal?,0.0,12,18,12,2023
PREGUNTA," Bien, presidente.",0.0,2,18,12,2023
PREGUNTA,"Acerca de este anuncio de la reforma al Poder Judicial, sobre todo para elegir por la vía del voto popular a los magistrados, ministros y jueces, tengo algunas dudas, si nos puede ayudar a aclararlas:",0.0,35,18,12,2023
PREGUNTA,¿Los ministros van a seguir en sus cargos 15 años? Esto sería una pregunta exprés: ¿así lo contempla la iniciativa?,0.0,20,18,12,2023
PREGUNTA,"¿Cómo va a quedar conformado el pleno con los ministros actuales? ¿Qué es lo que se está pensando? Cuando ocurrió la reforma que hizo el expresidente Zedillo hubo algunos ministros, entre ellos Olga Sánchez Cordero, que entra en el 95 y terminó en el 2015. ¿Cómo se estaría pensando? ¿Una cuestión escalonada o no? ¿Qué pasaría con los actuales ministros? ¿Qué pasaría con los que se eligen?",0.0,67,18,12,2023
PREGUNTA,"Y una cuestión de duda, que tiene que ver, constitucional: si son electos por la vía —en caso de— la vía del voto libre y secreto, magistrados, jueces y ministros a nivel federal, ¿qué pasaría con la cuestión del fuero? ¿Tendrían fuero, no tendrían fuero? ¿Cómo se está pensando?",0.0,49,18,12,2023
PREGUNTA, Emitió la carta.,0.0,3,18,12,2023
PREGUNTA," Por eso le pregunto si van a durar en su cargo 15 años, igualmente, en la próxima iniciativa.",0.0,18,18,12,2023
PREGUNTA," Sí, los propios abogados dicen que es el consejo de la caricatura, hablan los propios abogados.",0.0,16,18,12,2023
PREGUNTA," ¿Sería idóneo que cambiara la actual conformación del pleno, es decir, que algunos ministros actuales de hoy no estuvieran en caso de aprobarse esta reforma?",0.0,25,18,12,2023
PREGUNTA, ¿Que cumplan su tiempo?,0.0,4,18,12,2023
PREGUNTA," Entrarían también en la competencia, digamos.",0.0,6,18,12,2023
PREGUNTA," ¿Jueces, magistrados y ministros?",0.0,4,18,12,2023
PREGUNTA, De vanguardia.,0.0,2,18,12,2023
PREGUNTA," Podrían haber incurrido en algún delito, ¿no, presidente?, al representar a las dos partes?",0.0,14,18,12,2023
PREGUNTA," Presidente, nada más, finalmente, de mi parte, disculpe el abuso: me gustaría una evaluación en tanto legado histórico de personajes históricos del movimiento que a usted lo ha acompañado hasta estos momentos y también una evaluación desde la gestión y ejercicio de gobierno, de resultados y de desactivación de conflictos.",0.0,50,18,12,2023
PREGUNTA,"Usted ha elogiado la labor de Rosa Icela, de todos los personajes que le han acompañado. También hay personajes históricos que tienen que ver con Paco Ignacio Taibo II. Y también recuerdo a César Yáñez, actual subsecretario de Gobernación, por eso le pedía el legado histórico del momento en que lo ha acompañado y el ejercicio de gobierno en el caso de César Yáñez.",0.0,64,18,12,2023
PREGUNTA,"¿Cuál sería su evaluación, el legado? ¿Dónde lo ve en esta consolidación, en esta segunda etapa de la consolidación de la 4T? ¿Lo ve en ejercicio de gobierno? ¿Lo ve dirigiendo Morena para seguir consolidando esto? ¿Dónde lo ve?",0.0,39,18,12,2023
PREGUNTA,Y muchas gracias.,0.0,3,18,12,2023
PREGUNTA," (inaudible) tiene una parte para el subsecretario en cuestión de la relación con las iglesias. Usted hablaba que gracias a que el papa Francisco es un papa de vanguardia. César Yáñez, bueno, tiene a su cargo la cuestión también religiosa, la desactivación de conflictos.",0.0,44,18,12,2023
