Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RUY LOPEZ RIDAURA," Gracias, con su permiso, presidente. Buenos días a todas y todos.",0.0,11,19,12,2023
RUY LOPEZ RIDAURA,"A ver. Sí, muchas gracias por la pregunta. En cuanto a… Primero, me gustaría, uno, el contexto de la epidemia de la curva epidémica de COVID: desde la semana 40 hasta ahora, que estamos en la semana 50, ha habido un descenso continuo, y ahora más o menos la positividad está entre tres por ciento y cinco por ciento, pero realmente la positividad para COVID ha ido disminuyendo de manera continua.",0.0,71,19,12,2023
RUY LOPEZ RIDAURA,"Para influenza sí tuvimos un ascenso, más o menos también desde la semana 45, es donde se ha presentado más el ascenso, y ahorita la positividad para influenza es cerca del 20 por ciento.",0.0,34,19,12,2023
RUY LOPEZ RIDAURA,"En cuanto a la vacunación, desde octubre, que se inició la vacunación de influenza, tenemos un total de 19 millones aplicadas de los 35 millones que tenemos como meta, se han aplicado 19 millones, esto es 53 por ciento de la meta. Y en todas las instituciones se ha avanzado de manera similar: se han aplicado nueve millones por la Secretaría de Salud, 7.3 millones por el IMSS ordinario, 1.2 millones por el IMSS-Bienestar y uno 1.2 millones por el Issste; también Sedena, Semar y otras instituciones, Pemex también han aplicado.",0.0,91,19,12,2023
RUY LOPEZ RIDAURA,"En cuanto a COVID, tenemos: la aplicación ha llegado hasta 3.8 millones de dosis aplicadas, también el avance ha sido similar en cada una de las instituciones. Esto sí es una cobertura menor, tenemos cerca de 18 por ciento de la meta contemplada, y por eso es importante hacer el llamado a las personas, que tenemos vacuna disponible prácticamente en todos los centros de salud. Se ha logrado una distribución extensa de vacuna tanto para COVID como para influenza en todas las entidades federativas, en todas las instituciones.",0.0,88,19,12,2023
RUY LOPEZ RIDAURA,"Invitarlos, que aún estamos a tiempo. Es muy importante vacunarse en la época invernal lo antes posible, todavía estamos esperando al menos un par meses con temperaturas frías y con riesgo alto de tener infecciones respiratorias altas y por eso invitar a la población, que están las vacunas disponibles, son gratuitas, están en todas las instituciones y listas para ser aplicadas.",0.0,61,19,12,2023
RUY LOPEZ RIDAURA,Muchas gracias.,0.0,2,19,12,2023
RUY LOPEZ RIDAURA, Muchas gracias.,0.0,2,19,12,2023
RUY LOPEZ RIDAURA,"Como saben, y también lo publicamos en el plan de gestión a largo plazo, tenemos un sistema de vigilancia que tiene múltiples fuentes de información, una de ellas es el sistema de vigilancia epidemiológica Centinela, que lo reforzamos posterior a dar por terminadas las medidas extraordinarias, y es el sistema que tenemos utilizando para ver los casos y es un poco lo que les comenté previamente.",0.0,66,19,12,2023
RUY LOPEZ RIDAURA,"Pero también tenemos un sistema coordinado desde el Instituto de Referencia Epidemiológica, del Indre, como parte de la subsecretaría, coordinado también con el Instituto de Medicina Genómica, otros institutos nacionales de salud, también otras instituciones, el IMSS, que participamos en un consorcio de vigilancia genómica, que es: algunas de las variantes que salen positivas a COVID, se envían a estos laboratorios de secuenciación y se participa dentro de este gran consorcio global, que también mandamos muestras para vigilar las variantes, las variantes genéticas que tiene el virus.",0.0,87,19,12,2023
RUY LOPEZ RIDAURA,"Ya se venía reportando por parte de la OMS un incremento en esta variante, la variante pirola, pero es la JN1, que es una subvariante de ómicron y ha tenido un incremento en la relevancia o en la proporción, se estima que ya en Europa y en algunas regiones puede estar llegando hasta 15, 17 por ciento de todas las variantes, está predominando la JN1.",0.0,65,19,12,2023
RUY LOPEZ RIDAURA,"Y aquí en México, de las muestras que hemos tomado de agosto a la fecha, hemos encontrado un caso de esta variante JN1 aquí en la Ciudad de México. Pero realmente, digo, sí esperamos, porque lo que se ha visto en el mundo es que haya un incremento de esto, lo que nos habla que seguramente tiene mayor capacidad de transmisión.",0.0,61,19,12,2023
RUY LOPEZ RIDAURA,"Pero, por lo que se sabe de los casos que hemos tenido en Europa y que se ha tenido a nivel global, es una enfermedad que no tiene un cuadro ni clínico más grave ni tiene complicaciones identificadas, tampoco se ha identificado que escape totalmente a la inmunidad, tanto a la inmunidad natural como a la inmunidad de vacunas. Entonces, consideramos que sí la vamos a estar vigilando, pero para nada representa una alerta importante, un incremento de casos, pero estaremos vigilando.",0.0,82,19,12,2023
RUY LOPEZ RIDAURA, Sí. La vacuna Patria. Hemos estado cercanamente trabajando con Conahcyt y también con Cofepris.,0.0,14,19,12,2023
RUY LOPEZ RIDAURA,"Recordar que para poder liberar una vacuna y poder dar el permiso es importante tanto todo el componente de acreditación de la planta, y se ha trabajado mucho con Conahcyt y con Avimex, que es la asociación que se conformó para producir la vacuna Patria.",0.0,45,19,12,2023
RUY LOPEZ RIDAURA,"Tengo entendido, y por las pláticas que he tenido con el comisionado y en las reuniones a las que hemos asistido, la planta está muy cerca ya de completar todo el dossier para tener la acreditación de buenas prácticas de manufactura y poder producir ya a gran escala. Y también Conahcyt y Avimex han completado ya el expediente para también ser sometido pronto al Comité de Moléculas Nuevas. Entonces, estamos ya en los últimos pasos ya para una autorización definitiva por parte de Cofepris.",0.0,84,19,12,2023
