Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
GERMAN ARTURO MARTINEZ SANTOYO," Con su permiso, señor presidente, medios de comunicación.",0.0,8,21,12,2023
GERMAN ARTURO MARTINEZ SANTOYO,"En la Comarca Lagunera desde hace cerca de 70 años se detectaron los primeros casos de intoxicación por arsénico en la región. Del año de 1991 al 2000, el 60 por ciento de la reserva de agua en el acuífero presentaba niveles de arsénico superiores a 0.025 milígramos por litro, esto es muy por arriba de lo que es la norma nacional; también, por supuesto, excede la norma internacional en lo que se refiere al contenido de arsénico.",0.0,78,21,12,2023
GERMAN ARTURO MARTINEZ SANTOYO,El objetivo de este proyecto Agua Saludable para La Laguna es sustituir las fuentes de agua extraída de pozos con alta concentración de arsénico y aprovechando 200 millones de metros cúbicos de agua del río Nazas para uso público urbano.,0.0,40,21,12,2023
GERMAN ARTURO MARTINEZ SANTOYO,"Es conveniente señalar que, si se sigue la explotación de los pozos para agua potable en la zona, estos durarán no más de 30 años. Entonces, es importante implementar este proyecto.",0.0,31,21,12,2023
GERMAN ARTURO MARTINEZ SANTOYO,"Para iniciar el diseño, se llevó a cabo seis mesas temáticas de diálogo del 27 de agosto al 14 de septiembre con los siguientes sectores: cámaras y colegios empresariales, sector salud, productores del campo, academia e investigación, grupos ambientalistas, sistemas operadores de agua y saneamiento.",0.0,45,21,12,2023
GERMAN ARTURO MARTINEZ SANTOYO,"Nosotros iniciamos este proyecto desde el punto de vista social para informar y sobre todo conciliar la implementación de este proyecto, e iniciar también la parte técnica. El proyecto va a tener una inversión de 14 mil 793 millones de pesos; el avance financiero en esta inversión actualmente es de seis mil 868 millones de pesos hasta octubre de este año.",0.0,61,21,12,2023
GERMAN ARTURO MARTINEZ SANTOYO,"La población futura que se beneficiará, o sea, 30, 35 años a futuro, será de dos millones de personas con una cobertura de nueve municipios de dos entidades en la Comarca:",0.0,31,21,12,2023
GERMAN ARTURO MARTINEZ SANTOYO,"Coahuila, en los municipios de Torreón, Viesca, Matamoros, San Pedro, Francisco I. Madero.",0.0,13,21,12,2023
GERMAN ARTURO MARTINEZ SANTOYO,"En Durango: Lerdo, Gómez Palacio, Mapimí, Tlahualilo.",0.0,7,21,12,2023
GERMAN ARTURO MARTINEZ SANTOYO,"Ya en el diseño final del proyecto se contempló tomar agua del río Nazas a través de una presa derivadora que lleva el agua a una planta de bombeo. Esta planta de bombeo lleva el agua a presión hacia la planta potabilizadora, el corazón del proyecto, para brindar agua de calidad arriba de las normas mexicanas.",0.0,56,21,12,2023
GERMAN ARTURO MARTINEZ SANTOYO,"Después de la planta potabilizadora estará el acueducto de gravedad, unos tanques de regulación, y a partir de estos tanques se llevarán a través de las redes troncales de Durango y de Coahuila, que también forman parte de este proyecto.",0.0,40,21,12,2023
GERMAN ARTURO MARTINEZ SANTOYO,"Las características técnicas del sistema en la presa derivadora: se tendrá una capacidad de 6.34 metros cúbicos por segundo, igualmente la planta de bombeo. El acueducto a presión lo constituyen dos líneas de acero de 6.8 kilómetros cada uno de 66 pulgadas de diámetro.",0.0,44,21,12,2023
GERMAN ARTURO MARTINEZ SANTOYO,"Una planta potabilizadora, que cuenta también con una capacidad de 6.30 metros cúbicos por segundo, y el acueducto a gravedad. Son dos líneas de conducción de acero, una de 72 pulgadas, 28.4 kilómetros; y otra de 54 pulgadas, 27.7 kilómetros.",0.0,40,21,12,2023
GERMAN ARTURO MARTINEZ SANTOYO,Los tanques de regulación van a poder almacenar 15 mil metros cúbicos cada uno y las redes troncales tendrán una longitud de 150 kilómetros de longitud.,0.0,26,21,12,2023
GERMAN ARTURO MARTINEZ SANTOYO,"Y, por supuesto, una línea eléctrica para que alimente todo el sistema electromecánico.",0.0,13,21,12,2023
GERMAN ARTURO MARTINEZ SANTOYO,"Paralelamente a la construcción de esta infraestructura tan importante se han tenido convenios y se ha trabajado con los usuarios del Distrito de Riego 017 para mejorar su infraestructura hidroagrícola, esto es tecnificar sus sistemas de riego y recuperar caudales en la presa ‘Lázaro Cárdenas’ y ‘Francisco Zarco’.",0.0,48,21,12,2023
GERMAN ARTURO MARTINEZ SANTOYO,"También, en coordinación con los organismos operadores municipales, para apoyarlos a reducir sus pérdidas por fugas, mejorar su gestión comercial y reducir sus gastos fijos, estos trabajos los estamos realizando de manera coordinada y estamos realizando el proyecto para poder ser implementado el próximo 2024.",0.0,45,21,12,2023
GERMAN ARTURO MARTINEZ SANTOYO,"Adicionalmente, se trabaja en la entrega de la infraestructura del proyecto a los gobiernos estatales de Coahuila y Durango.",0.0,19,21,12,2023
GERMAN ARTURO MARTINEZ SANTOYO,"La operación de las presas ‘Lázaro Cárdenas’ y ‘Francisco Zarco’ permitirán la extracción de agua para uso público urbano, o sea, para el proyecto. Se hizo todo un estudio hidrológico con técnicas de hidrología para determinar la disponibilidad del agua en estas dos presas y poder utilizarla, si hay disponibilidad, en el proyecto agua saludable. Se respetaron los volúmenes establecidos en el decreto presidencial del 10 de marzo de 1988 para uso agrícola.",0.0,73,21,12,2023
GERMAN ARTURO MARTINEZ SANTOYO,"Con estas bases, se hizo este estudio hidrológico, que se consideran lluvias, escurrimientos, evaporaciones, por supuesto la demanda de agua para riego, filtraciones y todo lo que interviene en el uso del agua en estas dos presas, ‘Lázaro Cárdenas’ y ‘Francisco Zarco’.",0.0,42,21,12,2023
