Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JESUS RAMIREZ CUEVAS," Sí, siguen las filas.",0.0,4,29,12,2023
JESUS RAMIREZ CUEVAS," Sí, del 2 de octubre del 68, que es un cartón negro de Abel Quezada, después del 2 de octubre del 68.",0.0,22,29,12,2023
JESUS RAMIREZ CUEVAS," Sí, es el único que…",0.0,5,29,12,2023
JESUS RAMIREZ CUEVAS, Sí.,0.0,1,29,12,2023
JESUS RAMIREZ CUEVAS, Clarín.,0.0,1,29,12,2023
JESUS RAMIREZ CUEVAS, No.,0.0,1,29,12,2023
JESUS RAMIREZ CUEVAS, Pero es México ayer,0.0,4,29,12,2023
JESUS RAMIREZ CUEVAS," Watson F. Dulles, que fue un agente de la CIA, por cierto, que fue un agente de la CIA, F. Dulles; el autor es periodista y era agente de la CIA",0.0,31,29,12,2023
JESUS RAMIREZ CUEVAS, De la CIA.,0.0,3,29,12,2023
JESUS RAMIREZ CUEVAS, Hay un video de la megafarmacia.,0.0,6,29,12,2023
JESUS RAMIREZ CUEVAS, Vulcan.,0.0,1,29,12,2023
JESUS RAMIREZ CUEVAS, ¿Quién descubrió Palenque?,0.0,3,29,12,2023
JESUS RAMIREZ CUEVAS," Sí, el 31.",0.0,3,29,12,2023
JESUS RAMIREZ CUEVAS, Catorce.,0.0,1,29,12,2023
JESUS RAMIREZ CUEVAS," Así es, cuando el servicio esté completo será así.",0.0,9,29,12,2023
JESUS RAMIREZ CUEVAS," Sí, sí me lo van a mandar, el general Treviño.",0.0,10,29,12,2023
JESUS RAMIREZ CUEVAS," No, porque es aérea.",0.0,4,29,12,2023
