Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Muy buenos días. Ánimo, ánimo, ya estamos por entrar al Guadalupe-Reyes y ya empieza el espíritu navideño, están las calles del centro llenas, del centro de la ciudad. Da un gusto, porque mucha gente saliendo a sus compras y a pasear al Zócalo, a ver las luces de los centros comerciales aquí, en 20 de Noviembre. No puedo decir qué centros comerciales porque no podemos hacerles publicidad, pero qué bien que la gente está contenta aquí, en la ciudad, y lo veo también en todo el país, eso es lo más importante, la felicidad del pueblo.",0.0,96,07,12,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, pues vamos a informar. Los compañeros de Sonora nos pidieron que se informara sobre lo que se está haciendo en el Infonavit, si mal no recuerdo, los programas que se están llevando a cabo. Y acordamos dar un informe general de todo lo que tiene que ver con la Secretaría de Desarrollo Agrario, Territorial y Urbano, que dirige muy bien Román Meyer, el maestro Román Meyer, que es el secretario de Desarrollo Agrario, Territorial y Urbano, y de él depende esta secretaría, es la cabeza de todo el sector; Infonavit, Fovissste, y también Edna, que es la subsecretaria, que tiene el programa de vivienda para quienes no son derechohabientes ni del Issste ni del Seguro, la gente más necesitada, más pobre, que también recibe apoyo para sus viviendas, para construcción de vivienda, para ampliación de vivienda y mejoramiento de vivienda.",0.0,141,07,12,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y como todavía nos faltan nueve meses, es importante también que se dé a conocer lo que vamos a realizar a partir de enero, que ya se aprobó el presupuesto para el año próximo.",0.0,34,07,12,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, si les parece, empezamos con Román y seguimos adelante.",0.0,10,07,12,2023
ROMAN MEYER FALCON," Muchas gracias, señor presidente. Muy buenos días, compañeros y compañeras.",0.0,10,07,12,2023
ROMAN MEYER FALCON,"Vamos a dar un rápido resumen de lo que ha sido el avance en la política nacional de vivienda. empezamos con el Programa de Mejoramiento Urbano, que junta acciones de vivienda, temas de regularización y lo que corresponde a la parte de los planes de desarrollo urbano. Los datos que tenemos al día de hoy:",0.0,55,07,12,2023
ROMAN MEYER FALCON,"Son más de mil obras a nivel nacional en 26 estados en 165 municipios, 384 mil acciones de vivienda.",0.0,19,07,12,2023
ROMAN MEYER FALCON,"Acciones de regularización, 45 mil acciones de regularización.",0.0,8,07,12,2023
ROMAN MEYER FALCON,"Y llevamos al día de hoy 227 planes de desarrollo regionales, estatales y municipales.",0.0,14,07,12,2023
ROMAN MEYER FALCON,"Aquí tenemos el total de tipologías de los equipamientos en los espacios públicos que hemos llevado a cabo, el total de beneficiarios, el estimado de empleos directos a través de estas obras locales y el tamaño, los montos, la dimensión, más de 20 millones de metros cuadrados.",0.0,47,07,12,2023
ROMAN MEYER FALCON,"En la siguiente lámina tenemos lo que corresponde a imágenes de las tipologías que hemos ya presentado anteriormente aquí, estamos hablando de 196 deportivos, tenemos el caso de Ecatepec, el Parque Bicentenario; 176 equipamientos de educación y cultura, en Fresnillo, Zacatecas, el Centro Cultural ‘José González Echeverría’; 41 equipamientos de comercio, un mercado en Valladolid, el mercado ‘Donato Bates’; 41 equipamientos de salud y seguridad, tenemos en Ayoxuxtla, Puebla, centro de salud atendido por el IMSS; y 579 parques, plazas y calles, en la imagen vemos Santa María Mixtequilla, Oaxaca, la plaza principal.",0.0,93,07,12,2023
