Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ENRIQUE ALFARO RAMIREZ," Bueno, muchas gracias, señor presidente. Bienvenido a su casa, bienvenido a Jalisco. A la secretaria de Seguridad, al general secretario, a mi secretario almirante, al secretario de Gobernación, al titular de la Guardia Nacional, a todas y todos ustedes un saludo, buenos días.",0.0,43,10,02,2023
ENRIQUE ALFARO RAMIREZ,"Fue una reunión por la mañana, como siempre productiva que nos sirvió para poner sobre la mesa de seguridad nacional algunos de los temas en los que tenemos que reforzar el trabajo en los próximos días.",0.0,36,10,02,2023
ENRIQUE ALFARO RAMIREZ,"Me parece que es importante resaltar que pudimos hacer el balance también del año 2022, en el que Jalisco logró consolidar la tendencia a la baja de la incidencia delictiva. Nuestro estado está hoy, cuando hablamos de incidencia delictiva total, donde se agrupan todos los delitos, ya por debajo de la media nacional.",0.0,53,10,02,2023
ENRIQUE ALFARO RAMIREZ,"El mes de enero, que fue un mes complejo, con hechos duros que generaron un amplio debate a nivel local, fue también un mes en el que continuamos con la tendencia a la baja, enero se consolida como un mes en el que los delitos en los que estamos concentrados, que tiene que ver con la seguridad pública, siguen a la baja.",0.0,62,10,02,2023
ENRIQUE ALFARO RAMIREZ,Y pudimos sobre todo platicar con el presidente aquellos temas que identificamos que son necesarios reforzar:,0.0,16,10,02,2023
ENRIQUE ALFARO RAMIREZ,"Hablamos sobre la posibilidad de trabajar en la zona de Altos Norte con mi general secretario, en una ruta que se va a estar definiendo en los próximos días.",0.0,29,10,02,2023
ENRIQUE ALFARO RAMIREZ,Sobre los operativos que tenemos en los límites con Zacatecas y Michoacán para poder mantener el trabajo en estas zonas de Jalisco en donde ha habido problemas y en donde tenemos que mantener una presencia permanente.,0.0,36,10,02,2023
ENRIQUE ALFARO RAMIREZ,"Estamos también avanzando bien con la estrategia de comunicación que nos ha permitido ya en enero reducir un delito que había ido al alza, que era el de extorsiones.",0.0,29,10,02,2023
ENRIQUE ALFARO RAMIREZ,"Y, sobre todo, pudimos informarle al presidente de los avances que tenemos en la gestión para poder seguir equipando o desarrollando la infraestructura y el equipamiento para que la Guardia Nacional pueda reforzar su presencia en el estado.",0.0,38,10,02,2023
ENRIQUE ALFARO RAMIREZ,"Creo que fue una reunión positiva en la que se hablaron de temas específicos. Al ser temas de seguridad, pues más que hacerlos públicos, lo que puedo decir es que tenemos una plena coordinación, que en la agenda de seguridad se ha trabajado desde el primer día con toda la voluntad, más allá, como el presidente lo ha expresado, de temas en los que puede haber diferencias, en la agenda de seguridad hay un trabajo coordinado, un trabajo basado en la cooperación y el respeto.",0.0,85,10,02,2023
ENRIQUE ALFARO RAMIREZ,"Creemos que vamos bien, la evaluación que se hacía al revisar las cifras de Jalisco es que hay avances importantes, pero que nunca serán suficientes, que tenemos que seguir trabajando, que no podemos aflojar el ritmo.",0.0,36,10,02,2023
ENRIQUE ALFARO RAMIREZ,"Y, bueno, me parece que después de la reunión habrá la oportunidad, y después de los datos que tenemos, de poder comentarle al presidente también de los temas que traigo pendientes sobre la agenda que tiene Jalisco para celebrar sus 200 años de existencia como estado libre y soberano, queremos que con el gobierno de la República pueda haber también una agenda de coordinación y de cooperación para la celebración de los 200 años de Jalisco.",0.0,76,10,02,2023
ENRIQUE ALFARO RAMIREZ,"Y, en general, como siempre ha sido con el presidente, con el respeto, la cordialidad y el aprecio que sabe que se le tiene y también con muchos otros temas que están caminando, afortunadamente bien.",0.0,35,10,02,2023
ENRIQUE ALFARO RAMIREZ,"Vamos avanzando con solidez en el tema de la solución al abasto de agua de la ciudad, las obras, tanto de la presa como de los acueductos van avanzando bien; la Línea 4 va a avanzando correctamente; entonces, la agenda en marcha, presidente. Y un gusto tenerlo por acá.",0.0,49,10,02,2023
ENRIQUE ALFARO RAMIREZ,Quedamos luego a sus órdenes por si hubiera alguna pregunta.,0.0,10,10,02,2023
ENRIQUE ALFARO RAMIREZ,"Gracias, presidente.",0.0,2,10,02,2023
ENRIQUE ALFARO RAMIREZ," No, eso es.",0.0,3,10,02,2023
