Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MARIA ELENA LEZAMA ESPINOSA," Gracias. Muy buenos días a todas y todos. Gracias a quienes nos ven a través de las redes sociales, a través de la televisión abierta. Muy en especial felicidades a todos aquellos que trabajan en las ondas hertzianas, en la radio, hoy en el Día Mundial de la Radio, gracias por acompañarnos.",0.0,52,13,02,2023
MARIA ELENA LEZAMA ESPINOSA,"Con su permiso, señor presidente.",0.0,5,13,02,2023
MARIA ELENA LEZAMA ESPINOSA,"Hace casi un mes y medio, el 22 de diciembre, las y los quintanarroenses tuvimos el honor de recibirlo, de ser sede de la conferencia mañanera en lo que es y será siempre la capital de nuestro bello estado, Chetumal. Por cierto, el primer barrio mágico del país y la cuna del primer mestizaje en México. Ahí habrá una estación del Tren Maya también.",0.0,64,13,02,2023
MARIA ELENA LEZAMA ESPINOSA,"Ese día, presidente, a nombre del pueblo de Quintana Roo agradecí su apoyo por la inversión histórica que el Gobierno de México está haciendo en nuestra entidad. Reflejo de una visión humanista, reflejo de una visión redistributiva, orientada a la igualdad que está empezando a cerrar esas brechas en el país.",0.0,51,13,02,2023
MARIA ELENA LEZAMA ESPINOSA,"Una inversión, y por supuesto me refiero al Tren Maya, que será determinante para que finalmente el éxito turístico se refleje en el bienestar de las familias quintanarroenses. Incluso en esas zonas, en esas comunidades tan alejadas, en donde las familias de generación en generación pasan este maravilloso arte de urdir hamacas, de tejer blusas, como la que traigo puesta hoy, en X-Pichil, de hacer miel, de tallar madera.",0.0,69,13,02,2023
MARIA ELENA LEZAMA ESPINOSA,"El Tren Maya nos va a dar la oportunidad que el mundo conozca esas comunidades, que conozcan lo que hacen nuestras y nuestros artesanos. Con una inversión histórica, con el Tren Maya, vamos a regresarle la esperanza a nuestros hermanos mayas, a los municipios del centro y del sur, a las personas que tienen muy poco, pero que merecen mucho, pero mucho más.",0.0,63,13,02,2023
MARIA ELENA LEZAMA ESPINOSA,"La inversión que su gobierno está realizando en la península, y en particular en nuestro estado, en Quintana Roo, por alrededor de 45 mil millones de pesos será un parteaguas, un hito para el desarrollo, un hito para el bienestar social. Y por eso estamos trabajando en el gobierno del estado para apoyar, para articular los proyectos productivos, la organización con los productores, las cooperativas de servicios y pequeños empresarios ahí, en la zona sur, ahí por donde pasa este tramo del Tren Maya, en el interior del estado, y así vincularlos con la demanda de la industria turística.",0.0,99,13,02,2023
MARIA ELENA LEZAMA ESPINOSA,"Estamos también articulando una nueva política de integración en el estado, con lo cual incluye también a nuestras islas. El Tren Maya, y habría que sumar una inversión importantísima también, el Aeropuerto Internacional de Tulum que se construye en tierras de Felipe Carrillo Puerto y por supuesto la inversión histórica del INAH, más de mil millones de pesos, esta inversión en vestigios arqueológicos que el mundo tiene derecho a conocer.",0.0,70,13,02,2023
MARIA ELENA LEZAMA ESPINOSA,"Y hablaba hace un momento Diego de Muyil, de Paamul II; hablaba la secretaria de Medio Ambiente del Parque del Jaguar, pero también está Xcabal, El Meco, Xantun, Oxtankah, y así se integrará un nuevo modelo turístico sustentable, alternativo, rural y arqueológico, que no sólo se oriente en el crecimiento, sino que tenga como objetivo, y lo digo muy claro, el bienestar social.",0.0,63,13,02,2023
MARIA ELENA LEZAMA ESPINOSA,"El Tren Maya es un detonante que beneficia no sólo a Tabasco, a Chiapas, a Campeche, a Yucatán, a Quintana Roo y a México, beneficia también al resto de los países con quienes compartimos la herencia de esta civilización milenaria. Monumentos arquitectónicos, lengua y comunidad que reflejan el resplandor de esa cultura maya hasta nuestros días.",0.0,56,13,02,2023
MARIA ELENA LEZAMA ESPINOSA,"Este año vamos a recibir casi 21 mil millones de turistas, tenemos y hemos roto todos los récords y este año los vamos a romper. Para darnos una idea, tenemos prácticamente la misma cantidad de pasajeros en enero que diciembre, que es una gran temporada alta en el Aeropuerto Internacional de Cancún; sin embargo, casi todos permanecen ahí en Cancún o se distribuyen hacia la Riviera Maya y sólo una pequeña porción visita otros lugares del estado, muy pocos visitan las bellezas que tenemos en el sur, ahí en la riviera del río Hondo, en la ruta de las iglesias, en los municipios que albergan tesoros arqueológicos históricos y culturales donde se asientan localidades pequeñas, generalmente rurales o indígenas de origen maya.",0.0,122,13,02,2023
MARIA ELENA LEZAMA ESPINOSA,"Pocos conocen la Cueva de las Serpientes Colgantes, en José María Morelos, o los bordados maravillosos que hacen nuestras artesanas en X-Pichil o en otros muchos lugares del estado. Por eso la importancia del Tren Maya, el Tren Maya redescubre esas comunidades, el Tren Maya le da la oportunidad a las y los artesanos que conozcan su talento y las maravillas que crean, por eso y mucho más la importancia del tren.",0.0,72,13,02,2023
MARIA ELENA LEZAMA ESPINOSA,"Con Cancún como principal emisor de pasajeros y sede de las operaciones, del centro operativo del Tren Maya, ayudará a sustituir este modelo económico y social que está agotado por otro equilibrio entre el medio ambiente y el crecimiento económico y el desarrollo social, que beneficiará a comunidades como Nuevo Xcan, como Leona Vicario, como Puerto Morelos, como Felipe Carrillo Puerto en donde, les decía, se construye el nuevo aeropuerto internacional de Tulum.",0.0,73,13,02,2023
MARIA ELENA LEZAMA ESPINOSA,"El sur de nuestro estado recibirá un gran impulso con la apertura de Xcabal, que también lo ha comentado muchas veces Diego en este espacio, que competirá con los principales destinos arqueológicos del mundo. Sin duda, un aliciente para millones de turistas que están ansiosos por descubrir la magia de la cultura maya, escapar, quizás, del bullicio de las ciudades y la oferta turística centrada en sol, playa y vida nocturna.",0.0,71,13,02,2023
MARIA ELENA LEZAMA ESPINOSA,"Estos son proyectos fundamentales para el desarrollo de nuestro estado, para lo cual, con el consenso de generar bienestar y cerrar brechas de desigualdad, estamos construyendo un nuevo acuerdo por el bienestar y desarrollo de Quintana Roo, al cual se están sumando todos los sectores desde las autoridades mayas, líderes sociales, de comunidades originarias, hasta hoteleros, comerciantes, trabajadoras, trabajadores, grupos de mujeres e inversionistas, todas y todos con una convicción de que no podemos considerar un éxito, una industria turística millonaria cuando está rodeada de pobreza y precariedad salarial, y que por tanto no puede haber progreso sin justicia.",0.0,99,13,02,2023
MARIA ELENA LEZAMA ESPINOSA,"Con el tren vamos a hacer justicia, vamos a acortar las brechas de desigualdad. Este nuevo acuerdo que tiene como brújula al Humanismo Mexicano y el principio de que, por el bien de todos, primero los pobres.",0.0,37,13,02,2023
MARIA ELENA LEZAMA ESPINOSA,"Sí, sabemos, señor presidente, que orientar los destinos, esos distintos intereses de la sociedad, sobre todo los económicos hacia el bienestar social, no es sencillo, estamos enfrentando en nuestro estado también algunas resistencias, fuerzas que se oponen el mandato popular y no quieren dejar sus privilegios. Y les quiero decir que, con su ejemplo, señor presidente, ha sido determinante para no claudicar en nuestras convicciones y seguir luchando por los intereses del pueblo.",0.0,73,13,02,2023
MARIA ELENA LEZAMA ESPINOSA,"No queremos inversiones que sólo extraen la riqueza de Quintana Roo, pues el principal destino turístico del mundo tiene que tener a la población mejor alimentada, con la mejor educación y el mejor sistema de salud del mundo entero.",0.0,39,13,02,2023
