Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LUIS RODRIGUEZ BUCIO," Con su permiso, señor presidente. Muy buenos días.",0.0,8,21,02,2023
LUIS RODRIGUEZ BUCIO,"Me voy a permitir informar sobre Cero impunidad, esto en el periodo del 6 al 20 de febrero del presente año. La coordinación interinstitucional es importante entre las instancias de seguridad, principalmente del Gobierno de México, más las secretarías de Seguridad y las fiscalías, tanto la Fiscalía General de la República como las fiscalías estatales, y en este caso también tenemos un caso relevante en el que participan la policía municipal de Ciudad Juárez.",0.0,74,21,02,2023
LUIS RODRIGUEZ BUCIO,"El registro de personas detenidas por delitos del fuero común y federal, 19 mil 752 y 19 mil detenidos y 19 mil 429 presentados ante el Ministerio Público.",0.0,28,21,02,2023
LUIS RODRIGUEZ BUCIO,"Adelante. En esta ocasión tenemos la extradición de cinco personas, son requeridos por diferentes Cortes de los Estados Unidos, principalmente por delitos como de tipo sexual, tentativa de homicidio, lesiones, secuestro y homicidio.",0.0,33,21,02,2023
LUIS RODRIGUEZ BUCIO,"También tenemos en esta ocasión la extradición, pero en esta ocasión de Polonia a México, se trata de Mihai ‘N’, él es requerido por un juez de distrito con sede en el Reclusorio Sur por el delito de asociación delictuosa y fraude a instituciones de crédito. Mihai ‘N’ es socio de Florian ‘N’ y presunto líder de una banda dedicada a extraer dinero de cajeros automáticos en lo que es la Riviera Maya, principalmente en Cancún. Florian ‘N’, como recordamos, fue detenido en mayo del año pasado también por el delito de asociación delictuosa.",0.0,94,21,02,2023
LUIS RODRIGUEZ BUCIO,"En cuanto a los fugados, los 30 reos fugados el día 1º de enero del Cereso número 3 de Chihuahua, a la fecha se han recapturado 19, se han localizado sin vida seis y continúan cinco prófugos de la justicia.",0.0,40,21,02,2023
LUIS RODRIGUEZ BUCIO,"Adelante. En esta ocasión tenemos un caso en el que se dio la destitución de servidores públicos de Cofepris aquí en la Ciudad de México, este es un trabajo realizado por la propia Cofepris, la Secretaría de Salud, la Secretaría de Marina, que logran la destitución de sus cargos de 11 servidores públicos involucrados en actos de corrupción, principalmente destrucción de información y filtración de proyectos de modificación de las normas oficiales mexicanas.",0.0,73,21,02,2023
LUIS RODRIGUEZ BUCIO,"En detenciones relevantes, tenemos en Michoacán el caso de Antonio Sebastián, alias ‘el Morelia’, por el delito de secuestro exprés, en agravio de una persona de oficio mecánico; además, se le menciona como presunto jefe de plaza del cártel Jalisco Nueva Generación en Morelia, Michoacán.",0.0,45,21,02,2023
LUIS RODRIGUEZ BUCIO,"Otros detenidos son Luis Fernando ‘N’ y Luis Ángel ‘N’, ellos en el estado de Hidalgo por robo de vehículos con violencia. Lo importante aquí que estas personas se vestían de policías para cometer sus asaltos.",0.0,36,21,02,2023
LUIS RODRIGUEZ BUCIO,"Tenemos también la detención de una banda dedicada al robo de transporte, esto en el estado de Puebla, son seis personas. También aquí lo relevante es que tres de ellos son o eran agentes ministeriales en activo en la Fiscalía General de Justicia del estado.",0.0,45,21,02,2023
