Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Buenos días. Se hizo tarde. Ánimo.,0.0,6,22,02,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, pues hoy es miércoles y corresponde a la sección de ‘Quién es quién en las mentiras’, aunque es una pequeña muestra, ni siquiera estadísticamente es representativa, porque abundan las mentiras y la manipulación, no en todos los medios, sólo en la mayoría, y sí hay honrosas excepciones.",0.0,48,22,02,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y no tiene nada que ver con ustedes, es otro tipo de cosas; se está llevando a cabo una transformación y se está desmotando un régimen de corrupción, de injusticias, de privilegios que tenía su prensa, como tenía sus intelectuales.",0.0,40,22,02,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, ese es el fenómeno, esa es una transformación, porque le hacía falta al país, veníamos no de una crisis; de una decadencia, de un proceso de degradación progresivo. Lo de ayer, de García Luna, es parte de eso, es una decadencia.",0.0,42,22,02,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"¿Y cómo se enfrenta una decadencia, un proceso de degradación progresivo, que no sólo tiene que ver con lo económico, sino con todos los campos de la vida pública, con lo social, con lo político, con lo moral? ¿Cómo se enfrenta?",0.0,41,22,02,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Con una transformación, arrancando de raíz al régimen de corrupción, de injusticias, de complicidades, de privilegios, y eso es fuerte.",0.0,20,22,02,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y hasta lo debemos de celebrar que lo estamos haciendo de manera pacífica, sin violencia. Porque en la Independencia, aunque el cura Hidalgo era pacifista, hubo violencia; y en la Reforma, que es la segunda transformación, hubo violencia; y en la Revolución Madero era un hombre bueno, pacifista, se vio obligado a llamar al pueblo a tomar las armas en contra de la dictadura porque no le quedó otra opción.",0.0,70,22,02,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero hubo violencia, mucha violencia, y ahora estamos logrando este cambio de fondo sin violencia, porque tanto quienes estamos impulsando la transformación como los que se oponen no están utilizando la vía armada o la violencia, es el debate, son los cuestionamientos, las críticas en la prensa, las manifestaciones como la que va a haber el domingo en defensa del régimen de corrupción.",0.0,63,22,02,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Para eso es esa manifestación, para defender al viejo régimen corrupto, los que van a participar vienen a eso. ¿O ustedes creen que vienen por la ley electoral? No, vienen a decir: ‘El INE no se toca’, pero también ‘García Luna no se toca’, y en el fondo es ‘el régimen corrupto y conservador no se toca’. Para eso es. Pero bueno, tenía tiempo que no se daba una situación así.",0.0,71,22,02,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, vamos a ver qué trae Elizabeth.",0.0,7,22,02,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Ah, también, de una vez todo.",0.0,6,22,02,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Muy bien. Vamos, uno, dos, tres, cuatro, cinco, seis, falta una compañera, tú, siete. Que sean tres y tres, digo, tres y cuatro.",0.0,23,22,02,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Mire, yo lo que considero es que, primero lo que Elizabeth subrayó, para que se entienda bien, García Luna, inclusive Felipe Calderón, el presidente actual, no somos México, somos representantes de un país. México es su pueblo, no equiparar, eso está mal. Si están enjuiciando a un funcionario de México no es un juicio contra México, eso dejarlo de manifiesto. Incluso yo diría que ayuda a seguir limpiando la corrupción en México, un juicio así.",0.0,75,22,02,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Desde luego, falta más, esto es apenas el inicio. Ya es una buena contribución, pero podría ser mayor el aporte, porque al final de cuentas lo que debe quedarnos como enseñanza es que nunca más se deben de repetir estos hechos, la no repetición de la actuación de gobiernos, de funcionarios corruptos, el que no se vuelva a permitir la impunidad, que podamos desterrar la corrupción. Entonces, ya es un avance en ese propósito.",0.0,74,22,02,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Falta más información. Por ejemplo, se habla de un grupo, se hizo hasta un organigrama y así encuadró el asunto la fiscalía de Estados Unidos, un cártel que funcionaba desde el gobierno. Pero entonces, ¿qué, no sabía el presidente? Yo en su momento definí tres hipótesis:",0.0,46,22,02,2023
