Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JESUS RAMIREZ CUEVAS, Temixco.,0.0,1,03,02,2023
JESUS RAMIREZ CUEVAS," Bueno, este es un texto de sus memorias de José Saramago, Premio Nobel de literatura, y es sobre la privatización.",0.0,20,03,02,2023
JESUS RAMIREZ CUEVAS,"‘privatización, que se privatice todo. Que se privatice Machu Picchu, que se privatice Chan Chan, que se privatice la Capilla Sixtina, que se privatice el Partenón, que se privatice Nuno Gonçalves, que se privatice la catedral de Chartres, que se privatice el Descendimiento de la cruz de Antonio da Crestalcore, que se privatice el Pórtico de la Gloria de Santiago de Compostela, que se privatice la cordillera de los Andes, que se privatice todo, que se privatice el mar y el cielo, que se privatice el agua y el aire, que se privatice la justicia y la ley, que se privatice la nube que pasa, que se privatice el sueño, sobre todo si es diurno y con los ojos abiertos.",0.0,120,03,02,2023
JESUS RAMIREZ CUEVAS,"‘Y, finalmente, para florón y remate de tanto privatizar, privatícense los Estados, entréguese de una vez por todas la explotación a empresas privadas mediante concurso internacional. Ahí se encuentra la salvación del mundo. Y, metidos en esto, que se privatice también a la señora que los parió a todos’.",0.0,49,03,02,2023
JESUS RAMIREZ CUEVAS, Óscar Arnulfo Romero.,0.0,3,03,02,2023
JESUS RAMIREZ CUEVAS," La carta del 25 de enero, Peter Cerdá.",0.0,8,03,02,2023
JESUS RAMIREZ CUEVAS, Aceptando que… Ahorita me la acaban de mandar.,0.0,8,03,02,2023
JESUS RAMIREZ CUEVAS, Es para hablar del tema de la carga.,0.0,8,03,02,2023
JESUS RAMIREZ CUEVAS, Peter Cerdá.,0.0,2,03,02,2023
JESUS RAMIREZ CUEVAS," La Cofece, Comisión Federal de Competencia Económica.",0.0,7,03,02,2023
JESUS RAMIREZ CUEVAS, Económica.,0.0,1,03,02,2023
