Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JORGE NUÑO LARA," Buenos días. Con su permiso, presidente.",0.0,6,06,02,2023
JORGE NUÑO LARA,"El presidente nos instruyó a la Secretaría de Infraestructura a desarrollar un plan de cuatro proyectos en Cancún. Este programa tiene un monto de aproximadamente de siete mil 200 millones de pesos, consiste en cuatro proyectos: el puente vehicular Nichupté, que es de una longitud de 8.8 kilómetros; la rehabilitación con concreto hidráulico del boulevard Colosio, de 13.3 kilómetros; así como la construcción del distribuidor Aeropuerto y la construcción de una vialidad que se llama Chac Mool de 4.5 kilómetros de longitud. En total es una infraestructura de 29 kilómetros.",0.0,90,06,02,2023
JORGE NUÑO LARA,"Estas obras buscan mejorar la conectividad entre el aeropuerto y la zona turística en Cancún, generar un tiempo de traslado menor, reducir los costos generales de transporte y una menor incidencia de accidentes y contaminación ambiental en la zona.",0.0,39,06,02,2023
JORGE NUÑO LARA,"En resumen, permitirá mejorar la calidad de vida, así como impulsar la economía local y el desarrollo turístico en la zona, y generar poco más de 10 mil empleos directos y más de 41 mil empleos indirectos.",0.0,37,06,02,2023
JORGE NUÑO LARA,Y tenemos un video que ilustrará el avance de las obras. Estas obras estarán concluidas a finales de este año.,0.0,20,06,02,2023
JORGE NUÑO LARA,"Sería cuanto, presidente, y el video.",0.0,6,06,02,2023
JORGE NUÑO LARA, Es el puente y rehabilitamos los accesos al puente.,0.0,9,06,02,2023
JORGE NUÑO LARA," Claro que sí, presidente.",0.0,4,06,02,2023
JORGE NUÑO LARA, Ochocientos cincuenta y dos metros.,0.0,5,06,02,2023
JORGE NUÑO LARA," Sí, señor presidente, con el gobernador y con el secretario de Gobernación.",0.0,12,06,02,2023
