Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LUIS CRESENCIO SANDOVAL GONZALEZ," Con su permiso, señor presidente. Continuamos con el informe. Adelante, por favor.",0.0,12,07,02,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"Sobre el efectivo y reclutamiento de la Guardia, tenemos ya al momento 128 mil 233 elementos de la Guardia Nacional, tenemos la proyección para el 2023 de reclutar a 13 mil 423 elemento. Iniciamos este mes el reclutamiento, llevamos 118 elementos que se incorporan a la Guardia Nacional.",0.0,48,07,02,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En construcciones ya tenemos 262 compañías terminadas, 82 están en construcción y 150 se iniciarán en los siguientes meses. En cuanto a coordinaciones estatales, siete en construcción, 15 coordinaciones de batallón, ya concluimos una unidad habitacional y cuatro están en construcción.",0.0,41,07,02,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En cuanto a apoyos de seguridad a la Secretaría del Bienestar, mil 489 apoyos en el ámbito de los programas sociales.",0.0,21,07,02,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En reclusorios, se trasladaron a 14, hubo 14 traslados de internos, reubicaciones.",0.0,12,07,02,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,A la Secretaría de Agricultura y Desarrollo Rural se trasladaron 28 mil 533 toneladas de fertilizantes a las diferentes áreas de la República.,0.0,23,07,02,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,Al Metro continúan dándole seguridad a las 12 líneas y 190 estaciones.,0.0,12,07,02,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"Aquí tenemos 11 misiones, de estas 11 misiones que cumplen las cuatro fuerzas que tenemos. Se emplean 164 mil 233 elementos, Guardia Nacional, Ejército, Fuerza Aérea y Marina.",0.0,28,07,02,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"Dentro del uso de la inteligencia, en este periodo se hicieron las detenciones de 615 personas, 18 son detenidos relevantes, que aquí los vemos en la lámina, el día 19 en Salvatierra, dos personas, generador de violencia en Tarimoro y Salvatierra, Guanajuato, del cártel Santa Rosa de Lima.",0.0,48,07,02,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"El día 20, dos personas en Durango.",0.0,7,07,02,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"El día 21 de enero, en Hopelchén, Campeche, una persona. Esta persona operaba en lo que era Hopelchén, Calakmul, Champotón y Hecelchakán. Se encargaba de habilitar pistas de aterrizaje. Este fue detenido por la Fiscalía del estado de Campeche.",0.0,39,07,02,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"El día 18, tres personas. El día 20, otras tres personas. Estos están relacionados con el hallazgo de 53 cuerpos de personas indocumentadas que fueron localizadas en el interior de una caja de tractocamión el día 27 de junio del año pasado en San Antonio Texas.",0.0,46,07,02,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,El día 24 una persona más por la Fiscalía del estado de Chihuahua. Es líder de la organización de Los Mexicles.,0.0,21,07,02,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"Adelante. El día 31 en Zacapu, Michoacán, una persona más del cártel Nuevo Imperio, y el día 21 en Toluca un operador financiero y logístico de esa misma organización.",0.0,29,07,02,2023
