Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ROSA ICELA RODRIGUEZ VELAZQUEZ," Con su permiso, señor presidente. Buenos días a todas y a todos.",0.0,12,07,02,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Vamos a presentar algunos reportes en esta quincena que estamos dando el reporte sobre seguridad, y este es el informe sobre el Programa de Regularización de Vehículos de Procedencia Extranjera.",0.0,30,07,02,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"A la fecha, del 19 de marzo del 2022 al 6 de febrero pasado, se llevan un millón 170 mil 579 vehículos regularizados. Cabe señalar que esta acción se está llevando a cabo para dar certeza jurídica a los propietarios, pero también para evitar que los vehículos que son irregulares sean utilizados en la comisión de delitos.",0.0,57,07,02,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Son 143 módulos instalados en 14 entidades del país. Por instrucción del señor presidente, este programa se está llevando a cabo en estos estados. Actualmente el programa va a terminar el 31 de marzo de este año, es importante decirlo para que las personas se apresuren a hacer los trámites correspondientes.",0.0,51,07,02,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En estos 143 módulos se han regularizado un millón 170 mil 579. Aquí está estado por estado cuál es el número de regularizaciones. Y hay que decir que en el caso de Baja California, Chihuahua y Tamaulipas son los lugares en donde han tenido mayor número de regularizaciones, estos tres estados concentran el 53 por ciento del total de los 14 estados.",0.0,62,07,02,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Recordar que el cobro de cada una de las regularizaciones es de dos mil 500 pesos por vehículo, que finalmente siempre se usa en las actividades diarias de las familias de estos estados.",0.0,33,07,02,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Con los recursos obtenidos, también por instrucción del señor presidente, se han pavimentado calles y avenidas de los estados en donde se lleva a cabo el programa. El recurso obtenido de esta regularización sirve para tapar baches, para arreglar avenidas.",0.0,40,07,02,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"También tenemos hoy el informe sobre preliberaciones, hay una lámina, dos láminas, donde presentamos el total de preliberaciones y amnistías. En atención a su instrucción, señor presidente, me permito informarle que mantenemos las acciones para tramitar libertades anticipadas y amnistías a personas que no han cometido delitos graves, que no pudieron pagar un abogado, que no tuvieron traductor o que han enfrentado diversas dificultades.",0.0,64,07,02,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"De julio de 2022 al 3 de febrero de 2023 se llevan cuatro mil 461 preliberaciones y 243 amnistías. En el caso de las preliberaciones, son a mujeres, adultos mayores, a personas con enfermedades crónico-degenerativas, así como a indígenas o a algunos que cumplieron con los requisitos de la ley.",0.0,50,07,02,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"También, en el caso de amnistías son a mujeres, a personas con discapacidad permanente o que tienen pobreza, indígenas, o que son víctimas de tortura o intimidación o de discriminación.",0.0,30,07,02,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"En total, han quedado en libertad cuatro mil 704 personas que permanecían en centros penitenciarios.",0.0,15,07,02,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"También dar los últimos detalles de este programa que también usted nos instruyó a coordinar con la Secretaría de Hacienda, con la Secretaría de la Defensa, con la Secretaría Particular de la Presidencia, con todos, con la Función Pública también, estamos trabajando en el Tianguis del Bienestar.",0.0,47,07,02,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,¿De qué se trata esta acción?,0.0,6,07,02,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"De los artículos decomisados o incautados a la delincuencia y que están en buen estado, completamente nuevos, se entregan a comunidades que son marginadas, que lo necesitan, se entregan artículos completamente nuevos, ropa, calzado, artículos para el hogar, y se entregan en estas comunidades por instrucciones también del señor presidente.",0.0,50,07,02,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Solamente aquí decir que el lunes 20 de febrero se reanudará el Tianguis del Bienestar en la Mixteca oaxaqueña. Se van a cumplir un total de 68 municipios de las zonas. Aquí vienen las fechas en las que estaremos iniciando, empieza en el mes de febrero y estamos terminando esos municipios en mayo.",0.0,53,07,02,2023
ROSA ICELA RODRIGUEZ VELAZQUEZ,"Y aquí están algunos preparativos para arrancar la operación para conjuntar los artículos que están aduanas o en otros sitios, y ya se están llevando, digamos, hacia estas comunidades con el apoyo de la Secretaría de la Defensa Nacional, también con la agencia de aduanas, también con el SAT, también con el Instituto para Devolver al Pueblo lo Robado.",0.0,59,07,02,2023
