Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ALEJANDRA FRAUSTO GUERRERO," Muy buenos días, señor presidente. Con su permiso. Gracias por permitirnos compartir con mucho gusto los avances del proyecto Chapultepec, Naturaleza y Cultura.",0.0,23,08,02,2023
ALEJANDRA FRAUSTO GUERRERO,"Buenos días, jefa de Gobierno, canciller, general secretario, Gabriel, Elizabeth y la arqueóloga Lourdes López, compañeros de los medios de comunicación.",0.0,21,08,02,2023
ALEJANDRA FRAUSTO GUERRERO,"Como en otros ámbitos en esta área, en la cultura, ahora se transforma también en un derecho y no en un privilegio. En general, en Proyecto Chapultepec, Naturaleza y Cultura, transforma espacios que habían sido cerrados al público para el goce de la ciudadanía, lo privado en público, lo imposible en un espacio real para el goce de los derechos culturales.",0.0,61,08,02,2023
ALEJANDRA FRAUSTO GUERRERO,"La primera compuerta, como ustedes conocen, es que abre la Primera Sección, era antigua residencia oficial de los presidentes, ahora la residencia oficial del pueblo de México, Los Pinos, que tiene una intensa vida cultural desde el primer día de esta administración. En este espacio se habrán recibido cerca de nueve millones de visitantes.",0.0,54,08,02,2023
ALEJANDRA FRAUSTO GUERRERO,"Ahí se abre la casa presidencia ‘Lázaro Cárdenas’, que hace memoria de todo este legado de uno de los mejores presidentes de México. Este recinto es desde donde se funda la Residencia Oficial de Los Pinos y ahora se puede conocer ahí el pensamiento y la memoria histórica de este extraordinario personaje de la vida pública.",0.0,56,08,02,2023
ALEJANDRA FRAUSTO GUERRERO,"Otro espacio emblemático que se transforma en lo que era un antiguo edificio administrativo del Estado Mayor Presidencial en el Museo del Maíz y la Casa de la Cultura Alimentaria Cencalli, este espacio está abierto ya como un museo que da cuenta de la riqueza de nuestra cultura alimentaria, de la conciencia sobre la tierra y pues tiene una posibilidad para las personas que viven en esta ciudad y los visitantes de conocer esta riqueza alimentaria y de comprar a los productores directamente, mujeres y hombres de la tierra los alimentos cada fin de semana.",0.0,95,08,02,2023
ALEJANDRA FRAUSTO GUERRERO,"En la Primera Sección se encuentra uno de los circuitos de museos más importantes del mundo. Este circuito de museos había pasado décadas sin que tuviera mantenimiento, sin que se le diera atención a esta importantísima infraestructura. Con esta intervención se ha hecho la restauración y el mejoramiento del Museo de Arte Moderno, del Museo ‘Rufino Tamayo’, de la Sala de Arte Público ‘Siqueiros’, del Museo “El Caracol”, desde luego del Castillo de Chapultepec y del Museo Nacional de Antropología, que inaugurará este año la renovada Sala Etnográfica, el segundo piso del Museo de Antropología.",0.0,95,08,02,2023
ALEJANDRA FRAUSTO GUERRERO,"También el Centro Cultural del Bosque donde se encuentran ocho teatros está siendo, ya está totalmente rehabilitado. Hace más de 20 años que no tenía una intervención en todo lo que tiene la infraestructura, la tramoya, todo lo que es esta importante infraestructura para las artes escénicas en México.",0.0,49,08,02,2023
ALEJANDRA FRAUSTO GUERRERO,"En la Segunda Sección de Chapultepec, en el campo de la cultura, en este binomio de cultura y medio ambiente, acabamos de inaugurar con la presencia del presidente el Centro de Cultura Ambiental. En este espacio se da uno de los encuentros fundamentales de lo que representa Chapultepec, un espacio donde la conciencia sobre la naturaleza, sobre los impactos del cambio climático y el cuidado del medio ambiente conviven y dialogan con la grandeza cultural y la historia que se ha vivido en este extraordinario bosque. Por eso nos acompaña la arqueóloga Lourdes López, que va a dar cuenta de algunos vestigios extraordinarios encontrados en Chapultepec, y que se exhiben ya de manera gratuita, es este espacio. Su acceso lo pueden visitar en la Segunda Sección de Chapultepec.",0.0,128,08,02,2023
ALEJANDRA FRAUSTO GUERRERO,"Enfrente de este espacio se encuentra el Cárcamo de Dolores, este espacio que diseñó, que concibió Diego Rivera, con unos murales que estuvieron muchos años bajo el agua. El Agua origen de la vida en la tierra y la Fuente de Tláloc son dos de las infraestructuras que fueron totalmente restauradas, así como la pieza Lambdoma, de Ariel Guzik, que acompaña este espacio cultural.",0.0,64,08,02,2023
ALEJANDRA FRAUSTO GUERRERO,También el emblemático Museo de Historia Natural tenía necesidad de ser intervenido en la estructura de sus bóvedas. Es una arquitectura del siglo XX muy emblemática del Bosque de Chapultepec y uno de los espacios que ha sido renovado con este proyecto.,0.0,42,08,02,2023
ALEJANDRA FRAUSTO GUERRERO,"La Tercera Sección se encuentra ahora lo que fue el Atlantis y El Rollo, aquel parque que se quedó abandonado, ¿se acuerdan?, un parque acuático, es ahora el Parque de Cultura Urbana, Parcur, que ya ha sido tomado por los jóvenes de esta zona que normalmente no tenían acceso al bosque. Este espacio, además de un espacio dedicado a la cultura urbana, tiene las pistas de patinaje y de skatepark más importantes, con características olímpicas, que son las únicas en esta ciudad.",0.0,82,08,02,2023
ALEJANDRA FRAUSTO GUERRERO,"En la Cuarta Sección, gracias a la instrucción del presidente, a la generosidad de la Secretaría de la Defensa Nacional, contamos ahora con la Cuarta Sección de Chapultepec. En la Cuarta Sección de Chapultepec —es un enorme territorio— estarán dos infraestructuras culturales emblemáticas:",0.0,43,08,02,2023
ALEJANDRA FRAUSTO GUERRERO,"La Cineteca Nacional del Poniente, en donde a través de ocho salas, una sala al aire libre, se dará a conocer el cine que se produce, el cine que se hace, pero que también debe de verse, el cine de México y el cine del mundo. Este espacio abrirá sus puertas también este año.",0.0,54,08,02,2023
ALEJANDRA FRAUSTO GUERRERO,"Y la Bodega Nacional de Arte. Los museos de arte están rebasados para tener la conservación de sus colecciones en sus bodegas y esta gran bodega será un espacio en donde se reúnan estas colecciones, los tesoros artísticos de esta nación, y será una bodega visitable, es un privilegio visitar una bodega de un museo y a esta bodega nacional podremos visitarla, podrá ir a juventud a conocer cómo se restaura una pieza artística. Esta era la antigua fábrica de cartuchos.",0.0,81,08,02,2023
ALEJANDRA FRAUSTO GUERRERO,"También en este espacio está la antigua fábrica de pólvora, que se está restaurando y recibirá una intensa y gratuita vida cultural también.",0.0,23,08,02,2023
ALEJANDRA FRAUSTO GUERRERO,"Y concluye este espacio con la Ermita Vasco de Quiroga. Ya lo mencionó el señor presidente, Tata Vasco funda este espacio, una ermita bellísima del siglo XVI, que ha sido totalmente restaurada, que está abierta ya con programación cultural todos los fines de semana y el pueblo de Santa Fe ya acude a este espacio. Y ahí vivió también Gregorio López, un eremita que se dedicó a ser el primer estudio tesoro de medicinas, estudiando la medicina tradicional de México.",0.0,80,08,02,2023
ALEJANDRA FRAUSTO GUERRERO,"Es así como, de estos ejes, el eje cultural, el eje ambiental y estas interconexiones darán cuenta de este trabajo pues quien lo ha coordinado, quien lo ha ideado, Gabriel Orozco, para que logremos tener a fin de año el bosque cultural más grande del mundo.",0.0,46,08,02,2023
ALEJANDRA FRAUSTO GUERRERO,"Gracias por permitir compartirlo, presidente.",0.0,5,08,02,2023
