Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
VICENTE FOX QUESADA," A ver, hazme bien la pregunta, por favor, porque…",0.0,9,02,03,2023
VICENTE FOX QUESADA," En ese momento no era de ella. Martha tiene una hectárea en la estancia; José, mi hermano, tiene 10 hectáreas en la estancia, y hay otros propietarios en la estancia.",0.0,30,02,03,2023
VICENTE FOX QUESADA,Lo que te reto a ti es no andar enseñando mentiras.,0.0,11,02,03,2023
VICENTE FOX QUESADA," Porque te reto a ti, lo que te reto es averiguar las cosas de manera directa.",0.0,16,02,03,2023
VICENTE FOX QUESADA," Claro, yo tengo muchas propiedades.",0.0,5,02,03,2023
VICENTE FOX QUESADA, ¿Tú no tienes propiedades?,0.0,4,02,03,2023
VICENTE FOX QUESADA," Ah, qué bueno, qué bueno que te va bien. Yo te vuelvo a decir y le he dicho a todos los mexicanos: Lo que tengo ahí está. Y si no te tendría yo que llamar mentiroso y calumniador a ti.",0.0,40,02,03,2023
VICENTE FOX QUESADA," Sí, me estás acusando.",0.0,4,02,03,2023
VICENTE FOX QUESADA, Es el clásico aventar la piedra y esconder la mano.,0.0,10,02,03,2023
VICENTE FOX QUESADA, Eres un mal entrevistador.,0.0,4,02,03,2023
VICENTE FOX QUESADA, Y ojalá lo saques con tu audiencia.,0.0,7,02,03,2023
VICENTE FOX QUESADA, Porque estás mintiendo.,0.0,3,02,03,2023
VICENTE FOX QUESADA," Estas mintiendo, estás mintiendo, dijiste que Martha era dueña de unos…",0.0,11,02,03,2023
VICENTE FOX QUESADA," Te vuelvo a repetir en plural, tú estás mintiendo.",0.0,9,02,03,2023
VICENTE FOX QUESADA," Amigos como siempre, viejito. Y no uses el tiempo de tus gentes, de tus clientes de esa manera para engañar a la gente.",0.0,23,02,03,2023
VICENTE FOX QUESADA, Que le vaya bien.,0.0,4,02,03,2023
VICENTE FOX QUESADA, Eres un vulgar.,0.0,3,02,03,2023
VICENTE FOX QUESADA, Adiós.,0.0,1,02,03,2023
VICENTE FOX QUESADA, ¿Dónde dices que dije eso?,0.0,5,02,03,2023
VICENTE FOX QUESADA," Lo dije en Washington, no fue así.",0.0,7,02,03,2023
VICENTE FOX QUESADA, Lo dije en Washington.,0.0,4,02,03,2023
VICENTE FOX QUESADA," Era importante para promover la democracia en México sacar al PRI de Los Pinos y era importante detener a López Obrador, que en demagogia y engaño se le ha ido dándole atole con el dedo a la gente, al estilo de Hugo Chávez, al estilo de Correa.",0.0,47,02,03,2023
VICENTE FOX QUESADA,Lo que dije exactamente fue lo siguiente allá en Washington. Estaba yo hablando de liderazgo a una audiencia que me pidió una presentación de liderazgo.,0.0,25,02,03,2023
VICENTE FOX QUESADA," Lo que sí hice todo lo que estaba en mi terreno dentro de la ley para que ese cuate no llegara a presidente, dentro de la ley y, tan es así que no sufrí castigo alguno.",0.0,36,02,03,2023
