Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA," Con el fin de mejorar la calidad de vida de las y los mexicanos, el gobierno federal continúa sus esfuerzos para avanzar en la Cuarta Transformación del país y a través del Tianguis del Bienestar sigue entregando los bienes incautados o decomisados a la población que más lo necesita.",0.0,49,22,03,2023
PREGUNTA,"En 2023 esta acción presidencial, continúa su operación en la zona de Mixteca de Oaxaca, con el objetivo de atender a 78 municipios de esta región y a 11 más de la Sierra Norte.",0.0,34,22,03,2023
PREGUNTA,"Desde que iniciamos en agosto de 2021, se han entregado más de ocho millones de bienes a 305 mil 529 familias de 142 municipios de Guerrero, Oaxaca, Chiapas y Veracruz.",0.0,30,22,03,2023
PREGUNTA,"Esto no sería posible sin el apoyo compartido de la Secretaría de Seguridad y Protección Ciudadana, la Secretaría de la Defensa Nacional, la Guardia Nacional, el Instituto para Devolver al Pueblo lo Robado, la Secretaría de la Función Pública y la Secretaría de Hacienda y Crédito Público, a través de la Agencia Nacional de Aduanas de México y el Servicio de Administración Tributaria.",0.0,63,22,03,2023
PREGUNTA, ¿Qué piensa usted de la política energética del presidente López Obrador?,0.0,11,22,03,2023
PREGUNTA, ¿Está de acuerdo con que se esté apoyando a Pemex para que ya no tenga pérdidas? ¿Le parece que está bien lo que está haciendo con Pemex el presidente?,0.0,29,22,03,2023
PREGUNTA," Oiga, ¿y cómo vino usted?, ¿lo invitaron, lo obligaron a venir?",0.0,11,22,03,2023
PREGUNTA, Le agradezco muchísimo.,0.0,3,22,03,2023
PREGUNTA, ¿Qué están haciendo aquí el día de hoy?,0.0,8,22,03,2023
PREGUNTA, ¿Qué opina de lo que se conmemora el día de hoy?,0.0,11,22,03,2023
PREGUNTA, Buenas tardes. ¿Qué está haciendo aquí el día de hoy?,0.0,10,22,03,2023
PREGUNTA," ¿Y los acarrearon, como dicen los conservadores?",0.0,7,22,03,2023
PREGUNTA, Oye ¿y ustedes son acarreados? ¿alguien les pagó algo?,0.0,9,22,03,2023
PREGUNTA, ¿Y hoy por qué se están manifestando o qué lo que están defendiendo hoy?,0.0,14,22,03,2023
