Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DIEGO PRIETO HERNADEZ," Muy buenos días, presidente, gobernadora, compañeras y compañeros del gabinete y de este gran equipo de trabajo que promueve este proyecto de desarrollo sustentable y con justicia, que es el Tren Maya. Lo mismo, con un saludo a las compañeras y compañeros de los medios.",0.0,45,27,03,2023
DIEGO PRIETO HERNADEZ,"Daremos cuenta de alguna manera del universo de bienes culturales, de materiales arqueológicos y también un cúmulo muy importante de información que se ha podido recuperar en el tramo 2 mediante el salvamento arqueológico.",0.0,34,27,03,2023
DIEGO PRIETO HERNADEZ,"Estamos contabilizando en este tramo que pudimos recuperar cuatro mil 771 bienes inmuebles con información muy valiosa y dentro de los cuales ubicamos ocho monumentos de valor excepcional que, mediante ajustes en el trazo y la ingeniería, han sido plenamente conservados y preservados; 171 bienes muebles entre vasijas, metates, elementos de piedra, figurillas y otros materiales; 268 mil 55 fragmentos de cerámica, que están siendo analizados para el mejor conocimiento de la civilización maya en sus distintas etapas; 281 enterramientos, muchos de ellos con ofrenda, y 52 rasgos naturales asociados al paisaje.",0.0,92,27,03,2023
DIEGO PRIETO HERNADEZ,"Por lo tanto, la obra tiene 100 por ciento del visto bueno. De hecho, el salvamento arqueológico se concentra ahora fundamentalmente en los tramos 6 y 7, sobre todo en el tramo 7, en donde cientos de estudiantes egresados de la Universidad Autónoma de Yucatán, de la Universidad de Ciencias y Artes de Chiapas, Unicach, la Universidad Veracruzana, la Universidad Autónoma de Zacatecas, la Universidad Autónoma del Estado de México y la ENAH están trabajando de manera muy esforzada, comprometidos en la recuperación del patrimonio arqueológico de su país y por supuesto en una actividad que, aun siendo egresados de la carrera, representa una valiosa formación para ellos.",0.0,108,27,03,2023
DIEGO PRIETO HERNADEZ,"Quisiera saludar a un grupo de estudiantes de la ENAH, que ahora mismo están presentando demandas a la dirección del INAH y al gobierno para el mejoramiento de su escuela que traía importantes rezagos que debemos revertir.",0.0,37,27,03,2023
DIEGO PRIETO HERNADEZ,"Por otro lado, en lo que refiere al Programa de Mejoramiento de Zonas Arqueológicas tenemos dos zonas que están siendo atendidas. Una de ellas es Edzná, en el estado de Campeche, ahí hemos concluido las tareas de restauración y conservación en el edificio de los cinco pisos, que es la estructura más relevante en esta ciudad antigua maya, que la pueden observar en la imagen.",0.0,65,27,03,2023
DIEGO PRIETO HERNADEZ,"Pero también estamos trabajando en la estructura Nohoch Nah, en donde llevamos ya casi concluidas las tareas de excavación y consolidación de las estructuras y llevamos un avance del cinco por ciento en el sector suroeste de esta plaza.",0.0,39,27,03,2023
DIEGO PRIETO HERNADEZ,"Por otro lado, llevamos un 50 por ciento de avance en el mantenimiento del Sacbe’ob 1 y 3.",0.0,18,27,03,2023
DIEGO PRIETO HERNADEZ,"En cuanto al Centro de Atención a Visitantes, hemos concluido el proyecto ejecutivo, las tareas de demolición y estamos avanzando en el inicio de las obras para erigir este centro de atención.",0.0,32,27,03,2023
DIEGO PRIETO HERNADEZ,"La otra zona que estamos atendiendo es Xcalumkín, también el estado de Campeche, zona que se vincula al horizonte maya Puuc. Ahí llevamos avances importantes en la topografía y trazo de la retícula para las excavaciones, hemos concluido el chapeo, limpieza, diagnóstico y evaluación de las áreas que se van a trabajar para su investigación y conservación.",0.0,57,27,03,2023
