Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ELBA ESTHER GORDILLO MORALES, Buenas tardes. ¿Cómo le va mi querido amigo?,0.0,8,03,03,2023
ELBA ESTHER GORDILLO MORALES," A ver, por eso estoy hablando.",0.0,6,03,03,2023
ELBA ESTHER GORDILLO MORALES, …,0.0,1,03,03,2023
ELBA ESTHER GORDILLO MORALES," En las encuestas, nuestra nuestra encuesta tiene, por una red que armamos en todo el país, en eso estamos trabajando, de seis mil 364 cuestionarios apenas llevamos… De 14 mil, llevamos seis mil, perdón. Y vamos así: 34.1 PAN, 22.96, PRI, 33.68, PRD. Ya se cayó el PRI, ¿eh?",0.0,49,03,03,2023
ELBA ESTHER GORDILLO MORALES," Entonces, hay que saber cómo actuar.",0.0,6,03,03,2023
ELBA ESTHER GORDILLO MORALES," Entonces, mejor si es… No sé por dónde andes, por azul o por amarillo, pero si vas por azul, que es lo que pensamos, vale más hablarle a Felipe y decirle algo, ¿no?, para no quedar mal, de una vez.",0.0,40,03,03,2023
ELBA ESTHER GORDILLO MORALES, Vamos a sacar ahorita todo el voto ciudadano.,0.0,8,03,03,2023
ELBA ESTHER GORDILLO MORALES," Ah, porque por eso quise hablar, porque el informe que tienen es que todo para el PRI, y no es malo, porque eso es institucional, pero (inaudible) creo que lo interesante es hablar con Felipe y vendérselo.",0.0,37,03,03,2023
ELBA ESTHER GORDILLO MORALES, ¿No? Porque si no chambeamos…,0.0,5,03,03,2023
ELBA ESTHER GORDILLO MORALES," Cómo andan, pero ya se va despejando, ya el voto duro ya salió.",0.0,13,03,03,2023
ELBA ESTHER GORDILLO MORALES," Bueno, yo te comunico y ahí tú tomas tu decisión.",0.0,10,03,03,2023
ELBA ESTHER GORDILLO MORALES, Y decides por azul no lo vayas (inaudible),0.0,8,03,03,2023
ELBA ESTHER GORDILLO MORALES, Un abrazote.,0.0,2,03,03,2023
ELBA ESTHER GORDILLO MORALES, Igualmente. Bye.,0.0,2,03,03,2023
