Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JOSE RAFAEL OJEDA DURAN," Vamos a darle el informe de seguridad del 21 de febrero al 6 de marzo de este año. El total de elementos desplegados para estos operativos son 250 mil 884 elementos, de los cuales el 75 por ciento son los que están operando y el 25 por ciento son el apoyo logístico para esas operaciones.",0.0,55,07,03,2023
JOSE RAFAEL OJEDA DURAN,"Y desde luego, estas son las aeronaves, vehículos, aviones, buques, etcétera, que se utilizan para esas operaciones.",0.0,17,07,03,2023
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a estos primeros siete operativos, hay 35 mil 733 elementos desplegados. Vamos a ir viendo uno por uno.",0.0,23,07,03,2023
JOSE RAFAEL OJEDA DURAN,"En el mantenimiento del Estado de derecho por parte de esta institución, la Secretaría de Marina, en el mar se realizaron 180 operaciones, en la tierra 170 operaciones y en el aire 290 operaciones, con un total de 640 operaciones a lo largo de estas fechas, 15 mil 100 elementos desplegados.",0.0,51,07,03,2023
JOSE RAFAEL OJEDA DURAN,"En lo que se refiere a protección marítima portuaria, nosotros le damos vigilancia a 117 terminales marítimas y puertos, 20 vigiladas por las unidades de Protección Marítima y Portuaria, y 97 por los diferentes mandos navales.",0.0,36,07,03,2023
JOSE RAFAEL OJEDA DURAN,"Lo que se realizó en este periodo, a pie se recorrieron tres mil 700 kilómetros; en vehículos, 49 mil kilómetros; en lo que se refiere a embarcaciones menores, mil 400 millas náuticas.",0.0,32,07,03,2023
JOSE RAFAEL OJEDA DURAN,¿Qué se realizó?,0.0,3,07,03,2023
JOSE RAFAEL OJEDA DURAN,"Inspecciones a vehículos, 96 mil 700; a personas, 145 mil; a contenedores, 31 mil 500; embarcaciones, 280; con drones submarinos se inspeccionaron 13 buques; personal desplegado, tres mil 100 elementos.",0.0,30,07,03,2023
JOSE RAFAEL OJEDA DURAN,"La que sigue. En lo que se refiere a la vigilancia y el control del aeropuerto de la Ciudad de México, hay mil 500 personas desplegadas.",0.0,26,07,03,2023
JOSE RAFAEL OJEDA DURAN,"¿Qué se dio en este periodo, las acciones que se realizaron?",0.0,11,07,03,2023
JOSE RAFAEL OJEDA DURAN,"Apoyo a la seguridad, tres mil 980 apoyos; atenciones médicas, 190; apoyos a usuarios, mil 200; pasajeros no admitidos, 970; pasajeros puestos a disposición, 16; inspecciones a maletas y bodegas, mil 500. Y no se reportó ningún robo ni extravío de maletas.",0.0,42,07,03,2023
JOSE RAFAEL OJEDA DURAN,"La que sigue. De eventos relevantes ahí en el aeropuerto, por medio de un monitoreo por circuito cerrado de televisión se atendió un reporte de robo de mochila, siendo el efecto recuperado y llevado a cabo una detención y puesta ante el Ministerio Público de la persona que llevó a cabo ese ilícito.",0.0,53,07,03,2023
JOSE RAFAEL OJEDA DURAN,"Igualmente, se realizó una puesta ―no, la anterior, por favor― se realizó puesta a disposición ante el Ministerio Público a una persona femenina por el supuesto delito de explotación laboral de menor o discapacitados, impidiendo que una menor de 16 años viajara al estado de Nuevo León, siendo esta última presentada ante el DIF.",0.0,54,07,03,2023
JOSE RAFAEL OJEDA DURAN,"La que sigue. Dentro de la estrategia que tenemos para el uso de inteligencia, se llevaron a cabo varias detenciones:",0.0,20,07,03,2023
JOSE RAFAEL OJEDA DURAN,"El 28 de febrero en Matías Romero un elemento, grupo delictivo de Los Ántrax.",0.0,14,07,03,2023
