Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Buenos días. Ánimo, ánimo.",0.0,4,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, pues como cada 15 días, los martes informamos sobre la situación de seguridad en el país y hoy corresponde, va a informar el Gabinete de Seguridad, es el periodo de lo sucedido en los últimos 15 días. Empezamos.",0.0,39,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Con permiso, señor presidente. Buenos días.",0.0,6,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Muy bien. Puras mujeres, una, dos, tres, cuatro, cinco y seis. Vámonos.",0.0,12,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Pues lo estamos logrando, se está avanzando y ese es nuestro compromiso. Antes no les importaba la salud del pueblo a los que gobernaban, en todo el periodo neoliberal dejaron en el suelo el servicio de salud pública, y lo estamos levantando y pues se están equipando centros de salud, hospitales.",0.0,51,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ya se terminó de resolver el problema del abasto de medicamentos, que era un problema serio porque era parte de una gran corrupción que imperó durante mucho tiempo, se robaban el dinero de las medicinas. Entonces, eso ya se está atendiendo.",0.0,41,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Otro asunto, otra herencia del régimen neoliberal de corrupción fue el abandono de la educación en general y de la educación pública en particular, y en específico la formación de médicos y de enfermeras, al grado que México no tiene los médicos que requiere, porque durante 36 años de predominio de la política neoliberal no se formaron los médicos, se rechazaba a los que querían estudiar medicina en las escuelas de nivel licenciatura y también se limitó mucho la posibilidad que se formarán como especialistas los médicos. Entonces, ahora estamos abriendo escuelas de medicina, se amplió el número de becarios para especialidades al doble.",0.0,104,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Estamos contratando médicos especialistas del extranjero, sólo de Cuba ya hay alrededor de 600 especialistas trabajando en centros de salud, en hospitales, lo cual no voy a dejar de agradecer al pueblo, al gobierno cubano, por este apoyo. Porque ¿cómo se garantiza el derecho a la salud en el país?, ¿sobre todo cómo garantizamos que los que no tienen seguridad social, que es la mitad de la población, cuente con atención médica, cuente con medicamentos y de manera gratuita? Por eso, agradecemos mucho que nos están enviando estos médicos especialistas.",0.0,90,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y estamos basificando, tenían 80 mil elementos del sector salud, trabajadores del sector salud, contratados por honorarios, de manera eventual. Los estamos basificando a todos.",0.0,25,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y en tu materia se está avanzando, es una indicación que hemos dado con el director del Seguro Social, con Zoé, pero es un proceso y vamos hacia allá. Y si esa dirección de medicina tradicional no funciona, va a funcionar.",0.0,41,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Va a funcionar, es muchísimo tiempo todavía el que nos falta, porque trabajamos el doble. Si es año y medio, quiere decir que nos quedan tres años.",0.0,27,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y lo vamos a resolver porque, si no están dando resultados, pues se tiene que buscar a otras personas, a otros servidores públicos. No tenemos relaciones de complicidad con nadie.",0.0,30,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Permíteme.,0.0,1,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, ya el martes próximo, que vamos a tener el informe sobre salud, ya quiero que te den respuesta el secretario de Salud y el director del Seguro Social. Vienes el martes próximo.",0.0,33,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Para atender esto en particular, porque no tenemos ningún inconveniente en apoyar la medicina tradicional, y además se está haciendo, pero hace falta que se informe. Y si el asunto es las diferencias que puedes tener con la directora o director de medicina tradicional, o que, en efecto, realmente no están haciendo nada, ya se va a resolver, el martes se resuelve.",0.0,62,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El martes, si no hay resultados, va a cambiar esa dirección, es decir, los servidores públicos de esa dirección. Sí si funcionan, si sí están trabajando, no van a cambiar, aunque tú vengas aquí a decir que no trabajan y que no hacen nada. Entonces, ese es mi compromiso. ¿Te parece?",0.0,51,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," No, no, no, pero a ese no, a La Soborna no le creo mucho, ¿eh? O sea…",0.0,17,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," No, no, no, aquí le tengo confianza al doctor Hugo López-Gatell y le tengo confianza al secretario de Salud, sí, al doctor Alcocer, que es una gente íntegra, honesta.",0.0,29,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, estudios, sí, La Sorbona es muy importante, ¿no?, de las mejores universidades del mundo en Francia, sobre todo en ciencia social, pero ya las universidades del mundo están en crisis, hasta las mejores, porque la política neoliberal que se aplicó en el mundo afectó mucho el desempeño de estas universidades.",0.0,51,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Sucedió algo parecido a lo que está pasando con la prensa internacional, famosa. Ayer hablaba yo de que Felipe Calderón sacaba una frase o un párrafo en donde el exprocurador de Trump, el expresidente Trump, Barr, decía que el único que había enfrentado a los narcotraficantes en México había sido Felipe Calderón, entonces lo encomillaba y decía: ‘Y lo escribió en el influyente diario Wall Street Journal’.",0.0,67,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pues, primero, Barr, no sé qué le pasa, porque imagínense decir eso cuando está siendo juzgado… ¿Cómo se llama el señor?",0.0,21,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," García Luna, que era el brazo derecho de Calderón y que está demostrado que protegía al cártel de Sinaloa.",0.0,19,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, ¿por qué dice esto Barr? Yo me quedé pensando. ¿No será que como ya está de nuevo en su despacho le va a llevar el caso a Calderón? Lo van a contratar de abogado de Calderón, o de quienes resulten arriba, aquí y allá responsables, porque puede hablar todavía García Luna. Entonces me llamó mucho la atención.",0.0,58,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero es un poco, ¿no? esto que son infalibles, la prensa internacional, las universidades del extranjero, los centros financieros internacionales, ‘ya lo dijo el Banco Mundial’, ‘ya lo dijo el Fondo Monetario Internacional’. No, todo eso está en crisis, es parte de la decadencia que se padece en el mundo porque se apoderaron de los países, sometieron a los pueblos, elevaron a rango supremo el beneficio de minorías, se enriquecieron como nunca en los últimos 30, 40 años de política neoliberal unos pocos.",0.0,83,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Estaba yo leyendo que hay una persona que tiene un yate de 500 millones de dólares. Estaba leyendo también que hay un hotel en… ¿Cómo se llama este lugar de…?,0.0,30,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Dubái, en Dubái, de 100 mil dólares la noche. Puros pecadores sociales, o sea, habiendo mil millones de seres humanos que sobreviven con menos de un dólar diario.",0.0,28,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero lo arreglamos, ¿eh?",0.0,4,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Pero además tienes toda la razón, porque en Dinamarca no tienen, con todo respeto, la tradición cultural que se tiene en cuanto al uso de esta medicina en nuestro país.",0.0,30,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nosotros tenemos una gran reserva de conocimientos tradicionales sobre medicina que se ha utilizado siempre en los pueblos, se sigue utilizando, y hay que seguir apoyando esta medicina y, desde luego, el servicio tan importante que prestan las parteras y la medicina tradicional en general.",0.0,45,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, pero fíjate que es muy importante lo que preguntas, porque seguramente lo que te va a comentar Rosa Icela va a servir.",0.0,23,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Sí.,0.0,1,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, si hay algún contrato con Hacienda, vamos a revisarlo, de acuerdo a lo que estás proponiendo. A ver de qué se trata, si Hacienda tiene estos contratos y si no se contempló el incremento para otorgar el aumento al salario de los trabajadores, lo vamos a ver, queda pendiente.",0.0,50,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"También fíjate que Rosa Icela es muy buena servidora pública, institucional; además, con dimensión social, honesta, pero le faltó también decir que hay mucha burocracia todavía.",0.0,26,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Porque tú preguntaste: ‘¿Por qué tanto tiempo, pues, para resolver algo que tiene que ver con la justicia?’ Sí, bueno, pues este es el tema, es demasiado apego al derecho y demasiado abandono a la justicia, o sea, es preferencia por el derecho y desinterés por la justicia.",0.0,48,07,03,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Tenemos lo de la ley de amnistía. No la podemos aplicar como quisiéramos para hacer justicia porque tienen que estar sentenciados, y hay muchísima gente víctima de injusticias que llevan años sin sentencia. Y para el desistimiento de las autoridades, sea de la fiscalía o del Poder Judicial, como dicen mis paisanos veracruzanos, ‘les zumba’.",0.0,55,07,03,2023
