Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DIEGO PRIETO HERNANDEZ," Muy buenos días, presidente; muy buenos días, secretaria, secretario, compañeras y compañeros de este gran proyecto, esta gran experiencia de progreso de gobierno y de acercamiento con la sociedad que es la construcción del Tren Maya. Amigas, amigos de los medios.",0.0,41,10,04,2023
DIEGO PRIETO HERNANDEZ,"Efectivamente, en este tramo, al tramo 4 del Tren Maya básicamente hemos concluido los trabajos de campo en lo que se refiera al salvamento arqueológico, prácticamente del tramo 1 al 5 a concluir este trabajo de campo, ahora estamos concentramos en los tramos 6 y 7.",0.0,46,10,04,2023
DIEGO PRIETO HERNANDEZ,"En este tramo probablemente ustedes observen que hay un poquito menos de hallazgos por lo que se refiere a los materiales y la información arqueológica que hemos recuperado. En mucho se debe a que gran parte del trazo de este tramo 4 corre en paralelo a una autopista que ya había impactado el área; pero lo que refiere al acercamiento a Izamal y lo que refiere del tramo desde Nuevo Xcán hasta Cancún Aeropuerto son variantes que permitieron al instituto, a sus arqueólogos, que han hecho un trabajo espléndido, recuperar material arqueológico muy valioso.",0.0,94,10,04,2023
DIEGO PRIETO HERNANDEZ,"Son cuatro mil 228 construcciones, inmuebles de diferente tipo, albarradas, caminos, plazas, zonas de residencia de los antiguos mayas y distintas edificaciones, que nos ayudan a entender el poblamiento de las culturas mayas que florecieron en este territorio; 570 bienes inmuebles relativamente íntegros, 42 mil 617 fragmentos o tiestos de cerámica que han sido recuperados y están siendo analizados, 16 enterramientos humanos, algunos de ellos con ofrendas conexas y 110 rasgos naturales asociados a la presencia de grupos humanos, de manera que ahora el trabajo de los arqueólogos y demás profesionales que están concentrados en este tramo se dirige al Programa de Mejoramiento de Zonas Arqueológicas y a los Centros de Atención a Visitantes.",0.0,114,10,04,2023
DIEGO PRIETO HERNANDEZ,"Aquí tenemos dos zonas que se están atendiendo —si ponemos la lámina que sigue— una de ellas es Chichén Itzá, hoy por hoy, junto con Teotihuacán, la zona arqueológica que recibe el mayor número de visitantes al año, una zona de enorme importancia, patrimonio cultural de la humanidad. En ella tenemos un avance ponderado por lo que hace a los trabajos de investigación y conservación de estructuras arqueológicas del 50 por ciento.",0.0,72,10,04,2023
DIEGO PRIETO HERNANDEZ,Me parece muy interesante destacar los avances en lo que se refiere al área de Chichén Viejo o de la serie inicial en donde estamos cerca de concluir las tareas arqueológicas.,0.0,31,10,04,2023
DIEGO PRIETO HERNANDEZ,"En el Centro de Atención a Visitantes tenemos un 12 por ciento de avance en su construcción, ya estamos construyendo este centro para concluir en el tiempo establecido, que es el curso de lo que resta de este año.",0.0,39,10,04,2023
DIEGO PRIETO HERNANDEZ,"Y el camino de acceso de la estación, que ya vieron ustedes, al Centro de Atención a Visitantes ya va en un 40 por ciento.",0.0,25,10,04,2023
DIEGO PRIETO HERNANDEZ,"El museo de sitio, por primera vez Chichén Itzá tendrá un gran museo de sitio, está en un 15 por ciento de su construcción.",0.0,24,10,04,2023
DIEGO PRIETO HERNANDEZ,"La que sigue. La otra zona que ya hemos presentado en video y que es de una enorme importancia y bellezas desde el punto de vista arquitectónico y artísticos es Ek’ Balam cercana a Valladolid. En esta zona arqueológica, en cuanto a lo que refiere a los proyectos de investigación y conservación tanto de bienes muebles como de bienes inmuebles, llevamos un promedio de avance ponderado del 50 por ciento, y en el Centro de Atención a Visitantes llevamos un cinco por ciento de avance en su construcción.",0.0,88,10,04,2023
DIEGO PRIETO HERNANDEZ,"Por último, quisiera destacar tres hallazgos significativos que hemos ubicado en estas tareas correspondientes al tramo 4 del Tren Maya:",0.0,20,10,04,2023
DIEGO PRIETO HERNANDEZ,"Esta escultura del cautivo Ek’ Balam, muy importante que se encuentra en el área superior de la Acrópolis.",0.0,18,10,04,2023
DIEGO PRIETO HERNANDEZ,"Este marcador de juego de pelota con relieves, que hablan precisamente de este ritual tan importante para los pueblos mesoamericanos, y que también tiene glifos que estamos en el proceso de su lectura, de su desciframiento.",0.0,36,10,04,2023
DIEGO PRIETO HERNANDEZ,Y una interesante cabeza de serpiente que también recuperamos en el área de Chichén Itzá.,0.0,15,10,04,2023
DIEGO PRIETO HERNANDEZ,Gracias.,0.0,1,10,04,2023
