Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ANA ELIZABETH GARCIA VILCHIS," Con su permiso, señor presidente. Buenos días a todas, a todos los que nos acompañan aquí y a todos los que nos ven a través de redes sociales.",0.0,28,19,04,2023
ANA ELIZABETH GARCIA VILCHIS,Este es el ‘Quién es quién en las mentiras de la semana’ y hoy es 19 de abril.,0.0,18,19,04,2023
ANA ELIZABETH GARCIA VILCHIS,"Vamos con la primera. Arman campaña en contra del sector salud con mentiras. Apenas el presidente Andrés Manuel López Obrador declaró este fin de semana que el sistema de salud público de México será mejor que el de Dinamarca, así se desató una campaña en redes y en medios de comunicación para cuestionar sus palabras: ‘Que no hay abasto de medicinas’, ‘que ni una aspirina’, ‘que estamos peor que antes’, ‘que los populistas son un fracaso’, así declara el conservadurismo, toda una legión de políticos y periodistas se lanzaron contra el presidente.",0.0,92,19,04,2023
ANA ELIZABETH GARCIA VILCHIS,"Vean ustedes, aquí en la pantalla les vamos a mostrar. Mariana Gómez del Campo, y también su tío el expresidente Felipe Calderón, el expresidente Vicente Fox, Marko Cortés, Pablo Majluf, Javier Tello, el monero ‘Garci’, Mario Maldonado, Max Kaiser, Pedro Ferriz, Guillermo Barba y Luis Mendoza Acevedo, esto por dar un ejemplo.",0.0,52,19,04,2023
ANA ELIZABETH GARCIA VILCHIS,"Para reforzar, entrevistas en radio y televisión, y dos portadas del diario Reforma, como era de esperarse, apenas ayer este periódico publicó a ocho columnas: ‘Acumulan millones de recetas sin surtir’, muy al estilo de este medio y también de otros.",0.0,41,19,04,2023
ANA ELIZABETH GARCIA VILCHIS,"La fuente de esta nota a ocho columnas es una asociación que dice tener documentado el desabasto de medicinas en un mil por ciento en los últimos cinco años. Pero esto es falso, el abasto de medicamentos y de insumos está garantizado para el sector salud este año.",0.0,48,19,04,2023
ANA ELIZABETH GARCIA VILCHIS,"Y entre 2019 y 2023 en el IMSS se han surtido 95 por ciento de las recetas en promedio, en 2022 se surtieron 224 millones 973 mil 722 recetas, un 95.42 por ciento del total de las recetas expedidas. Para el ejercicio de 2023, al cierre del mes de marzo, el índice de atención de recetas fue de 98.07 por ciento, es decir, 61 millones 481 mil 74 recetas surtidas, un incremento de más de 2.5 por ciento que el año anterior.",0.0,82,19,04,2023
ANA ELIZABETH GARCIA VILCHIS,"Durante el año 2023 el promedio mensual de recetas surtidas durante este ejercicio es superior en 2.4 millones de recetas respecto del promedio mensual del ejercicio de 2018, lo que representa un incremento del 13.4 por ciento.",0.0,37,19,04,2023
ANA ELIZABETH GARCIA VILCHIS,"En el mes de marzo de 2023 se atendió el mayor número de recetas surtidas de los últimos cinco años con 21.6 millones, tal como lo demuestra la tabla que estamos viendo en la pantalla.",0.0,35,19,04,2023
ANA ELIZABETH GARCIA VILCHIS,"En el caso de los 11 estados que ya están integrando al nuevo sistema del IMSS-Bienestar el abasto de medicinas es alto: Nayarit tiene el 99 por ciento, Tlaxcala el 96 por ciento, Colima el 94 por ciento, Baja California Sur 99 por ciento, Sonora 98 por ciento, Sinaloa 96 por ciento, Campeche 98 por ciento, Guerrero 86 por ciento, Veracruz 80 por ciento, Michoacán 96 por ciento y Morelos 88 por ciento. Eso también lo estamos poniendo en la pantalla.",0.0,81,19,04,2023
ANA ELIZABETH GARCIA VILCHIS,¿Cuál es el objetivo del gobierno federal encabezado por el presidente Andrés Manuel López Obrador?,0.0,15,19,04,2023
ANA ELIZABETH GARCIA VILCHIS,Es que se pueda garantizar la atención médica y los medicamentos gratuitos para la población que no cuenta con seguridad social. Las campañas de mentiras se contrastan con datos y hechos.,0.0,31,19,04,2023
