Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RICARDO SHEFFIELD PADILLA," Buenos días, señor presidente; buenos días a todas y a todos ustedes.",0.0,12,01,05,2023
RICARDO SHEFFIELD PADILLA,"Quién es quién en el precio de los combustibles. Vemos cómo la semana pasada, el promedio de la gasolina regular en México fue de 22 pesos con 20 centavos el litro; de la Premium, 24 pesos con 338 centavos; y del diésel, 23 pesos con 60 centavos.",0.0,47,01,05,2023
RICARDO SHEFFIELD PADILLA,"Con corte al 27 de abril, la mezcla mexicana de petróleo, 65 dólares con 39 centavos de dólar el barril. Afortunadamente, otra vez, tomó una tendencia a la baja. Sigue siendo un mercado muy errático, vean ustedes cómo se ha venido moviendo y fluctuando en los últimos meses el precio internacional.",0.0,51,01,05,2023
RICARDO SHEFFIELD PADILLA,"Y aquí en México estabilidad en los precios gracias al incentivo fiscal, incentivo fiscal que esta semana es del 25.8 por ciento para la Premium, 7.4 … perdón, 7.4 es para la Premium, 25.8 es para la regular y 10.7 por ciento para el diésel. Bajó el precio, también baja el incentivo y ustedes pueden ir viendo cómo hay estabilidad en los precios al consumidor de estos combustibles en todo el país.",0.0,72,01,05,2023
RICARDO SHEFFIELD PADILLA,"Aun así, hay unos que dan más barato y otros que más caros. Los más careros la semana pasada fue Redco, Chevron y Petro Seven, mientras que los aliados de los consumidores, los que dieron más barato la semana pasada fue Rendichicas, una cadena del norte de país, BP y Exxon Mobil.",0.0,52,01,05,2023
RICARDO SHEFFIELD PADILLA,"Vamos a ver ahora por tipo de combustible. En la regular, el margen más alto, con el precio más alto, lo encontramos en una gasolinera en Monterrey, Nuevo León, de la franquicia Petro Seven, dio el precio al litro de Premium en 24 pesos con 99 centavos y estos pasadísimos de rosca cuatro pesos con siete centavos el margen, no le pierden, segurito no le pierden, segurito no le pierden, compárenlo con los 15 centavos de margen de una gasolinera de la franquicia Mobil en Monclova, Coahuila, también allá por el norte, 20 pesos con 54 centavos el litro, ahí ven la diferencia.",0.0,103,01,05,2023
RICARDO SHEFFIELD PADILLA,"Vamos ahora a la Premium, y en la Premium el precio más caro, con el margen más alto, de BP en una gasolinera de Amozoc, Puebla, con un precio al público de 25 pesos con 90 centavos y un margen en este combustible, que normalmente es más caro el de alto octanaje, un margen de tres pesos con 21 centavos, menos que el que vimos de la regular; y 15 centavos de margen, con un precio de 23 pesos 60 centavos el litro al público en Lázaro Cárdenas, Michoacán, es el margen y el precio más bajo es de franquicia Pemex.",0.0,101,01,05,2023
RICARDO SHEFFIELD PADILLA,"En el diésel, Arco el precio más alto en Hermosillo, Sonora, 25 pesos con 49 centavos el litro, un margen de tres pesos 68 centavos, aun por abajo del margen que vimos en un inicio, y con 18 centavos de margen en Mérida, Yucatán, a 22 pesos con 43 centavos franquicia Pemex tiene el precio más bajo.",0.0,57,01,05,2023
RICARDO SHEFFIELD PADILLA,"Atendimos 303 denuncias presentadas a través de la app de Litro por Litro, a través de 323 visitas o verificaciones.",0.0,20,01,05,2023
RICARDO SHEFFIELD PADILLA,"Tuvimos cuatro gasolineras, muchas esta semana, que no se dejaron verificar a pesar de que están obligados a hacerlo: una en Tlaxcala, en Tijuana, Baja California, en San Juan Bautista, Tuxtepec, Oaxaca, y también en Mexticacán, Jalisco, que estaremos visitando con apoyo de las demás autoridades en este tema, ASEA, CRE y el respaldo de la Guardia Nacional.",0.0,58,01,05,2023
