Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ROCIO MEJIA FLORES," Buenos días. Buenos días, señor presidente.",0.0,6,01,05,2023
ROCIO MEJIA FLORES,"Hoy, 1º de mayo, Día Internacional del Trabajo, yo me quiero dedicar a todos aquellos paisanos, paisanas, que nos están escuchando, desde Estados Unidos principalmente, y celebrar los derechos laborales de ellos y de ellos, y por eso les traemos hoy una muy buena noticia:",0.0,45,01,05,2023
ROCIO MEJIA FLORES,"Financiera para el Bienestar ―la que sigue, por favor― tiene dos opciones para el envío de las remesas. Como ustedes saben, la etapa tradicional, lo que hace los y las trabajadoras allá es que van a cualquier remesadora, a cualquier tiendita latina y piden que su remesa llegue aquí a México a nuestras sucursales, sucursal Telecomm, ahora Financiera para el Bienestar. Tan fácil como eso.",0.0,65,01,05,2023
ROCIO MEJIA FLORES,"Lo reciben aquí con grandes ventajas, acá no se les cobra comisión. Tenemos, como ustedes saben, mil 700 sucursales operando en todo el país, sobre todo en zona marginadas, vulnerables, pobres, alejadas, y es ahí donde se reciben muchas remesas.",0.0,40,01,05,2023
ROCIO MEJIA FLORES,"Y la segunda etapa, que es lo que queremos presentar hoy, es que ya se logró, a través de todos estos meses, un tema: que ya se pueda enviar la remesa directamente por medio de la Tarjeta Financiera para el Bienestar ya en Estados Unidos directamente a la tarjeta Financiera para el Bienestar acá en México. Aquí nos está apoyando una empresa mexicana, que es nuestro aliado estratégico, y nos ayudó precisamente a desarrollar esta manera de envío.",0.0,78,01,05,2023
ROCIO MEJIA FLORES,¿Qué van a lograr?,0.0,4,01,05,2023
ROCIO MEJIA FLORES,Más pesos por sus dólares.,0.0,5,01,05,2023
ROCIO MEJIA FLORES,"Y la gran noticia, que es lo que nos había encargado el presidente, es cómo hacemos para que se facilite el envío de la remesa, se abarate y puedan pagar mucho menos nuestros compañeros allá.",0.0,35,01,05,2023
ROCIO MEJIA FLORES,"Y por eso está gran noticia. A través de la tarjeta financiera allá, acá, van a pagar solamente 3.99 dólares. Esto es una gran noticia, un gran apoyo, porque el dato que tenemos de la Organización de las Naciones Unidas y del Banco Mundial al cuarto trimestre del año pasado, se paga en promedio hasta 14 dólares por el envío de remesas; aquí pueden enviar hasta dos mil 500 dólares y solamente van a pagar esa cantidad.",0.0,77,01,05,2023
ROCIO MEJIA FLORES,"Como ustedes saben, el año pasado ya recibimos dos mil 300 millones de dólares a través de la financiera y esperamos que con esto nuestros paisanos y paisanas se vayan definiendo y decidiendo utilizar esta vía del Gobierno de México.",0.0,40,01,05,2023
ROCIO MEJIA FLORES,"Estamos trabajando en colaboración con el Instituto de Mexicanos en el Exterior, perteneciente a la Secretaría de Relaciones Exteriores, y nos están ayudando a desplegar que la Tarjeta Financiera para el Bienestar se entregue a través de los consulados en Estados Unidos. Ya llevamos todo este mes entregando, ya tenemos la primera, segunda y tercera fase, casi 30 consulados en Estados Unidos ya cuentan con la tarjeta y ya están acudiendo a recibirla; nos falta la cuarta y la quinta etapa para que los 50 consulados en Estados Unidos tengan ya la tarjeta.",0.0,93,01,05,2023
ROCIO MEJIA FLORES,"Se les está brindando capacitación, tanto al personal del consulado como a sus ventanillas de asesoría financiera, que son los que nos están ayudando a explicar a la población cómo bajar su aplicación, una app, y puedan utilizar estas tarjetas.",0.0,40,01,05,2023
ROCIO MEJIA FLORES,"La tarjeta es aceptada en todo el mundo, se obtiene sin costo, se pueden hacer depósitos y retiros, compras físicas y en línea, y próximamente ya van a poder utilizarla.",0.0,30,01,05,2023
ROCIO MEJIA FLORES,"Y un tema muy, muy importante que también queremos comentarle es que con esa tarjeta en Estados Unidos se les abre una cuenta bancaria digital. Esto es un gran avance para muchos de nuestros connacionales allá, que padecen mucha marginación bancaria, no tienen los documentos suficientes, y aquí con sólo un documento, que puede ser la matrícula consular o un INE o una licencia de conducir, solamente con esa documentación se les va poder entregar la tarjeta allá.",0.0,78,01,05,2023
ROCIO MEJIA FLORES,"Esto pues va a ser un gran beneficio para los paisanos allá, porque va a poder ya contar por fin con una cuenta de banco y hacer sus transferencias aquí.",0.0,30,01,05,2023
ROCIO MEJIA FLORES,"Y, por último, decirles que con esto pues estamos cumpliendo una de los objetivos que se planteó desde el inicio de la administración, de crear alternativas para que la gente reciba remesas y mantenga sus ahorros con rendimientos y seguridad. Esto quedó marcado desde el inicio de la administración y estamos cumpliendo con ellos.",0.0,54,01,05,2023
ROCIO MEJIA FLORES,"Asimismo, desarrollar una herramienta para bajar el costo de las remesas, reducir el tiempo de espera, generar valor agregado con las remesas, como saben, no solamente recibir la remesa, sino que esté asociados a créditos para proyectos productivos y a opciones de ahorro.",0.0,43,01,05,2023
ROCIO MEJIA FLORES,Todo esto va a generar un círculo virtuoso para los familiares aquí en México y para los paisanos allá. Con esto se hace realidad el beneficio para que los y las mexicanas en el exterior apoyen a sus familias que se han quedado aquí en México.,0.0,46,01,05,2023
ROCIO MEJIA FLORES,"Cualquier información, también nos pueden revisar en la página web finabien.gob.mx y en el correo [email protected].",0.0,17,01,05,2023
ROCIO MEJIA FLORES,Con esto presidente —aquí le entregamos la tarjeta de Estados Unidos y la tarjeta de México— con esto se va a poder enviar.,0.0,23,01,05,2023
ROCIO MEJIA FLORES,Muchísimas gracias.,0.0,2,01,05,2023
