Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
HUGO LOPEZ-GATELL RAMIREZ," Muy buenos días, presidente. Con su permiso. Secretaria, secretarios, comandantes.",0.0,10,16,05,2023
HUGO LOPEZ-GATELL RAMIREZ,"Hoy vamos a comentar, como lo hemos venido haciendo, sobre algunas de las sustancias adictivas, algunas de las drogas de uso común, no solamente en México, sino en varias partes del mundo, pero sobre todo con la intención, como ya lo señalaba el presidente ahora y en ocasiones anteriores, de exponerle a la sociedad, exponerle al pueblo cuáles son la cara cruda, la cara real, la cara profunda de las drogas.",0.0,71,16,05,2023
HUGO LOPEZ-GATELL RAMIREZ,"En esta cara profunda lo que queremos enfatizar es que no hay final feliz, como lo hemos dicho en otras etapas en nuestras campañas de divulgación. Irremediablemente las drogas tienen un lado muy profundo y muy grande de sufrimiento, y ese sufrimiento está en el origen de las adicciones, pero también está en las consecuencias de las adicciones.",0.0,58,16,05,2023
HUGO LOPEZ-GATELL RAMIREZ,"Ese sufrimiento se relaciona con una profunda desigualdad social, una profunda marginación que se fue exacerbando, se fue aumentando a lo largo de los periodos, donde el modelo económico, el modelo social era de exclusión, era de concentrar la riqueza y los privilegios en unos cuantos y olvidarse que existían las grandes mayorías que carecen incluso de lo esencial.",0.0,59,16,05,2023
HUGO LOPEZ-GATELL RAMIREZ,"Hoy vamos a hablar de cocaína y vamos a mostrar algunos testimonios reales, reales, e imágenes reales de la devastación social que produce esta droga.",0.0,25,16,05,2023
HUGO LOPEZ-GATELL RAMIREZ,"Y también vamos a subrayar que la cocaína, al igual que las metanfetaminas, son drogas que, por su tipo, por sus efectos en el organismo, por la rápida dependencia y abstinencia, síndrome de abstinencia que causan cuando se carece ya de la droga y se es una persona con la adicción, induce en la violencia, estimula la violencia desde el grupo familiar o el grupo más cercano hasta el conjunto de la sociedad.",0.0,73,16,05,2023
HUGO LOPEZ-GATELL RAMIREZ,"Vamos a ver cocaína. Primero, una definición muy básica, ya hemos alertado desde el inicio que esta no es una sesión de tipo académica o científica, es una sesión de divulgación. La cocaína podemos identificarla como una sustancia adictiva, muy adictiva, que proviene de la planta de coca y en particular hay algunas sustancias del tipo alcaloide que son las que causan los efectos más directos.",0.0,66,16,05,2023
HUGO LOPEZ-GATELL RAMIREZ,"Debo aclarar también que el consumo ancestral de hojas de coca no tiene estos efectos. Esto lo digo porque durante varios años, varias décadas se ha criminalizado a la hoja de coca como si esta fuera por sí misma la que causa estas alteraciones tanto en el organismo como en la sociedad. Esto no tiene que ver; el consumo de cocaína, el producto purificado, el extracto es lo que se asocia con los ritmos de la delincuencia y el daño social.",0.0,81,16,05,2023
HUGO LOPEZ-GATELL RAMIREZ,"El crack es uno de los derivados de la cocaína, una presentación más exactamente que se forma con la imagen, con el aspecto de una piedra, y que es la forma de distribución más convencional en, desde luego, los mercados ilegales de este producto.",0.0,44,16,05,2023
HUGO LOPEZ-GATELL RAMIREZ,"Debo decir también que la cocaína hoy día no tiene un uso médico, no es parte de la terapéutica médica. En la Ley General de Salud mexicana, al igual que en otras legislaciones de otros países y también en el Convenio Internacional sobre Estupefacientes se le considera un producto de no uso médico, fuera del uso médico y, en cambio, un producto adictivo de uso ilegal.",0.0,66,16,05,2023
