Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JAVIER MAY RODRIGUEZ," Muy buenos días a todas, a todos. Con su permiso, señor presidente.",0.0,12,22,05,2023
JAVIER MAY RODRIGUEZ,"Informaremos sobre el tramo 1, pero brevemente haremos un recordatorio sobre la obra completa. El Tren Maya es un proyecto prioritario del Gobierno de México que va a generar desarrollo con justicia y permitirá apreciar la riqueza arqueológica, la belleza natural, la grandeza humana del sureste mexicano. Son mil 554 kilómetros de vía que serán recorridos en 42 trenes modernos, cómodos y seguros, los cuales harán escalas en 20 estaciones y 14 paraderos.",0.0,73,22,05,2023
JAVIER MAY RODRIGUEZ,"Contempla el mejoramiento de 26 zonas arqueológicas, así como la apertura de nuevos sitios y museos para admirar mucho mejor el esplendor de la cultura maya y los hallazgos durante la obra.",0.0,32,22,05,2023
JAVIER MAY RODRIGUEZ,El Tren Maya es absolutamente responsable con el medio ambiente pues viene acompañado del programa Sembrando Vida para la reforestación del sureste con 500 millones de árboles.,0.0,27,22,05,2023
JAVIER MAY RODRIGUEZ,También se amplían las áreas protegidas con lo cual el sureste mexicano tendrá la reserva natural más grande de México y la segunda después del Amazonas.,0.0,26,22,05,2023
JAVIER MAY RODRIGUEZ,Los pasajeros del Tren Maya tendrán amplía conectividad pues en toda la ruta existen aeropuertos internacionales a los que se sumará la nueva terminal aérea de Tulum; también serán modernizados los aeropuertos de Chetumal y Palenque.,0.0,36,22,05,2023
JAVIER MAY RODRIGUEZ,"El nuevo transporte ferroviario se complementará con seis hoteles Tren Maya ubicados muy cerca de las zonas arqueológicas, lo que serán una experiencia única en el mundo.",0.0,27,22,05,2023
JAVIER MAY RODRIGUEZ,"Viajar en el Tren Maya será muy seguro, pues la Guardia Nacional vigilará por tierra, aire y las vías, estaciones, paraderos, zonas arqueológicas, aeropuertos, hoteles e incluso al interior de los vagones.",0.0,32,22,05,2023
JAVIER MAY RODRIGUEZ,"En el tramo 1 se siguen avanzando los trabajos en los 226 kilómetros que van de Palenque a Escárcega y que pasan por siete municipios de Chiapas, Tabasco y Campeche.",0.0,30,22,05,2023
JAVIER MAY RODRIGUEZ,"Avanza también el mejoramiento de tres zonas arqueológicas, la modernización del aeropuerto de Palenque y la construcción de un Hotel Tren Maya también en el municipio de Palenque.",0.0,28,22,05,2023
JAVIER MAY RODRIGUEZ,"Van 127 kilómetros de vía terminada y las obras complementarias van muy adelantadas: el 86 por ciento de los cuatro viaductos, el 82 por ciento de los 12 puentes, 93 por ciento de las 418 obras de drenaje y 85 por ciento del Catvi de Palenque; 72 por ciento del bulevar de Palenque y 76 por ciento de los 203 pasos peatonales, vehiculares y de fauna.",0.0,66,22,05,2023
JAVIER MAY RODRIGUEZ,"Tendrá esta obra… Todas estas obras han generado 13 mil empleos en el tramo 1 y ya se tiene el 100 por ciento del riel requerido, el 90 por ciento de los durmientes y 92 por ciento del balasto.",0.0,39,22,05,2023
JAVIER MAY RODRIGUEZ,"Además de las zonas arqueológicas y sitios naturales, el Tren Maya abrirá al mundo la fuerza cultural que se vive en los pueblos del sureste mexicano.",0.0,26,22,05,2023
JAVIER MAY RODRIGUEZ,Seguimos trabajando para cumplir el compromiso de que el Tren Maya será inaugurado en diciembre del 2023.,0.0,17,22,05,2023
JAVIER MAY RODRIGUEZ, Llevamos como 100.,0.0,3,22,05,2023
