Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JAVIER MAY RODRIGUEZ," Muy buenos días a todas, a todos. Con su permiso, señor presidente.",0.0,12,29,05,2023
JAVIER MAY RODRIGUEZ,"Nos referimos hoy a los avances del tramo 2 del Tren Maya, son 234 kilómetros de Escárcega a Calkiní en el estado de Campeche, habrá una estación en Edzná y otra en San Francisco de Campeche, también se contará con paraderos en Tenabo, Hecelchakán y Carrillo Puerto.",0.0,47,29,05,2023
JAVIER MAY RODRIGUEZ,Para los trenes habrá una cochera en San Francisco de Campeche y una base de mantenimiento para la vía Edzná.,0.0,20,29,05,2023
JAVIER MAY RODRIGUEZ,"Se mejoran y construyen Catvis en las zonas arqueológicas de Edzná y Xcalumkín, en Edzná se edifica un hotel Tren Maya.",0.0,21,29,05,2023
JAVIER MAY RODRIGUEZ,"Hasta ahora, el tramo 2 registra 116 kilómetros de vía terminada.",0.0,11,29,05,2023
JAVIER MAY RODRIGUEZ,"Las obras de drenaje transversal y pasos inferiores van al 90 por ciento, los viaductos llevan 59 por ciento de adelanto y los pasos peatonales, vehiculares y de fauna registran un avance del 65 por ciento.",0.0,36,29,05,2023
JAVIER MAY RODRIGUEZ,"En el tramo 2 avanza el libramiento ferroviario Campeche, donde los viaductos van al 85 por ciento y los pasos vehiculares, peatonales y de fauna están al 59 por ciento.",0.0,30,29,05,2023
JAVIER MAY RODRIGUEZ,"La obra del Tren Maya en Escárcega, Calkiní ha generado 12 mil empleos.",0.0,13,29,05,2023
JAVIER MAY RODRIGUEZ,"En el tramo 2 muy pronto los pasajeros del Tren Maya podrán conocer y disfrutar de sitios de gran belleza y riqueza cultural, también lugares históricos de tradiciones y costumbres que permitirán descubrir la grandeza humana del pueblo de Campeche, sitios como la laguna de Champotón, el Malecón de Campeche, el Baluarte de San José y la gente con sus artesanías que ya esperan a quienes lleguen a bordo del Tren Maya.",0.0,72,29,05,2023
JAVIER MAY RODRIGUEZ,"Señor presidente, le informamos que en días pasados realizamos recorrido de supervisión en la planta de Alstom, junto con su directora general, Maite Ramos. Al respecto, informo que la fabricación de los trenes en Ciudad Sahagún, en el estado de Hidalgo, avanzan conforme al programa, el trabajo se realiza en serie y hay carros en los que ya se trabaja en la cabina de mando. Cada tren se compone de 10 mil partes diferentes, de las cuales más de 70 por ciento es de contenido nacional. Con mucho orgullo reiteramos que los vagones del Tren Maya son fabricados por manos mexicanas.",0.0,101,29,05,2023
JAVIER MAY RODRIGUEZ,Estamos en tiempo y vamos a cumplir el compromiso de que el primer tren llegue al taller y cochera de Cancún el 8 de julio. También cumpliremos con la inauguración del Tren Maya en diciembre del 2023.,0.0,37,29,05,2023
JAVIER MAY RODRIGUEZ,Es cuanto.,0.0,2,29,05,2023
