Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ANA ELIZABETH GARCIA VILCHIS," Con su permiso, señor presidente. Buenos días a todas, a todos, también a los que nos ven a través de las redes sociales.",0.0,23,03,05,2023
ANA ELIZABETH GARCIA VILCHIS,Esta es la sección ‘Quién es quién en las mentiras de la semana’ y hoy es 3 de mayo de 2023.,0.0,21,03,05,2023
ANA ELIZABETH GARCIA VILCHIS,"Vamos con la primera. Crean una cuenta falsa que se hace pasar por oficial, publica datos falsos sobre la administración del presidente Andrés Manuel López Obrador. Una cuenta de Twitter creada en febrero de 2023 y que publica datos e información falsa sobre la Administración Pública Federal y que usurpa la identidad del Gobierno de México se hizo viral esta semana por presentar una tabla sobre el sistema de salud. En el texto se lee:",0.0,75,03,05,2023
ANA ELIZABETH GARCIA VILCHIS,"‘Los gobiernos neoliberales gastaron hasta 563 millones de pesos al año en tratamientos contra cáncer infantil a través del Seguro Popular. Ahora, en 2021, sólo 15 millones de pesos, reduciendo en 97 por ciento el gasto. La 4T cuidando a los niños’. Y la tabla hace referencia, como mofa, a un supuesto ahorro de 97 por ciento en los tratamientos del cáncer infantil.",0.0,63,03,05,2023
ANA ELIZABETH GARCIA VILCHIS,"Los datos son falsos. Y esta no es la única publicación de esta cuenta apócrifa, que tiene un gran alcance, también publica sobre gasto público y deuda, con datos falseados, pero utilizando los logotipos del gobierno para hacerlo parecer como si fueran datos oficiales. Son tan tramposos que colocan un link que redirige a una página de Hacienda simulada. Toda la información está falseada, de plano mienten.",0.0,67,03,05,2023
ANA ELIZABETH GARCIA VILCHIS,"Pero eso no importa para la oposición, cualquier cosa es buena para atacar al gobierno, aunque sean mentiras superobvias. Por eso, Vicente Fox y Margarita Zavala, a quienes vemos en pantalla, compartieron ese mensaje como si fuera cierto. ¿Desconocimiento o maldad?",0.0,41,03,05,2023
ANA ELIZABETH GARCIA VILCHIS,"Detrás de esta cuenta hay gente que trata de engañar a los internautas, pero no se dejen engañar y que Twitter, decimos, debería actuar contra estas cuentas que usurpan la identidad de las entidades de la Administración Pública Federal.",0.0,39,03,05,2023
ANA ELIZABETH GARCIA VILCHIS,Hasta aquí esta nota.,0.0,4,03,05,2023
ANA ELIZABETH GARCIA VILCHIS,"Y vamos con la siguiente, una mentira y una verdad sobre el Conacyt. Se ha hablado mucho y se han difundido muchas mentiras sobre la recién aprobada Ley General en materia de Humanidades, Ciencias, Tecnologías e Innovación. No las vamos a mencionar en este espacio porque nos tardaríamos todo el día y la doctora Elena Álvarez-Buylla lo va a explicar mejor, pero todos hemos escuchado, por ejemplo, que desaparece el Conacyt. Eso es falso, esta es la mentira; por el contrario, el Conacyt se fortalece.",0.0,85,03,05,2023
ANA ELIZABETH GARCIA VILCHIS,"Pero ahora vamos con una verdad. Hay empresas que se beneficiaban de los recursos de Conacyt. Vamos a refrescarles un poco la memoria. El portal SinEmbargo publicó que ahí por los tiempos del expresidente panista Felipe Calderón, Kimberly Clark, sí, esta empresa de Claudio X. González recibió nada más y nada menos 36 millones de pesos del Conacyt, y cuando el panista y actual diputado Juan Carlos Romero Hicks era su director, como una especie de… Le van a llamar ellos ‘incentivo’ para perfeccionar productos de higiene. Esto fue más bien un regalo.",0.0,93,03,05,2023
