Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ALEJANDRO ISAURO MARTINEZ OROZCO," Con su permiso, señor presidente.",0.0,5,31,05,2023
ALEJANDRO ISAURO MARTINEZ OROZCO,Para informarles de los avances del proyecto ‘Picachos’ que se sitúan en el sur del estado de Sinaloa. La primer vertiente del proyecto tiene que ver con la construcción de la zona de riego ‘Picachos’.,0.0,35,31,05,2023
ALEJANDRO ISAURO MARTINEZ OROZCO,¿Cuáles son los objetivos de este proyecto?,0.0,7,31,05,2023
ALEJANDRO ISAURO MARTINEZ OROZCO,"Aprovechar de forma efectiva el agua de la presa ‘Picachos’ para la producción de alimentos, como chile, mango, maíz, tomate, frijol, papaya, entre otros.",0.0,24,31,05,2023
ALEJANDRO ISAURO MARTINEZ OROZCO,Crear nueva infraestructura hidroagrícola en el sur de Sinaloa.,0.0,9,31,05,2023
ALEJANDRO ISAURO MARTINEZ OROZCO,"También, se trata de modernizar la actividad agrícola a partir del riego tecnificado.",0.0,13,31,05,2023
ALEJANDRO ISAURO MARTINEZ OROZCO,La inversión total de este proyecto es de cinco mil 258 millones de pesos.,0.0,14,31,05,2023
ALEJANDRO ISAURO MARTINEZ OROZCO,"La superficie beneficiada será de 22 mil 500 hectáreas, que verán beneficiados a tres mil 172 productores.",0.0,17,31,05,2023
ALEJANDRO ISAURO MARTINEZ OROZCO,"El gobierno federal en este momento construye 61.80 kilómetros de canal principal, margen izquierda del río Presidio. Y construye, de igual forma, 15.6 kilómetros de canal principal margen derecha.",0.0,29,31,05,2023
ALEJANDRO ISAURO MARTINEZ OROZCO,"También, se construye 348 kilómetros de red entubada para la zona de riego.",0.0,13,31,05,2023
ALEJANDRO ISAURO MARTINEZ OROZCO,Y se trabaja en la sobreelevación de la presa derivadora ‘Siqueiros’.,0.0,11,31,05,2023
ALEJANDRO ISAURO MARTINEZ OROZCO,"Al día de hoy se tiene un avance del 42.9 por ciento de avance físico y un 41.8 por ciento de avance financiero, los empleos están por orden de los dos mil 50.",0.0,33,31,05,2023
ALEJANDRO ISAURO MARTINEZ OROZCO,La fecha estimada de conclusión de este proyecto está estimada para el 31 de diciembre del 2023.,0.0,17,31,05,2023
ALEJANDRO ISAURO MARTINEZ OROZCO,"El otro componente del proyecto ‘Picachos’ tiene que ver con la construcción del acueducto a Concordia, que se encuentra situado entre el municipio de Mazatlán y Concordia. El objetivo es suministrar de agua potable a la cabecera municipal de Concordia y a 13 comunidades con una capacidad de 89 litros por segundo, que a pesar de la cercanía con la presa ‘Picachos’ no existe la infraestructura hidráulica suficiente para su entrega permanente.",0.0,72,31,05,2023
ALEJANDRO ISAURO MARTINEZ OROZCO,Otro de los objetivos será garantizar el abastecimiento y la calidad del agua para uso doméstico de las familias.,0.0,19,31,05,2023
ALEJANDRO ISAURO MARTINEZ OROZCO,"La inversión total del acueducto será de 386.17 millones de pesos para beneficiar a los 19 mil habitantes del municipio de Concordia. Para esto, el gobierno federal y la Conagua construyen una planta potabilizadora con capacidad de 89 litros por segundo, 89.25 kilómetros de acueducto entubado, un tanque de entrega en Concordia y seis tanques de cambio de régimen.",0.0,59,31,05,2023
ALEJANDRO ISAURO MARTINEZ OROZCO,"A continuación, les presentaremos un video de los avances de los dos proyectos.",0.0,13,31,05,2023
