Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
RAUL MANZANO VELEZ," Con su permiso, señor presidente. Muy buenos días.",0.0,8,31,05,2023
RAUL MANZANO VELEZ,"A continuación, vamos a ver los avances que tenemos en el acueducto ‘Adolfo López Mateos’. Soy el general Manzano, designado como ingeniero residente para esta obra, en coadyuvancia con la Comisión Nacional del Agua.",0.0,34,31,05,2023
RAUL MANZANO VELEZ,"El acueducto ‘López Mateos’ existe desde 1996, y después de 20 años de operación y funcionamiento pues ha quedado superado en cuanto a su capacidad de distribución de agua y a su estado de conservación.",0.0,35,31,05,2023
RAUL MANZANO VELEZ,La obra presenta actualmente un avance de 61.70 por ciento. Se dividió en seis tramos de construcción. Los alcances previstos para esta obra:,0.0,23,31,05,2023
RAUL MANZANO VELEZ,Es el tendido de 96 kilómetros de tubería de poliéster revestido de fibra de vidrio.,0.0,15,31,05,2023
RAUL MANZANO VELEZ,"La construcción de cinco tanques de almacenamiento de agua, que a la vez son cárcamos de rebombeo.",0.0,17,31,05,2023
RAUL MANZANO VELEZ,Y la construcción de un tanque de almacenamiento para distribución.,0.0,10,31,05,2023
RAUL MANZANO VELEZ,"Asimismo, se suman dos pozos nuevos a los tres ya existentes que van a rehabilitar, para aumentar el caudal de (inaudible) litros por segundo a 220, que cubrirá la demanda para los próximos 20 años.",0.0,35,31,05,2023
RAUL MANZANO VELEZ,"De la misma manera, se va a instalar un sistema de telemetría para la automatización y monitoreo de esta importante obra.",0.0,21,31,05,2023
RAUL MANZANO VELEZ,Se está utilizando una fuerza de trabajo de 19 unidades de maquinaria pesada y 22 vehículos de construcción.,0.0,18,31,05,2023
RAUL MANZANO VELEZ,Esta obra genera mil 315 empleos temporales relacionados con la construcción.,0.0,11,31,05,2023
RAUL MANZANO VELEZ,De tal forma que 24 comunidades serán beneficiadas y esto provoca una cifra de más de 32 mil habitantes que tomarán este líquido con calidad y oportunidad.,0.0,27,31,05,2023
RAUL MANZANO VELEZ,"El apego a la normatividad ambiental vigente se manifiesta, se respeta profundamente el cuidado a la flora y fauna, se creó un vivero forestal donde ya se encuentran en producción 20 mil especies arbóreas de especies nativas, con la que se será repoblado el área de trabajo.",0.0,47,31,05,2023
RAUL MANZANO VELEZ,"De esta forma se contribuye al desarrollo del corredor Escárcega-Xpujil, que sufre de la escasez de agua y por fin se cubre esa demanda para el presente y futuro.",0.0,29,31,05,2023
RAUL MANZANO VELEZ,"A continuación, vamos a ver un video de estos aspectos tan importantes.",0.0,12,31,05,2023
RAUL MANZANO VELEZ, Muchas gracias.,0.0,2,31,05,2023
