Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LUIS CRESENCIO SANDOVAL GONZALEZ," Con permiso, señor presidente. Buenos días.",0.0,6,05,05,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"Vamos a informar sobre la situación de seguridad pública en el estado de Puebla. Adelante, por favor, con la presentación.",0.0,20,05,05,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"Tenemos que estado tiene una cantidad de 6.5 millones de habitantes y concentra en tres municipios, el de Puebla, Tehuacán y San Martín Texmelucan, el 33 por ciento de su población, 2.1 millones de pesos. Y vamos a observar en la presentación que ahí es donde tenemos identificado las situaciones delictivas, pero también ahí están los efectivos de las fuerzas de seguridad también trabajando. Adelante, por favor.",0.0,67,05,05,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"La incidencia delictiva aquí en el estado, tenemos a la alza tres delitos, que son el robo en transporte con el cuarto lugar a nivel nacional, la trata de personas ―si le regresan― la trata de personas en octavo lugar a nivel nacional y el robo a casa habitación en 21 lugar con una tendencia hacia a la alza.",0.0,59,05,05,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"Y a la baja tenemos el resto de delitos, robo de vehículos, el sexto lugar a nivel nacional, pero una tendencia a la baja; el secuestro también en 19 lugar, una tendencia hacia la baja; homicidios dolosos tiene el 20 lugar a nivel nacional y la tendencia también hacia a la baja; la extorsión hacia a la baja, en el 23 lugar a nivel nacional; en delitos de impacto tiene el 19 lugar a nivel nacional y con la tendencia hacia a la baja. Vamos a ver cada uno de los delitos.",0.0,92,05,05,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"El robo en transporte, de conformidad a la información que tenemos del Secretariado Ejecutivo de Seguridad Pública, que es hasta marzo, se registraron 250 delitos de esta naturaleza, tiene el cuarto lugar y su tendencia es hacia la alza.",0.0,39,05,05,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En robo de vehículos, 468 en marzo, su tendencia es hacia a la baja, aquí podemos ver el acumulado anual y tiene el sexto lugar.",0.0,25,05,05,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"La trata de personas, ocho eventos en marzo, su tendencia es hacia la alza, el octavo lugar a nivel nacional.",0.0,20,05,05,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En el secuestro, solamente se registraron dos secuestros en marzo. Aquí tenemos el acumulado, la tendencia va hacia a la baja y tiene el 19 lugar a nivel nacional.",0.0,29,05,05,2023
LUIS CRESENCIO SANDOVAL GONZALEZ,"En homicidios dolosos, 69 homicidios en el estado en marzo, el 20 lugar a nivel nacional con la tendencia hacia la baja.",0.0,22,05,05,2023
