Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MARCELO EBRARD CASAUBON," Buenos días. Con su permiso, señor presidente, señor gobernador, compañeras, compañeros de gabinete.",0.0,13,05,05,2023
MARCELO EBRARD CASAUBON,"Me ha pedido el señor presidente les exponga a ustedes en qué nos encontramos respecto a lo que México ha venido planteando desde el inicio de la administración, de que deben abrirse caminos, vías regulares, legales, documentadas, para las personas que resuelven, deciden o tienen interés en trabajar en los Estados Unidos o por razones de reunificación familiar.",0.0,58,05,05,2023
MARCELO EBRARD CASAUBON,"Desde un principio el presidente López Obrador ha venido planteando que debe abrirse ese camino y al mismo tiempo hacerse una inversión a los países que tienen dificultades económicas para que no sea una migración, una movilidad forzada por la pobreza o por condiciones de inseguridad.",0.0,46,05,05,2023
MARCELO EBRARD CASAUBON,¿Dónde nos encontramos en eso?,0.0,5,05,05,2023
MARCELO EBRARD CASAUBON,"A resultas de los planteamientos que acabo de decir, señalar: se hizo una declaración en la ciudad de Los Ángeles sobre migración y protección, y se firmó un memorándum de entendimiento con Estados Unidos por primera vez en la historia sobre movilidad laboral, porque ese término significa que se acepta que la movilidad laboral es legítima, es válida y que puede conducirse por vías regulares, seguras y ordenadas.",0.0,68,05,05,2023
MARCELO EBRARD CASAUBON,"A partir de ello, que en mucho debe reconocerle al presidente Biden esa disposición por avanzar en esta dirección, se han otorgado o se van a otorgar entre 2022 y este año alrededor de 885 mil permisos y visas de trabajo para personas migrantes y para quienes están moviéndose en busca de trabajo o movilidad laboral, 885 mil, esto nunca había pasado.",0.0,62,05,05,2023
MARCELO EBRARD CASAUBON,"¿Cómo se desglosa esa cifra? La siguiente, por favor. Gracias. ¿Cómo se desglosa?",0.0,13,05,05,2023
MARCELO EBRARD CASAUBON,"Las vías para acceder al mercado laboral de los Estados Unidos o bien a reunificación familiar, las principales vías son las siguientes:",0.0,22,05,05,2023
MARCELO EBRARD CASAUBON,"En el año 2022, en visas H2A y H2B para mexicanas y mexicanos se alcanzó la cifra de 360 mil 656 visas, es el mayor número en la historia de nuestro país. Repito, 360 mil 656. Esperamos para este año que sea inclusive un poco mayor.",0.0,46,05,05,2023
MARCELO EBRARD CASAUBON,"Hay una cifra récord de ampliación de visas H2B para trabajadores en retorno y nacionales de Honduras, Guatemala y El Salvador. Se preguntarán ustedes: ‘Y, bueno, ¿por qué yo reporto eso?’, porque el presidente López Obrador en cada mesa que nos hemos sentado habla pensando en Centroamérica y en otros países, incluso de Sudamérica y el Caribe, no nada más en lo que a México le compete, sino también a otros países. Entonces, cifra de ampliación de visas H2B, llevamos 64 mil 716, esto es Honduras, Guatemala y El Salvador.",0.0,90,05,05,2023
MARCELO EBRARD CASAUBON,"Otro acuerdo que se logró, otro entendimiento: los nuevos permisos humanitarios con acceso formal al mercado laboral estadounidense para personas de Cuba, Haití, Nicaragua y Venezuela. Aquí se pactaron 360 mil, este año en curso; desde luego, este número no tiene precedente, no se había hecho antes.",0.0,47,05,05,2023
MARCELO EBRARD CASAUBON,"Hay también ahora un reciente anuncio que nos pareció muy positivo, en esta misma línea, que son nuevos permisos de reunificación familiar para personas de Honduras, Guatemala y El Salvador, esos son 100 mil, que tampoco existían anteriormente.",0.0,38,05,05,2023
MARCELO EBRARD CASAUBON,"Y además se abren centros regionales de procesamiento en Guatemala y Colombia, porque no necesitas, no es prudente, no es conveniente, es riesgoso incluso, el ofrecimiento que hacen muchos de los denominados ‘coyotes’ de que ‘yo te llevo a Estados Unidos’. Entonces, bueno, se van a instalar centros regionales en Guatemala y Colombia para evitar ese tránsito y ese periplo y ese viacrucis.",0.0,63,05,05,2023
MARCELO EBRARD CASAUBON,"Informar esto siempre es importante, ahora es más importante también por otra razón, porque estamos viendo un flujo los últimos días muy importante sobre la base de un engaño que ya mencionó el señor presidente, que es: les dicen a las personas venezolanas, centroamericanas: ‘Apúrense para llegar a Estados Unidos cruzando México, porque el 11 de mayo van a quitar el título 42’.",0.0,63,05,05,2023
MARCELO EBRARD CASAUBON,¿Qué es título 42?,0.0,4,05,05,2023
MARCELO EBRARD CASAUBON,"Una disposición tomada por Estados Unidos por razones sanitarias, por el COVID-19, que persona que llegue por la frontera de México o bien por la frontera de Canadá a los Estados Unidos puede ser regresada de inmediato, por razones sanitarias. Entonces, le están diciendo a las personas que, como esa disposición ya no va a estar vigente, que ahora sí se puede ir a Estados Unidos. Les cobran entre cinco y siete mil dólares por persona. Es importante esta información para que no les engañen:",0.0,85,05,05,2023
MARCELO EBRARD CASAUBON,"En primer lugar, no es cierto, porque ya nos lo hicieron saber así los americanos ahora que hicieron su conferencia de prensa, que van a dejar de repatriar a personas que ingresen de manera indocumentada, eso no es cierto, tienen otras disposiciones legales.",0.0,43,05,05,2023
MARCELO EBRARD CASAUBON,"Pero además invitar a las personas que tienen interés en llegar a Estados Unidos en acceder a la aplicación que permite que hagas tu solicitud para poder ingresar a los Estados Unidos sin necesidad de hacer todo el periplo: cruzar, uno, dos, tres, cuatro, cinco, seis países, luego cruzar la frontera, cruzar México, correr todos los riesgos, llegar a Estados Unidos para que luego te repatrien y te manden a otro país.",0.0,72,05,05,2023
MARCELO EBRARD CASAUBON,"Entonces, hay una fórmula, que es esta página que está aquí —muchas gracias, te lo aprecio mucho— y entonces se puede visitar este sitio de la aplicación CBP One para poder hacer el trámite que estoy comentando, o bien dirigirse a las embajadas y consulados de los Estados Unidos.",0.0,49,05,05,2023
MARCELO EBRARD CASAUBON,"Pero es falso, para insistir en ello, que ya a partir del 12 de mayo no hay ningún problema, te brincas, pagas cinco o siete mil dólares, o lo que te cobren, y te vas a quedar en Estados Unidos. Ese es un engaño y se arriesgan, máxime que hay una vía acordada para que puedas tú acceder, para que puedas tratar de hacer su solicitud. Para eso necesitas pues no ingresar a Estados Unidos obviamente por vía indocumentada, sino hacerlo por esta vía, es una aplicación.",0.0,87,05,05,2023
MARCELO EBRARD CASAUBON,"Bueno, también pongo aquí, para los quieran venir a México y buscar empleo en México tenemos un portal de nuestro Servicio Nacional de Empleo, que este este, empleo.gob.mx, para las personas que quieran venir a trabajar a México. Como ustedes saben, nuestro país tiene muchas fórmulas jurídicas para que esto sea factible y no necesitas correr riesgos, lo que quisiéramos enfatizar, la preocupación es evitar esos riesgos.",0.0,67,05,05,2023
MARCELO EBRARD CASAUBON,"Terminaría yo este reporte también, porque me pidió el señor presidente que así lo hiciera, reportándoles a ustedes lo siguiente:",0.0,20,05,05,2023
MARCELO EBRARD CASAUBON,"Algunos cambios en nuestro servicio consular en los Estados Unidos para todos nuestros paisanos que nos están viendo. A partir del 22 de mayo se van a poder programar por Whats a este número 424 309 009, 424 309 009, las citas en los consulados, que es uno de los motivos principales que nos han insistido que tenemos que mejorar. Y tenemos ya traducción simultánea al nahual, otomí, mixteco y zapoteco por primera vez en la historia de México que nos pidió el presidente que así fuese.",0.0,87,05,05,2023
MARCELO EBRARD CASAUBON,Otra cosa importante de informar es que la matrícula consular en cualquier consulado se va a poder tramitar sin importar el estado en el que residan nuestros connacionales en los Estados Unidos.,0.0,32,05,05,2023
MARCELO EBRARD CASAUBON,"Ah, ahora sí vamos a tener un aumento salarial para el personal que tenemos en ventanillas en nuestros consulados entre el 5.9 y el 14 por ciento, por instrucciones del presidente de la República, porque es el personal que más trabaja con nuestros connacionales.",0.0,44,05,05,2023
MARCELO EBRARD CASAUBON,"Se creó un programa que se llama ‘Defensoría a personas mexicanas en Estados Unidos en materia penal’, por instrucciones del presidente. Puedo decirles que se ha apoyado a nuestros connacionales que están en procesos penales por delitos graves, porque les ponen sentencias desproporcionadas muchas veces porque no tienen buena cobertura jurídica, y esto nos ha llevado a que el 98 por ciento de los casos hayamos tenido éxito, particularmente cuando se trata de pena de muerte.",0.0,76,05,05,2023
MARCELO EBRARD CASAUBON,Y vamos a ampliar servicios a Canadá también de nuestro Centro de Información y Asistencia a Personas Mexicanas 24 horas del día los siete días de la semana.,0.0,28,05,05,2023
MARCELO EBRARD CASAUBON,"Entonces, concluyendo, lo que se ha logrado: 885 mil permisos, visas, incluyendo mexicanas, mexicanos, Centroamérica, Caribe y Sudamérica, no se había tenido nunca.",0.0,23,05,05,2023
MARCELO EBRARD CASAUBON,"Hay vías que puedes tener acceso. Lo que se busca es evitar los riesgos que corren las personas, que sea una movilidad segura, ordenada, regular y que haya protección de los derechos de las personas, es lo que el presidente ha estado insistiendo. Y sí es relevante darles este anuncio porque este CBP One, puedes acceder a esa aplicación para hacer tu solicitud, o bien buscar embajadas de Estados Unidos y consulados de Estados Unidos.",0.0,75,05,05,2023
MARCELO EBRARD CASAUBON,"Sería cuanto, señor presidente.",0.0,4,05,05,2023
MARCELO EBRARD CASAUBON," Sí, en Guatemala y Colombia.",0.0,5,05,05,2023
MARCELO EBRARD CASAUBON, Nicaragua.,0.0,1,05,05,2023
MARCELO EBRARD CASAUBON," Bueno, yo lo único que diría es reiterar las cifras que acabo de dar sobre nuevas vías para poder acceder a los Estados Unidos, ese es el punto medular, lo demás es entrar a la especulación.",0.0,36,05,05,2023
MARCELO EBRARD CASAUBON,"¿Qué serían las cifras importantes, el concepto importante?",0.0,8,05,05,2023
MARCELO EBRARD CASAUBON,"Nuevos permisos humanitarios con acceso formal al mercado laboral de Estados Unidos para personas de Cuba, Haití, Nicaragua y Venezuela, son 360 mil para este año. De esas, ya hoy en día ya tenemos 90 mil personas que siguieron este procedimiento y están ya en Estados Unidos; llegaron vía aérea, porque hicieron su aplicación.",0.0,54,05,05,2023
MARCELO EBRARD CASAUBON,"Permisos de reunificación familiar y para movilidad laboral de Honduras, Guatemala y de El Salvador, esto es nuevo, adicional, son 100 mil.",0.0,22,05,05,2023
MARCELO EBRARD CASAUBON,"Pero no puedes intentar las dos. Si quieres solicitar o tramitar esto y ya estás en otro país, pues evidentemente ya la aplicación a lo mejor no va a funcionar.",0.0,30,05,05,2023
MARCELO EBRARD CASAUBON,"Pero, entonces, son 360 mil más 100 mil adicionales; y 64 mil 716, que son las visas H2B, que son para también Honduras, Guatemala y El Salvador. Entonces, pues son cifras importantes porque no se tenían antes.",0.0,37,05,05,2023
MARCELO EBRARD CASAUBON,"Insistirles a las personas que nos están viendo que lo que les están diciendo, que por siete mil dólares los llevan a la frontera con los Estados Unidos con los tráileres y todas estas vías muy peligrosas, y que ya no los van a regresar, es falso, los están engañando. Pasó hace unos meses también con Haití, por eso es importante dar esta información.",0.0,64,05,05,2023
MARCELO EBRARD CASAUBON,"Y, bueno, estaremos informando.",0.0,4,05,05,2023
MARCELO EBRARD CASAUBON,"Gracias, señor presidente.",0.0,3,05,05,2023
