Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DIEGO PRIETO HERNANDEZ," Buenos días. Buenos días, presidente, gobernadora, compañeras y compañeros de equipo de trabajo, amigas y amigos de los medios.",0.0,19,08,05,2023
DIEGO PRIETO HERNANDEZ,Compartiendo también la pena por la partida de Conchita Calvillo.,0.0,10,08,05,2023
DIEGO PRIETO HERNANDEZ,"La comunidad de antropólogos e historiadores lamenta también que el día de ayer falleció, el gran antropólogo veracruzano Félix Báez Jorge, quien fuera discípulo de un muy importante precursor de la antropología mexicana, Gonzalo Aguirre Beltrán, también colega de él mismo, un antropólogo muy destacado. Descanse en paz.",0.0,48,08,05,2023
DIEGO PRIETO HERNANDEZ,"Por supuesto, que, como ustedes ven, el Tren Maya combina esta impresionante modernidad, esta tecnología de punta, esta determinación para desarrollar el sureste y la península, pero también preservando, recuperando los elementos de nuestro patrimonio histórico y antropológico de nuestro patrimonio cultural, nuestra identidad, nuestra memoria, nuestro orgullo de pertenencia, sobre todo en este caso, por lo que respecta a la gran nación maya que forma parte del México pluricultural.",0.0,70,08,05,2023
DIEGO PRIETO HERNANDEZ,"En el tramo 4 desde hace meses tenemos el visto bueno de toda la obra. Las tareas de salvamento se concentran entonces en los temas de estudios de gabinete, laboratorio, restauración de materiales, sistematización de la información.",0.0,37,08,05,2023
DIEGO PRIETO HERNANDEZ,"En el tramo hemos recuperado información y registros de cuatro mil 228 bienes inmuebles, entre cimentaciones, áreas residenciales, albarradas, basamentos, caminos y plataformas, 570 bienes muebles relativamente íntegros, entre ellos vasijas, figuras de piedra o de cerámica, metates, elementos de herramientas para uso doméstico y también elementos rituales diversos, 42 mil 617 fragmentos de cerámica, que son clasificados y analizados en nuestros laboratorios, 16 enterramientos humanos y 110 rasgos naturales asociados a la presencia de grupos humanos.",0.0,77,08,05,2023
DIEGO PRIETO HERNANDEZ,"En el Promeza, Programa de Mejoramiento de Zonas Arqueológicas, tenemos para el tramo 4 dos zonas de intervención:",0.0,18,08,05,2023
DIEGO PRIETO HERNANDEZ,"La primera de ellas, Chichén Itzá, patrimonio de la humanidad y la zona arqueológica que junto con Teotihuacán constituyen las dos más visitadas de nuestro país.",0.0,26,08,05,2023
DIEGO PRIETO HERNANDEZ,"En Chichén Itzá llevamos un 82 por ciento de desarrollo en los proyectos de conservación previstos para poder asegurar la preservación, la protección de las estructuras y decoraciones arquitectónicas en el sitio, 85 por ciento de avance en lo que respecta a la excavación y mantenimiento mayor del área conocida como serie inicial o Chichén Viejo, 55 por ciento de avance en las tareas de excavación y conservación de otras áreas de este sitio que habrá de extenderse por lo que respecta a la zona visitable, 80 por ciento de avance en el desarrollo de andadores y delimitadores.",0.0,98,08,05,2023
DIEGO PRIETO HERNANDEZ,"El Catvi ya lleva un 12 por ciento, el Centro de Atención a Visitantes, de su construcción, y llevamos el 45 por ciento de avance en el camino que unirá la estación Chichén Itzá con el Centro de Atención a Visitantes, el museo y la zona arqueológica.",0.0,47,08,05,2023
DIEGO PRIETO HERNANDEZ,"En el museo llevamos ya el 20 por ciento de la construcción, de este que será, por primera vez, el gran museo de sitio de Chichén Itzá.",0.0,27,08,05,2023
DIEGO PRIETO HERNANDEZ,"Anunciamos también que próximamente abriremos esta área conocida como Chichén Viejo o Serie Inicial, es una pequeña ciudad anterior a la que es más conocida, es como una especie de primer ejercicio de urbanización en esta gran ciudad maya de la península de Yucatán.",0.0,44,08,05,2023
DIEGO PRIETO HERNANDEZ,"En Ek’ Balam es la otra zona arqueológica que intervenimos desde el tramo 4. Llevamos un inicio de desplante, en tareas constructivas por lo que refiere al Centro de Atención a Visitantes, llevamos un 55 por ciento de avance en las excavaciones y tareas de consolidación y conservación en las diferentes áreas de esta zona que, como pueden ustedes apreciar, se caracteriza por sus impresionantes decoraciones arquitectónicas, estas entradas que semejan las fauces del Monstruo de la Tierra y en donde hemos tenido hallazgos muy, muy sugerentes que dimos a conocer ya en su oportunidad.",0.0,95,08,05,2023
DIEGO PRIETO HERNANDEZ,"Por otro lado, y, para terminar, comentarles que el lunes pasado, el 1º de mayo, me preguntaban por un supuesto colapso en una formación cavernosa, conocida como Cenote o Cueva de la Dama Blanca. Ese mismo día se trasladó el equipo de arqueología al sitio y pues no encontramos nada, el elemento está intacto.",0.0,54,08,05,2023
DIEGO PRIETO HERNANDEZ,"Pueden ustedes observar el abrigo rocoso de ingreso a la cueva, no tiene ningún problema; la vista interior de la cueva sin alteración y la vista donde se aprecia que el área fue protegida, eso sí, con esta cinta naranja precisamente para evitar que se aproximaran las maquinarias.",0.0,48,08,05,2023
DIEGO PRIETO HERNANDEZ,"Y, por otro lado, estamos trabajando, precisamente, con la empresa ICA, aquí presente, para trabajar los ajustes, los pivoteos que se requieran para asegurarnos que no se va a tocar la formación cavernosa, de manera que aquí están los trazos que, además, consideran que en toda esta área es la vía elevada.",0.0,52,08,05,2023
DIEGO PRIETO HERNANDEZ,"En el tramo 5 sur el 70 por ciento de la vía va en viaducto, es decir, va elevada, precisamente para proteger, como se ha dicho antes, todos los elementos de suelo cárstico, de oquedades en el subsuelo, de ríos subterráneos y asegurarnos la conservación del patrimonio natural y cultural en el entorno de esa gran obra de desarrollo y de justicia social.",0.0,63,08,05,2023
DIEGO PRIETO HERNANDEZ,Es todo.,0.0,2,08,05,2023
DIEGO PRIETO HERNANDEZ," Sí, claro. Si, pues, efectivamente, hace cuatro meses estábamos muy angustiados por la inmensa cantidad de vestigios. Sólo en el tramo 7 ubicamos, después de las prospecciones y el análisis de las imágenes Lidar, alrededor de 18 mil estructuras, inmuebles.",0.0,40,08,05,2023
DIEGO PRIETO HERNANDEZ,"Hace rato, en el tramo 4 hablé más-menos de cuatro mil, aquí eran más de 18, se acercaba el número a 20 mil estructuras que ya habíamos ubicado que iban a encontrarse.",0.0,32,08,05,2023
DIEGO PRIETO HERNANDEZ,"Desde antes estuvimos comentando con los ingenieros militares, con Fonatur que algunos de estos vestigios de acuerdo con la información planteada requerían algunos ajustes de trazo.",0.0,26,08,05,2023
DIEGO PRIETO HERNANDEZ,Se lo planteamos al presidente y él autorizó que estos ajustes permitieran salvar alrededor de 20 edificios de tipo 4.,0.0,20,08,05,2023
DIEGO PRIETO HERNANDEZ,"¿Cómo clasificamos tipo 1, 2, 3 y 4?",0.0,8,08,05,2023
DIEGO PRIETO HERNANDEZ,"Los de tipo 1 y 2 pues son elementos que simplemente requieren ser registrados, en su mayoría bienes muebles, como metates o como fragmentos de cerámica que, por supuesto, se recuperan y se analizan en laboratorio.",0.0,36,08,05,2023
DIEGO PRIETO HERNANDEZ,"Después vienen los tipos 3, que son estructuras que tienen un poco más de complejidad, que son de carácter inmueble, y que deben ser protegidos ya sea mediante este mecanismo de la de reconstrucción para conocer sus características, y posteriormente protegerlos en el seno del propio terraplén, o registrar la información que nos proporcionan y establecer medidas, insisto, para su preservación.",0.0,61,08,05,2023
DIEGO PRIETO HERNANDEZ,"Y tenemos los de tipo 4, que son los que tienen especial interés arqueológico, arquitectónico, estilístico, y estos deben de ser conservados in situ, es decir, en el lugar. Los de tipo 4 tuvieron que ser, entonces, atendidos mediante ajustes de trazo, en unos casos; en otros casos pasamos por viaducto para que el elemento arqueológico se preserve debajo del viaducto, se hacen puentes, se hacen encofrados.",0.0,67,08,05,2023
DIEGO PRIETO HERNANDEZ,"Un ejemplo de esto, pueden ustedes encontrarlo aquí en Mixcoac, ahí tenemos una zona arqueológica en donde cuando se amplió el periférico no se autorizó eliminar esta pirámide que se encuentra ahí en las cercanías de San Pedro de Los Pinos, y lo que se hizo fue volar la ampliación del periférico.",0.0,52,08,05,2023
DIEGO PRIETO HERNANDEZ,"Este tipo de soluciones son las que encontramos, pero corría el tiempo, y de verdad el trabajo arqueológico se antojaba demasiado grande, inconmensurable, y lo que determinó el presidente es intensificar la fuerza de trabajo.",0.0,35,08,05,2023
DIEGO PRIETO HERNANDEZ,"Sólo en los tramos 6 y 7 tenemos más de 280 arqueólogos y de otras profesiones vinculadas al trabajo arqueológico, como antropólogos físicos, como geólogos, como geomatas, como antropólogos sociales también, biólogos ambientales. Todo este ejército se reclutó sólo para atender el tramo 7 y en alguna medida menor el tramo 6.",0.0,52,08,05,2023
DIEGO PRIETO HERNANDEZ,"Pero no sólo eso, se autorizó también que se trasladaran tropas, elementos de tropa para auxiliar en el trabajo, no para hacer el trabajo arqueológico, digamos, sistemático, pero sí para auxiliar en todo el trabajo de limpieza, de despalme, de preparación, de las áreas de excavación y de registro único de los monumentos de tipo 2.",0.0,56,08,05,2023
DIEGO PRIETO HERNANDEZ,"Todos estos monumentos han sido registrados, han sido analizados, han sido georreferenciados, han sido atendidos en el sentido de que tenemos una gran cantidad de material arqueológico que hemos ido acopiando.",0.0,31,08,05,2023
DIEGO PRIETO HERNANDEZ,"Gracias a esta tarea, en donde también nos auxiliaron, como ya se dijo, las dependencias del gobierno del estado de Quintana Roo, el gobierno del Campeche, la Secretaría de Bienestar, la Secretaría de Medio Ambiente y Recursos Naturales, Semarnat; la Subsecretaria de Bienestar, la Subsecretaria de Desarrollo Agrario, Territorial y Urbano, el presidente del Indaabin, todos ellos aportando también personal; por supuesto, se contrató también a una gran cantidad de personal manual para auxiliar en estas tareas, codo con codo con la tropa y bajo la coordinación compartida del INAH y del grupo de ingenieros militares.",0.0,96,08,05,2023
DIEGO PRIETO HERNANDEZ,"Tuvimos una reunión muy interesante el viernes pasado, donde estuvieron estos arqueólogos recién egresados de diversas universidades, como la UADY, la Universidad Autónoma de Yucatán; la UAZ, de Zacatecas; la Universidad Autónoma del Estado de México, la Universidad de Campeche, la Escuela Nacional de Antropología e Historia, la Escuela de Antropología e Historia del Norte de México, la Universidad Nacional Autónoma de México, la UNAM; la Unicach, que es la Universidad de Ciencias y Artes de Chiapas; la Universidad de San Luis Potosí, inclusive la Universidad de las Américas campus Puebla, que aunque ya no tiene la carrera de arqueología durante algún tiempo la tuvo y hay egresados que se han incorporado a este trabajo.",0.0,115,08,05,2023
DIEGO PRIETO HERNANDEZ,"Otra cosa que me entusiasma mucho es que el señor presidente aprobó, acordó que estos trabajadores que entraron en este dispositivo emergente en el que ya logramos dar el visto bueno de obra a todo el tramo 7, ya puede avanzar la obra sin contratiempos. Nosotros estaremos trabajando en tareas adyacentes.",0.0,51,08,05,2023
DIEGO PRIETO HERNANDEZ,"Vamos a revisar este asunto para ver si en ese paradero hay vestigios, por supuesto si hay fragmentos de cerámica. Eso no significa que no se pueda hacer el paradero, simplemente se recupera el material y se lleva a los laboratorios para su análisis e investigación, pero lo vamos a revisar para que no se quede ningún vestigio sin recuperar.",0.0,60,08,05,2023
DIEGO PRIETO HERNANDEZ,"Les decía que el presidente ha autorizado que este personal, estos profesionistas, sobre todo arqueólogos permanezcan trabajando, obviamente en diversas tareas, particularmente del mejoramiento de zonas arqueológicas hasta el final de su mandato.",0.0,33,08,05,2023
