Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JAVIER MAY RODRIGUEZ," Muy buenos días a todas, a todos. Con su permiso, señor presidente.",0.0,12,12,06,2023
JAVIER MAY RODRIGUEZ,"Informamos hoy sobre el tramo 4 del Tren Maya, que va de Izamal a Cancún, son 239 kilómetros de vía doble electrificada que pasan por nueve municipios de Yucatán y Quintana Roo.",0.0,32,12,06,2023
JAVIER MAY RODRIGUEZ,"Contará con estaciones en Chichén Itzá, Valladolid y Cancún aeropuerto, y con paraderos en Nuevo Xcán y Leona Vicario.",0.0,19,12,06,2023
JAVIER MAY RODRIGUEZ,Habrá una base de mantenimiento en Valladolid y un taller y cochera en Cancún que estará listo el 8 de julio para recibir el primer tren.,0.0,26,12,06,2023
JAVIER MAY RODRIGUEZ,"Se aplica el Programa de Mejoramiento de Zonas Arqueológicas en Chichén Itzá y Ek’ Balam, donde se edifican centros de atención a visitantes.",0.0,23,12,06,2023
JAVIER MAY RODRIGUEZ,Muy cerca de la zona arqueológica de Chichén Itzá se construye un Hotel Tren Maya.,0.0,15,12,06,2023
JAVIER MAY RODRIGUEZ,"En el tramo 4 se cuenta con 143 kilómetros de vía terminada, están en operación tres distribuidores viales y 24 obras de drenaje construidas, así como 99 de 127 pasos peatonales, vehiculares y de fauna.",0.0,35,12,06,2023
JAVIER MAY RODRIGUEZ,Hay tres subestaciones eléctricas tractoras que llevan un avance del 96 por ciento.,0.0,13,12,06,2023
JAVIER MAY RODRIGUEZ,Están abiertos a la circulación 151 kilómetros de autopista Mérida-Cancún que se modernizan.,0.0,13,12,06,2023
JAVIER MAY RODRIGUEZ,"En suma, la obra del Tren Maya en tramo 4 ha generado 62 mil empleos.",0.0,15,12,06,2023
JAVIER MAY RODRIGUEZ,"El Tren Maya será una gran oportunidad para conocer lugares únicos, como Guayma, río Lagartos, Ek’Balam, en Yucatán, o Punta Nizúc, y desde luego Quintana Roo. Seguimos trabajando para la inauguración del Tren Maya en diciembre del 2023.",0.0,38,12,06,2023
