Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
VICENTE FOX QUESADA," Pues batallando para sobrevivir económicamente. Sí me ha costado trabajo la pérdida de la pensión, la pérdida de los apoyos de talento y de recurso humano, y la pérdida de los seguros, el seguro de gastos médicos mayores, andan sobre 100 mil pesos mensuales a mi edad el seguro de gastos médicos mayores, yo tuve que pagarlo yo.",0.0,58,19,07,2023
VICENTE FOX QUESADA,"Y la gente dirá: ‘Pues qué bueno que lo pague usted’. Pues no es así, los presidentes deben de tener tranquilidad, los expresidentes igual, sucede en todo el mundo. No hay que mandarlos a la hoguera porque luego se portan mal.",0.0,41,19,07,2023
VICENTE FOX QUESADA," Sin duda, sin duda, igual que la libertad en la cuestión de sueldos y salarios o la competitividad en los sueldos y salarios.",0.0,23,19,07,2023
VICENTE FOX QUESADA," Ese cuate no necesita, si él dice que vive sin nada, si la pensión ya la tiene, ya se hizo justicia a sí mismo.",0.0,24,19,07,2023
VICENTE FOX QUESADA," Yo creo que sí. Va a ser tal la derrota, tan inesperada para él, que le rompe todos los planes que pudo haber tenido de continuidad.",0.0,26,19,07,2023
VICENTE FOX QUESADA," Seguro, seguro. Y debe ser un golpe inmediato y rápido; no sólo él, los otros ratas que andan ahí, por violaciones no sólo de robar dinero, por violaciones flagrantes a la Constitución.",0.0,32,19,07,2023
VICENTE FOX QUESADA," Otra pregunta superinteresante. No son los generales, y habría que conocer cuáles andan de lado del que está ahí con el montón de medallas, y montón probablemente de dinero porque lo han maiceado más que a nadie.",0.0,37,19,07,2023
VICENTE FOX QUESADA," Sin duda, sin duda.",0.0,4,19,07,2023
VICENTE FOX QUESADA," Sí, con un país marchito, destruido, una apatía de la gente por la política, por el gobierno. Hay que reconstruir un futuro alegre, un futuro optimista, un futuro real que este país puede tener, debe tener y alguien se lo tiene que traer.",0.0,43,19,07,2023
VICENTE FOX QUESADA, ¿Yo? Pues espero pasar de los 100.,0.0,7,19,07,2023
VICENTE FOX QUESADA," Con un beso y un abrazo. No, no. ¿Cómo me tienes que despedir del programa? Ojalá con buena información para la gente. De la vida, repito, me queda un tramo que recorrer, espero largo.",0.0,34,19,07,2023
VICENTE FOX QUESADA," Ojalá y Xóchitl nos cubra eso, de que los huevones no caben en el gobierno y tampoco en el país. Ya se acabó que estén recibiendo programas sociales. A trabajar, cabrones, como dice Xóchitl.",0.0,34,19,07,2023
VICENTE FOX QUESADA," …Eso, de que los huevones no caben en el gobierno y tampoco en el país. Ya se acabó que estén recibiendo programas sociales. A trabajar, cabrones, como dice Xóchitl.",0.0,29,19,07,2023
