Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
ALFREDO DEL MAZO MAZA," Muy buenos días. Con su permiso, señor presidente. Buenos días.",0.0,10,21,07,2023
ALFREDO DEL MAZO MAZA,"Saludo con mucho gusto a la maestra Delfina Gómez, gobernadora electa del Estado de México, y al secretario de Infraestructura y Comunicaciones del Gobierno de México y a quienes nos acompañan el día de hoy en la conferencia de esta mañana. Muy buenos días a todas, a todos.",0.0,48,21,07,2023
ALFREDO DEL MAZO MAZA,"Quisiera empezar primero mencionando que esta obra es un buen ejemplo de un trabajo coordinado entre el gobierno federal, el Gobierno de México, el gobierno del Estado de México y la Ciudad de México.",0.0,34,21,07,2023
ALFREDO DEL MAZO MAZA,"Una obra que beneficia. Además, tiene un impacto metropolitano y beneficia a una de las zonas más pobladas que tenemos en nuestro país, en especial toda la zona oriente del Valle de México.",0.0,33,21,07,2023
ALFREDO DEL MAZO MAZA,"Y a partir de un compromiso y una propuesta del señor presidente de hacer un transporte masivo en esa zona para mejorar la movilidad y la conectividad de las familias que viven en esta región del Estado de México es que se planteó el hacer un trolebús que conecte la zona desde Chalco, pasando por Valle de Chalco, el municipio de La Paz y la alcaldía de Iztapalapa, en la Ciudad de México, conectando esta zona con el Metro a la altura de la terminal de Santa Martha para disminuir los tiempos de traslado, para ahorrar tiempo, costo, a las familias de esta región del Estado de México.",0.0,108,21,07,2023
ALFREDO DEL MAZO MAZA,"Nos da mucho gusto trabajar en conjunto este programa, esta gran obra y que sea de beneficio para los habitantes de esta región del Estado de México y del Valle de México, de la ciudad también.",0.0,36,21,07,2023
ALFREDO DEL MAZO MAZA,"Iniciaría presentando la ruta que va a tener este trayecto del trolebús, sería saliendo de Chalco, de la terminal de Chalco. Son 13 estaciones y dos terminales para llegar a la zona de Santa Martha, como decía, saliendo de Chalco, pasando por Valle de Chalco, La Paz, Iztapalapa y a lo largo del trayecto acercando las rutas del transporte de toda esta región.",0.0,63,21,07,2023
ALFREDO DEL MAZO MAZA,Lo hemos dividido en distintos sectores la obra para un poco explicar de qué se trata cada uno y qué hay en cada etapa de estos sectores. En un momento más los iremos mostrando.,0.0,34,21,07,2023
ALFREDO DEL MAZO MAZA,"Y, bueno, este es el trayecto, como ven ustedes, para conectar desde Chalco hasta Santa Martha, en la Ciudad de México.",0.0,21,21,07,2023
ALFREDO DEL MAZO MAZA,"Las características ―en la lámina que sigue― del trolebús son 18 kilómetros y medio de longitud. Estamos hablando, como decíamos, de 13 estaciones, más dos terminales. Un flujo de pasajeros de 120 en su etapa inicial y llegando hasta 230 mil pasajeros en su fase pues de mayor demanda.",0.0,49,21,07,2023
ALFREDO DEL MAZO MAZA,"Se iniciaría trabajando con una flota de 108 unidades y posteriormente poder llegar hasta 184 en su fase ya de maduración con un total de 140 pasajeros, 142 pasajeros por unidad.",0.0,31,21,07,2023
ALFREDO DEL MAZO MAZA,"Y algo muy importante, y lo podemos ver aquí en la lámina, es el ahorro de tiempo que significa para las familias de esta región el poder contar con un transporte de alta capacidad como es el trolebús, pasaríamos de un recorrido de prácticamente dos horas para poder llegar de una zona a la otra a un recorrido de 45 minutos en el caso del servicio normal, es decir, que va deteniéndose en cada estación; hasta 33 minutos en el servicio exprés, que es el que va de manera continua y no se detiene en todas las estaciones.",0.0,98,21,07,2023
ALFREDO DEL MAZO MAZA,"Esto es un ahorro de más de una hora y cuarto para los usuarios que diariamente usan esta zona o que diariamente transitan de esta zona para ir de sus hogares a sus centros de trabajo, a la escuela, a las distintas actividades que realicen en esta región.",0.0,48,21,07,2023
ALFREDO DEL MAZO MAZA,"Pasamos a la siguiente lámina. Y aquí estaremos explicando cada uno de los sectores, en qué consiste cada uno de los sectores de la obra que ya se está llevando a cabo, y empezaríamos con lo que es la terminal de Santa Martha.",0.0,43,21,07,2023
ALFREDO DEL MAZO MAZA,¿Por qué es muy importante este espacio en la terminal de Santa Martha?,0.0,13,21,07,2023
ALFREDO DEL MAZO MAZA,"Porque nos permite comunicar este sistema de transporte con la Ciudad de México y con los sistemas de transporte que hay en la Ciudad de México. Estaríamos conectando con la Línea A del Metro, con el Cablebús y el Trolebús Elevado, todo esto en esta terminal de Santa Martha, lo cual lo hace, además, un sistema integral porque de ahí pues se puede hacer uso de los otros sistemas de transporte.",0.0,71,21,07,2023
ALFREDO DEL MAZO MAZA,"Esta obra, como lo vemos aquí, está a cargo una parte de la obra, una parte de la terminal es responsabilidad, está llevándola a cabo el gobierno del Estado de México, lo que es la parte derecha de la terminal; y lo que es la otra parte, digamos, la parte izquierda de salida de la terminal, la está ejecutando la Secretaría de Infraestructura, Comunicaciones y Transportes.",0.0,66,21,07,2023
ALFREDO DEL MAZO MAZA,"Vamos a la siguiente lámina. Tenemos el sector número 2, que le llamamos, que es el tramo que va sobre la autopista México-Puebla, pero va sobre un carril elevado. Aquí tenemos tres que van sobre un carril elevado, son más de cinco kilómetros, 5.4 kilómetros que estarían recorriendo el trolebús en esta región.",0.0,53,21,07,2023
ALFREDO DEL MAZO MAZA,"Y vemos en el mapa el tramo que significa este sector del trolebús justamente sobre la autopista México-Puebla, y está justo en la frontera entre el Estado de México y la Ciudad de México.",0.0,34,21,07,2023
ALFREDO DEL MAZO MAZA,"Vamos a la siguiente, que es lo que le llamamos el carril confinado sobre la autopista México-Puebla, esto es ya en medio de la autopista, en un espacio que ya estaba de alguna manera pues dispuesto para que en un futuro tuviera un uso de algún transporte de alta capacidad y hoy en día se está aprovechando.",0.0,57,21,07,2023
ALFREDO DEL MAZO MAZA,"El carril central, es decir, la parte de en medio de la autopista México-Puebla son 5.3 kilómetros, este va a nivel de piso. Y tenemos ahí cuatro estaciones que forman parte de este sector, como se ve también ahí en la lámina que estamos observando.",0.0,45,21,07,2023
ALFREDO DEL MAZO MAZA,"Posteriormente, nos vamos al sector número 4, que es el puente superior vehicular sobre avenida Solidaridad, esto es la entrada a la zona urbana de Chalco. Aquí lo que podemos ver es: el trolebús sigue a nivel de piso por la parte de abajo, y estaría elevándose lo que es la autopista para continuar lo que es la autopista México-Puebla y dar paso hacia la parte inferior al trolebús para entrar a la zona más densamente poblada, prácticamente es la zona centro a de Chalco donde estaría entrando. Este es el sector número 4.",0.0,94,21,07,2023
ALFREDO DEL MAZO MAZA,"Vamos al sector número 5, que sería el centro urbano de Chalco. Aquí tenemos seis estaciones. Esta es la zona quizá más densamente poblada de todo este trayecto que tiene el trolebús, probablemente la que más uso del trolebús va a hacer también. Son 5.3 kilómetros a lo largo del centro de Chalco, entrando hasta el mero centro. Son seis estaciones, 5.3 kilómetros.",0.0,63,21,07,2023
ALFREDO DEL MAZO MAZA,"Vemos ahí también algunas… En las láminas estamos mostrando algunos ejemplos de las estaciones de cómo sería de autoelevado, de cómo estaría cada una de las obras en su culminación.",0.0,30,21,07,2023
ALFREDO DEL MAZO MAZA,"Posteriormente, tenemos el cruce de la autopista, de la carretera México-Cuautla. Aquí es un puente por encima para que el trolebús vaya otra vez de manera elevada para cruzar esta zona de México-Cuautla y que eso nos permita que por abajo continúe la carretera que hoy en día está en operación.",0.0,51,21,07,2023
