Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
DELFINA GOMEZ ALVAREZ," Buenos días a todas, a todos. Señor presidente, buen día; buen día señor gobernador; gracias, señor secretario, ingeniero, que nos honra con su presencia; invitados especiales, medios de comunicación y quienes nos siguen a través de los diferentes canales de comunicación.",0.0,41,21,07,2023
DELFINA GOMEZ ALVAREZ,"Efectivamente, uno de los principales retos que tenemos dentro del Estado de México es detonar el desarrollo económico de nuestro querido estado, y por ello es fundamental seguir fortaleciendo la infraestructura y el transporte de la entidad.",0.0,37,21,07,2023
DELFINA GOMEZ ALVAREZ,"Con esta obra, así como otras que afortunadamente hemos tenido la oportunidad de ahorita conocer, se logran cubrir tres necesidades básicas dentro del Estado de México, entre otras:",0.0,28,21,07,2023
DELFINA GOMEZ ALVAREZ,"Primero, efectivamente, es el desarrollo económico, activar esa economía.",0.0,9,21,07,2023
DELFINA GOMEZ ALVAREZ,"La otra es la movilidad, que también es importante. Y con estas grandes obras permite al usuario no solamente reducir tiempo, como comentaba aquí nuestro gobernador, sino también que sea un transporte de calidad y de eficacia.",0.0,37,21,07,2023
DELFINA GOMEZ ALVAREZ,"Y, por último, también que es la conectividad que, sin duda alguna, es importante.",0.0,14,21,07,2023
DELFINA GOMEZ ALVAREZ,"Todo esto yo reconozco y agradezco que ha hecho el gobierno federal, junto con la participación del gobierno estatal y de la Ciudad de México porque, efectivamente, tenemos que tener y trasladar ese beneficio a quienes los necesita, que son nuestros mexiquenses. Por eso, estoy segura que, con esta continuidad de obras en beneficio de los ciudadanos, va a ser importante y un gran reto para la nueva administración.",0.0,69,21,07,2023
DELFINA GOMEZ ALVAREZ,"Y quiero aprovechar para informar que, efectivamente, estamos en la etapa de transición, y que sin duda alguna ha sido una etapa de transición que nos ha dejado grandes y grande información, también grandes retos, pero ha sido con un medio de respeto y buena colaboración y comunicación.",0.0,48,21,07,2023
DELFINA GOMEZ ALVAREZ,"Y agradezco aquí al gobernador y a su equipo, que ha hecho posible ello, y que también aseguraran a nuestros mexiquenses algo que nos ha pedido nuestro presidente de la República, el licenciado Andrés Manuel López Obrador, que esta transición y esta nueva administración no reduzca lo que es importante, que es el beneficio y que es el servicio a los ciudadanos.",0.0,62,21,07,2023
DELFINA GOMEZ ALVAREZ,"Por ello, mexiquenses, estén seguros que este cambio de esta nueva administración va a seguir obedeciendo a lo que tanto queremos, que es respetar y cuidar a nuestros ciudadanos.",0.0,29,21,07,2023
DELFINA GOMEZ ALVAREZ,"Muchísimas gracias, señor presidente; gracias, señor gobernador, por toda la atención.",0.0,11,21,07,2023
DELFINA GOMEZ ALVAREZ,Que tengan buen día. Gracias.,0.0,5,21,07,2023
