Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PREGUNTA," El pasado 19 de julio finalizó la segunda etapa de atención del Tianguis del Bienestar en La Montaña de Guerrero, instruida por el presidente Andrés Manuel López Obrador.",0.0,28,25,07,2023
PREGUNTA,"Se visitaron los municipios de Alpuyeca, Xochihuehuetlán, Huamuxtitlán, Tlapa de Comonfort, Iliatenco y Chilapa de Álvarez donde fueron beneficiadas 36 mil 108 familias de 245 comunidades con la entrega de 707 mil 50 bienes.",0.0,34,25,07,2023
PREGUNTA,"De agosto de 2021 a la fecha se ha entregado un total de nueve millones 236 mil artículos a 367 mil 578 familias de 200 municipios de Oaxaca, Guerrero, Chiapas y Veracruz. Esto ha permitido un ahorro superior a los 649 millones de pesos en renta de patios y almacenes.",0.0,50,25,07,2023
PREGUNTA,"Ahora estamos por iniciar reconocimiento territorial en 27 municipios de la región de la Huasteca en los estados de Hidalgo, Veracruz, Puebla y San Luis Potosí para atender a su población a partir del 21 de agosto. En esta zona, más de 128 mil familias recibirán los bienes que hoy están en proceso de identificación y clasificación.",0.0,57,25,07,2023
PREGUNTA,"Las instituciones de gobierno, coordinadas por la Secretaría de Seguridad y Protección Ciudadana, continúan su trabajo con dedicación y compromiso para llevar el Tianguis del Bienestar a miles de familias de las comunidades más alejadas y marginadas del país.",0.0,39,25,07,2023
PREGUNTA,"Participan la Secretaría de la Defensa Nacional, la Guardia Nacional, la Secretaría de la Función Pública, la Secretaría de Hacienda y Crédito Público a través del Instituto para Devolver al Pueblo Robado, el Servicio de Administración Tributaria y la Agencia Nacional de Aduanas de México, así como autoridades estatales y municipales.",0.0,51,25,07,2023
PREGUNTA,"Por el bien de todos, primero los pobres.",0.0,8,25,07,2023
PREGUNTA," ¿Cuándo, presidente?",0.0,2,25,07,2023
PREGUNTA, (inaudible),0.0,1,25,07,2023
PREGUNTA, (inaudible),0.0,1,25,07,2023
PREGUNTA, ¿Consigna entre ellos?,0.0,3,25,07,2023
PREGUNTA," Buenos días, presidente.",0.0,3,25,07,2023
PREGUNTA,"Stephanie Palacios, de la Agencia Sputnik.",0.0,6,25,07,2023
PREGUNTA,"Preguntarle sobre esta reunión que sostuvo con la asesora de la Casa Blanca, Elizabeth Sherwood, Adelantó un poco en sus redes sociales que tuvo, que esta reunión fue productiva, pero en el tema del tráfico de fentanilo, armas y el tema de migración, si nos puede adelantar un poco.",0.0,49,25,07,2023
PREGUNTA," En el tema de armas, ayer se dio a conocer que se gastó, ha gastado México más de 15 mil millones de dólares por el tema del tráfico, bueno, en estas demandas contra las armerías. Y también si se platicó sobre eso.",0.0,42,25,07,2023
PREGUNTA,"En el tema migratorio, ayer fue el último día en que el gobernador de Texas tenía como límite quitar estas boyas en el río Bravo. Y también si se tocó ese tema, porque además es una violación a los derechos humanos, y si se tocó también ese tema.",0.0,48,25,07,2023
PREGUNTA,"También si México… Bueno, ahí en esa reunión estaba el embajador de México en Estados Unidos, Esteban Moctezuma, quien se decía que a lo mejor México podía demandar al gobierno de Texas. Si hay un adelanto de eso o no. ¿O qué hay respecto a eso?",0.0,46,25,07,2023
PREGUNTA," En el tema del gobernador de Texas, él refrendó en sus redes sociales, bueno, en Twitter, dijo que él tenía la autoridad también para defender la soberanía de Texas. Entonces, respecto a que si hay una batalla legal también México podría participar junto con Estados Unidos.",0.0,46,25,07,2023
PREGUNTA," Hace unas semanas hubo una reunión que convocó Antony Blinken sobre el tema del tráfico del fentanilo. Ellos estaban creando lo que fue o lo que es la coalición internacional contra el tráfico del fentanilo, en la que participó México; ellos presuntamente dicen que China no quiso colaborar con ellos por el tema del tráfico, además.",0.0,56,25,07,2023
PREGUNTA,¿Cuál es su opinión? Porque usted ha enviado cartas al gobierno de China. Si ya hay alguna respuesta por parte del gobierno chino respecto a esto.,0.0,26,25,07,2023
PREGUNTA," Y también sobre el tema de cuál es su percepción y su opinión sobre la cumbre que se llevó a cabo de la Unión Europea, Celac, en Bruselas, y que también la canciller Alicia Bárcenas hizo un pronunciamiento en contra, en este caso, de los bloqueos contra Cuba y con Venezuela. Además, también muchos líderes latinoamericanos se pronunciaron respecto a este conflicto que hay en Rusia con Ucrania, sobre este bloque europeo que ha financiado también a este conflicto.",0.0,79,25,07,2023
PREGUNTA, ¿Va a venir aquí a la mañanera?,0.0,7,25,07,2023
PREGUNTA," También contra el narcotráfico, presidente, porque también se…",0.0,8,25,07,2023
PREGUNTA, Y sí hay las relaciones de colaboración entre México y Estados Unidos respecto a este tema.,0.0,16,25,07,2023
PREGUNTA," Pero, entonces, ¿a China lo invitaron o a China no lo invitaron, o China no quiso participar?",0.0,17,25,07,2023
