Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MANUEL BARTLETT DIAZ, Buenos días a todos.,0.0,4,31,07,2023
MANUEL BARTLETT DIAZ,"Unas breves palabras y después el video. Si me ayudan así. La CFE, bajo la dirección del presidente López Obrador, construye un sistema eléctrico integral para la energización del Tren Maya y todos sus componentes, e instala toda la electricidad necesaria en cada una de sus partes.",0.0,47,31,07,2023
MANUEL BARTLETT DIAZ,"Esa electrificación crea un sistema integral y este conjunto se va a interconectar con el Sistema Eléctrico Nacional, conducido por el Cenace. Que tengamos conocimiento, nunca se ha construido un sistema de esta envergadura y de estas dimensiones en tan corto tiempo. Con este sistema, se integra el sur sureste con el desarrollo nacional.",0.0,54,31,07,2023
MANUEL BARTLETT DIAZ,"La imagen, por favor.",0.0,4,31,07,2023
MANUEL BARTLETT DIAZ, Muchas gracias.,0.0,2,31,07,2023
MANUEL BARTLETT DIAZ," Efectivamente, como lo señala el presidente de la República, no existe un proyecto de impulsar la energía nuclear el México.",0.0,20,31,07,2023
MANUEL BARTLETT DIAZ,"Hemos estado trabajando bajo su dirección para lograr que la CFE tenga la energía suficiente y tenga un predominio en la misma, es decir, el proyecto que presentó el presidente de tener cuando menos el 54 por ciento de la energía eléctrica en manos del Estado, o sea, de la CFE, está corriendo, se están construyendo las plantas necesarias para ello.",0.0,61,31,07,2023
MANUEL BARTLETT DIAZ,"Y hubo, además, un apoyo extraordinario con la instrucción del presidente de comprar plantas a la empresa Iberdrola.",0.0,18,31,07,2023
MANUEL BARTLETT DIAZ,"Con esto, México tendrá la seguridad en los próximos años de que tendremos una electricidad suficiente para garantizar el desarrollo del país y mantener una predominancia del Estado para poder garantizar la energía y, desde luego, el costo de la energía y la entrega de la energía a todos los mexicanos como un servicio público.",0.0,55,31,07,2023
MANUEL BARTLETT DIAZ,"Existen una serie de análisis actualmente para superar la descarbonización, o sea, el régimen de transición en la energía eléctrica:",0.0,20,31,07,2023
MANUEL BARTLETT DIAZ,"Ya el presidente puso en marcha, está por terminarse una planta, la planta más grande de fotovoltaico, de sol, en Sonora, y con eso iniciamos un gran periodo de energía limpia en el país a través de esta tecnología.",0.0,39,31,07,2023
MANUEL BARTLETT DIAZ,"También, el presidente ha puesto en marcha y está por concluirse también en su periodo la renovación de la maquinaria de todas las presas del país. Se ha renovado no sólo para tener más energía, que depende esta cantidad del agua, sino para darles a las presas que se han construido, más las que está construyendo ahorita el presidente, darle energía limpia al país.",0.0,64,31,07,2023
MANUEL BARTLETT DIAZ,"También, se complementa la energía que produce el agua con fotovoltaicos, que es un proyecto que el presidente ha ordenado que se estudie en los propios embalses de las presas, lo cual nos dará un doble uso para las presas.",0.0,40,31,07,2023
MANUEL BARTLETT DIAZ,"Se están también haciendo ensayos, tendremos una planta próximamente en Baja California Sur para utilizar la energía nueva, la energía verde llamada.",0.0,22,31,07,2023
MANUEL BARTLETT DIAZ,"De esta manera, estamos experimentando todo lo que sea necesario, pero sobre todo ya existe al final de este periodo la energía suficiente, energía limpia para la transformación de este país. No hay un análisis determinado sobre utilizar nuclear.",0.0,39,31,07,2023
MANUEL BARTLETT DIAZ,"Es cierto que en muchas partes del mundo están recuperando la idea de la energía nuclear, por ejemplo, Alemania y otros países que dejaron de utilizar esas plantas, pero en México no se ha hecho un programa de este tipo porque tenemos suficiente tecnología para garantizar la energía limpia en los próximos años y la suficiente energía para el desarrollo del país.",0.0,62,31,07,2023
MANUEL BARTLETT DIAZ,Muchas gracias.,0.0,2,31,07,2023
