Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
OSCAR DAVID LOZANO AGUILA," Con su permiso, señor presidente. Muy buenos días a todas y a todos.",0.0,13,31,07,2023
OSCAR DAVID LOZANO AGUILA,"Me voy a permitir explicar a ustedes la electrificación del Tren Maya desde el punto de vista de la operación de los sistemas ferroviarios que están a cargo de la Secretaría de la Defensa Nacional. La siguiente lámina, por favor.",0.0,40,31,07,2023
OSCAR DAVID LOZANO AGUILA,"Por supuesto que el proyecto Tren Maya se constituye un detonador de desarrollo interregional de gran impacto, no sólo como una fuente de empleos, sino también como un impulsor del desarrollo tecnológico del sureste.",0.0,34,31,07,2023
OSCAR DAVID LOZANO AGUILA,"El funcionamiento eléctrico del tren, como ya lo explicó Maite Ramos, representa una infraestructura con elevados estándares de calidad y eficiencia, y posiciona a nuestro país en un primer orden en la operación de sistemas ferroviarios modernos y altamente eficientes.",0.0,40,31,07,2023
OSCAR DAVID LOZANO AGUILA,"La infraestructura eléctrica del Tren Maya demanda de profesionales y profesionistas en sistemas ferroviarios y también en sistemas eléctricos tan complejos como los que se han explicado; por tanto, la Secretaría de la Defensa Nacional ha iniciado a través de la empresa Tren Maya una intensa campaña de capacitación y adiestramiento, tanto a nivel nacional como internacional, en diversas entidades y organismos educativos internacionales, y en particular con entidades especializadas como el Centro Nacional de Control de Energía y la Comisión Federal de Electricidad.",0.0,84,31,07,2023
OSCAR DAVID LOZANO AGUILA,"Además, la Secretaría de la Defensa Nacional ha firmado acuerdos para la formación de profesionistas de alto nivel a través del Conalep, en el caso de los estados de la península de Yucatán y con el Instituto Politécnico Nacional para generar esos profesionistas que demanda esta infraestructura eléctrica.",0.0,48,31,07,2023
OSCAR DAVID LOZANO AGUILA,"El Tren Maya, por supuesto, ha obligado a estos organismos a modificar sus planes de estudio y considerarlo como un campo de aplicación y mejora profesional para que sus alumnos puedan realizar sus objetivos y desarrollar su vida en el sistema ferroviario.",0.0,42,31,07,2023
OSCAR DAVID LOZANO AGUILA,"La siguiente lámina, por favor. Estos mil 380 kilómetros de vía doble electrificada son 690 kilómetros de vía doble electrificada, que en suma representan los mil 380 kilómetros, permiten la circulación de los trenes en ambas direcciones, desde estación Teya, pasando por Cancún hasta Chetumal y de regreso. Esto, por supuesto, nos permite optimizar los tiempos y aumentar la frecuencia de operación y además aprovechar las ventajas que nos proporciona el empleo de una energía limpia.",0.0,76,31,07,2023
OSCAR DAVID LOZANO AGUILA,"La construcción de la línea aérea de contacto, es decir, la catenaria que ya fue explicada por la directora de Alstom México, está basada en diseños internacionales que están comprobados para trenes de alta velocidad que pueden alcanzar velocidades de hasta 350 kilómetros por hora.",0.0,45,31,07,2023
OSCAR DAVID LOZANO AGUILA,¿Qué quiere decir con eso?,0.0,5,31,07,2023
OSCAR DAVID LOZANO AGUILA,Que este sistema está por encima del estándar que requerimos nosotros porque en nuestro tren viajará a 160 kilómetros por hora.,0.0,21,31,07,2023
OSCAR DAVID LOZANO AGUILA,"El mantenimiento de toda esta infraestructura es fundamental porque la catenaria debe de funcionar de manera continua y proporcionar energía para garantizar la seguridad de las operaciones. Para ello, requerimos de personal especializado, únicamente para la supervisión de la línea ferroviaria de toda la catenaria para la operación y su mantenimiento requeriremos aproximadamente 465 trabajadores organizados en 90 cuadrillas de trabajo para dar mantenimiento a los siete circuitos de tracción, que explicó claramente el director de la Comisión Federal de Electricidad.",0.0,81,31,07,2023
OSCAR DAVID LOZANO AGUILA,"Pero, además, y como no tenemos ojos en toda la vía, necesitamos de un sistema que garantice las operaciones.",0.0,19,31,07,2023
OSCAR DAVID LOZANO AGUILA,¿Cómo lo vamos a hacer?,0.0,5,31,07,2023
OSCAR DAVID LOZANO AGUILA,A través de controlar toda esta infraestructura eléctrica a distancia a través del puesto de control central que estará en Cancún y los puestos de control zonales que tendremos en Mérida y en Chetumal.,0.0,34,31,07,2023
OSCAR DAVID LOZANO AGUILA,¿Para qué?,0.0,2,31,07,2023
OSCAR DAVID LOZANO AGUILA,"Para que, al detectar cualquier desviación o cualquier modificación en la alimentación eléctrica, podamos acudir con nuestras cuadrillas a atender cualquier deficiencia que podamos detectar desde estos puestos de control.",0.0,30,31,07,2023
OSCAR DAVID LOZANO AGUILA,"La siguiente lámina, por favor. Por supuesto que la infraestructura eléctrica sí sirve para alimentar no sólo el sistema de tracción, que ya fue explicado, sino también para la operación de todo lo que constituye el sistema ferroviario: las 20 estaciones, los 14 paraderos, las ocho bases de mantenimiento, los tres talleres, las seis cocheras, las 105 casetas de señalización y comunicaciones. Esto nos va a permitir también alimentar y accionar las escaleras eléctricas, los elevadores, los sistemas de iluminación, los sistemas informáticos, de boletaje, de seguridad, de centro de control y de imagen, los controles de acceso.",0.0,98,31,07,2023
OSCAR DAVID LOZANO AGUILA,"Todo este trabajo que ya fue explicado por el licenciado Bartlett. La verdad es que merece un reconocimiento la Comisión Federal de Electricidad, porque está llevando energía eléctrica a más de 150 subestaciones, es decir, estamos recibiendo, energizando todo el sistema ferroviario y toda la infraestructura complementaria del Tren Maya.",0.0,50,31,07,2023
OSCAR DAVID LOZANO AGUILA,"Evidentemente, como conclusión, puedo decirles que el Tren Maya coadyuva al desarrollo sustentable de la región y de nuestro país, y definitivamente a través de estas acciones contribuimos al bienestar social y a generar una mejora en la calidad de vida de las y los mexicanos.",0.0,46,31,07,2023
OSCAR DAVID LOZANO AGUILA,"Es cuanto, señor presidente. Muchas gracias.",0.0,6,31,07,2023
