Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
GUSTAVO RICARDO VALLEJO SUAREZ," Con su permiso, señor presidente. Muy buenos días a todas y a todos.",0.0,13,07,08,2023
GUSTAVO RICARDO VALLEJO SUAREZ,"La Secretaría de la Defensa Nacional se encuentra participando activamente en la construcción de los 5 norte, 6 y 7, en los estados de Quintana Roo y Campeche, con una longitud de construcción de 553.6 kilómetros. Iniciamos en agosto de 2022 y tenemos contemplado terminar en diciembre de 2023. Se han generado ya próximos a 40 mil empleos directos.",0.0,59,07,08,2023
GUSTAVO RICARDO VALLEJO SUAREZ,"Por lo que se refiere al tramo 5 norte, este tramo va de Cancún a Playa del Carmen, son 43.3 kilómetros de vía doble electrificada, que eso soporta tanto en viaducto elevado como en terraplén, llevamos un avance superior al 30 por ciento.",0.0,43,07,08,2023
GUSTAVO RICARDO VALLEJO SUAREZ,"Los trabajos sustantivos que estamos haciendo: la perforación de pilas de cimentación que está próxima a concluirse; el colado in situ, o sea, en el mismo lugar fabricamos el concreto para la cimentación y la primera parte de la sobreestructura, que son las columnas y los capiteles, y de manera simultánea se están fabricando y montando cabezales, vigas y tableros, que son la estructura del viaducto elevado.",0.0,67,07,08,2023
GUSTAVO RICARDO VALLEJO SUAREZ,"También tenemos aquí a cargo la construcción de una estación, simultáneamente se están fabricando las estructuras metálicas para las catenarias y fabricando en concreto los pasos de fauna y los cruces de agua.",0.0,33,07,08,2023
GUSTAVO RICARDO VALLEJO SUAREZ,"Se lleva una importante de cadenas de suministros logísticos para el acopio de los aspectos estratégicos, como son el concreto, el balasto, los durmientes, rieles, cables de catenaria y aparatos de vía para no tener retardos en los trabajos.",0.0,39,07,08,2023
GUSTAVO RICARDO VALLEJO SUAREZ,"Tenemos una fuerza de construcción de mil 200 unidades de maquinaria pesada y vehículos de apoyo a la construcción. Y hemos generado 11 mil 400 empleos tan sólo en este frente, de los cuales vigentes hay alrededor de cuatro mil 500.",0.0,41,07,08,2023
GUSTAVO RICARDO VALLEJO SUAREZ,"Por lo que se refiere al tramo 6, este tiene un avance superior al 35 por ciento, se trata de 255.8 kilómetros entre Tulum y Chetumal, es una vía doble electrificada que también corre, se soporta sobre terraplén y en algunos lugares sobre viaducto.",0.0,44,07,08,2023
GUSTAVO RICARDO VALLEJO SUAREZ,"En este lugar tenemos los trabajos importantes que estamos realizando, es la explotación de los bancos de materiales para tener una integración completa del suministro de materiales y de los trabajos de construcción para poder tender y conformar los terraplenes. Además, tenemos la construcción de cuatro estaciones y paraderos en este lugar.",0.0,52,07,08,2023
GUSTAVO RICARDO VALLEJO SUAREZ,"Estamos construyendo puentes y viaductos elevados, y las estructuras metálicas igualmente para la estructura de la catenaria y los suministros estratégicos que ya mencionamos.",0.0,24,07,08,2023
GUSTAVO RICARDO VALLEJO SUAREZ,"En este tramo tan sólo tenemos dos mil 330 unidades de maquinaria pesada, vehículos de apoyo a la construcción.",0.0,19,07,08,2023
GUSTAVO RICARDO VALLEJO SUAREZ,"Y hemos generado más de 13 mil empleos, de los cuales vigentes tenemos más de ocho mil.",0.0,17,07,08,2023
