Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LUISA MARIA ALCALDE LUJAN," Gracias, presidente.",0.0,2,08,08,2023
LUISA MARIA ALCALDE LUJAN,"Informar de algunas decisiones relevantes el día de ayer por parte de un juez federal, el juez octavo de Distrito en Materia Administrativa. Informarlo, sobre todo por la preocupación respecto a que se está extralimitando de sus facultades. Y no sólo eso, sino que aprovechándose de un amparo se toman decisiones que violentan la liberta de expresión, no sólo del presidente de México, sino el derecho también a la información de todas las mexicanas y los mexicanos. Y, por supuesto, afecta con ello a la democracia.",0.0,86,08,08,2023
LUISA MARIA ALCALDE LUJAN,"El juez federal octavo de distrito en materia administrativa, Martín Santos Pérez, concedió el día de ayer a Xóchitl Gálvez una suspensión provisional que ordena al presidente ‘abstenerse de realizar manifestaciones y —entre comillas ponemos— con malicia efectiva en las señales y redes sociales oficiales’. Esto, derivado de un amparo que fue promovido por parte de Xóchitl Gálvez el 18 de julio, tras hacerse públicos aquí el tema de sus empresas.",0.0,71,08,08,2023
LUISA MARIA ALCALDE LUJAN,"La medida ordena al presidente ‘abstenerse de transmitir —nuevamente con comillas— cualquier discurso de odio hacia la quejosa, así como eliminar de todas las cuentas oficiales las declaraciones y comunicados que la aludan’, en particular hace referencia a las conferencias matutinas del 3, 4, 5, 7 y 14 de julio.",0.0,50,08,08,2023
LUISA MARIA ALCALDE LUJAN,"También, el mismo juez le ordena a Hacienda, al SAT, a la UIF, a la Comisión Nacional Bancaria y de Valores ‘abstenerse de proporcionar información sobre la situación financiera, fiscal, bancaria y empresarial’.",0.0,33,08,08,2023
LUISA MARIA ALCALDE LUJAN,"Aquí también señalamos que este juez de Distrito en Materia Administrativa no es la primera vez que toma estas decisiones para efectos de suspensiones, tiene algunos antecedentes, aquí señalamos algunos:",0.0,30,08,08,2023
LUISA MARIA ALCALDE LUJAN,Había otorgado suspensión del acuerdo que permitía a las Fuerzas Armadas a realizar labores de seguridad pública hasta 2024.,0.0,19,08,08,2023
LUISA MARIA ALCALDE LUJAN,"También, suspendió el programa piloto de la SEP para aplicar el plan de estudios para preescolar, primaria y secundaria 2022 a 2023.",0.0,22,08,08,2023
LUISA MARIA ALCALDE LUJAN,"También, suspendió la prohibición a la venta de cigarrillos electrónicos.",0.0,10,08,08,2023
LUISA MARIA ALCALDE LUJAN,"También, otorgó la suspensión para la prohibición a restaurantes para fumar en sus instalaciones.",0.0,14,08,08,2023
LUISA MARIA ALCALDE LUJAN,"Y, también había suspendido la prohibición de utilizar personajes infantiles en productos chatarra.",0.0,13,08,08,2023
LUISA MARIA ALCALDE LUJAN,"Señalamos también que la quejosa, es decir, hablamos de Xóchitl Gálvez, es asesorada por abogados del Consejo Nacional de Litigio Estratégico. Aquí publicamos quiénes son algunos de los miembros de este consejo, está Gustavo de Hoyos, está Claudio X. González, que es el presidente; está también Miguel Carbonell, Fernando Gómez Mont, Lía Limón, entre otras consejeras y consejeros.",0.0,58,08,08,2023
LUISA MARIA ALCALDE LUJAN,"Por supuesto que presentaremos los recursos necesarios, pero sí hacemos público nuestra preocupación de la extralimi… Digo, que este juez se extralimita afectando nuestra democracia y pretendiendo, a través de este amparo, silenciar al presidente de México.",0.0,37,08,08,2023
LUISA MARIA ALCALDE LUJAN,"Muchas gracias, presidente.",0.0,3,08,08,2023
LUISA MARIA ALCALDE LUJAN, Que dice ‘discursos de odio’.,0.0,5,08,08,2023
LUISA MARIA ALCALDE LUJAN, ‘Con malicia efectiva’.,0.0,3,08,08,2023
