Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Buenos días. Ánimo, ánimo.",0.0,4,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, vamos a contestar preguntas. Nada más tenemos pendiente un compañero, uno, José de Jesús Ramírez. Adelante.",0.0,17,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, es un problema grave de contaminación de esta cuenca y está trabajando la Secretaría de Medio Ambiente. De todas maneras, vamos a pedir a la secretaria que nos presente un informe, cómo vamos.",0.0,34,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y es muy cierto lo que planteas, hay que ver toda la trayectoria del río, porque son descargas. Y donde se complica más es en El Salto porque ahí está el segundo parque industrial más importante del país y hay descargas. Entonces, sí se requiere un trabajo especial para limpiar toda la cuenca y buscar no sólo la colaboración de gobiernos municipales, de los gobiernos de los estados, sino también, y yo creo que estarían dispuestos a participar empresarios, quienes tienen ahí sus plantas, para evitar el que se sigan tirando desechos, aguas contaminadas al cauce del río.",0.0,98,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, sí vamos a verlo. Son de las cuestiones que se nos han ido quedando pendiente porque son muchos problemas, son asignaturas pendientes, pero en el tiempo que nos queda podemos hacer bastante, dejar iniciado para el nuevo gobierno un plan para limpiar ríos contaminados que hay todos lados.",0.0,49,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Me preocupa también mucho la situación de Tlaxcala porque hay muchas enfermedades que tienen que ver —está demostrado— con la contaminación del agua. Y tenemos que seguir avanzando para atender estos problemas que se dejaron durante mucho tiempo.,0.0,38,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero eso es lo que puedo contestarte. Y cuando tengamos algo muy concreto, muy específico, te vamos a informar.",0.0,19,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, sí pueden, tanto Sedatu, Medio Ambiente, como Conagua, pueden intervenir y buscar acuerdos con el gobierno del estado.",0.0,19,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Estamos trabajando juntos para llevar más agua a la zona conurbada de Guadalajara con un acueducto de la presa El Zapotillo y se lo vamos a tratar al gobernador, a Enrique Alfaro, porque hay coordinación; estamos ayudando y creo que también los presidentes municipales podrían ayudar. Pero vamos a ver qué se puede hacer y te damos respuesta.",0.0,58,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Muy bien.,0.0,2,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,Vamos con mujeres. Ustedes dos.,0.0,5,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Sí, pero vamos a esperar a que tengamos…",0.0,8,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Ah, aprovechando, ya llegó el agua a Monterrey.",0.0,8,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Ah, pues de una vez, sí, para… También informen al Reforma.",0.0,11,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Muchas felicidades a todos los trabajadores.,0.0,6,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," A las 5:00 de la mañana llegó, ya.",0.0,8,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR, Mil.,0.0,1,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," En diciembre, es la primera etapa. Son mil litros por segundo.",0.0,11,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Ya está, desde luego, todo el ducto, la tubería. Reforma decía que no se había terminado el ducto; ya está y ya inició la llegada del agua, el abasto de agua. Esto va a significar un incremento en el abasto como del 10 por ciento del total y cuando —van a ir entrando periódicamente—, cuando entre toda el agua, que son cinco mil litros por segundo, van a tener como 40, 50 por ciento más del agua disponible, lo que les va a permitir tener agua sin escasez mínimo seis años. Es una obra importantísima, sólo estos señores del Reforma y de El Norte no lo celebran, y viven allá, son de Nuevo León.",0.0,114,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero los domina el odio conservador, reaccionario, entonces son capaces de mentir y de calumniar. Es su costumbre la mentira, la calumnia, la manipulación.",0.0,24,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero, bueno, están los trabajadores, y me da mucho gusto porque seguramente ellos estuvieron toda la noche y se han aplicado ahí, trabajadores de agua del gobierno del estado de Nuevo León, de la Conagua; hay ingenieros militares que han estado trabajando constantemente.",0.0,43,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Pero eso qué le puede importar al señor Junco y a quienes escriben en ese periódico, si ellos son voceros del bloque conservador, de la oligarquía que se ha dedicado a saquear a México y a empobrecer a nuestro pueblo.",0.0,40,22,09,2023
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y están molestos con nosotros porque ya hay cambios. Cómo no van a estar molestos, si sus amigos, sus patrocinadores, ahora tienen que pagar impuestos y antes no pagaban. Nada más imagínense que ya tiene que pagar impuestos Larrea y el señor Fernández, el de los Oxxos; tuvo que pagar 12 mil millones de pesos, cómo les cae eso, si ellos son los que están financiando a estos medios, son sus voceros, son sus protectores, defensores. Pero, bueno, así es la democracia, no podemos todos pensar igual, tenemos visiones distintas.",0.0,90,22,09,2023
