Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
OSCAR DAVID LOZANO AGUILA, Muy buenos días a todas y a todos.,0.0,8,25,09,2023
OSCAR DAVID LOZANO AGUILA,"La Secretaría de la Defensa Nacional continúa cumpliendo su compromiso de informar el avance del proyecto integral Tren Maya en esta conferencia mañanera. El día de hoy informaremos sobre los avances en el tramo 1, el tramo 1 que tiene 226 kilómetros de vía y que recorre los tres estados de Chiapas, Tabasco y Campeche, desde Palenque hasta Escárcega, pasando por siete municipios y seis estaciones en total.",0.0,68,25,09,2023
OSCAR DAVID LOZANO AGUILA,"En este tramo construimos también un taller y una cochera en Escárcega. y una base de mantenimiento, para la vía que la estamos construyendo precisamente en Tenosique.",0.0,27,25,09,2023
OSCAR DAVID LOZANO AGUILA,"Esta infraestructura ferroviaria, de acuerdo con cifras del Inegi pretende beneficiar a más de 397 mil personas en toda esta región.",0.0,21,25,09,2023
OSCAR DAVID LOZANO AGUILA,Es muy importante comentar con ustedes que este tramo también considera la construcción de dos instalaciones importantes del sistema de carga del Tren Maya:,0.0,24,25,09,2023
OSCAR DAVID LOZANO AGUILA,La primera de ellas es la terminal de intercambio que se construirá a partir del próximo año en Palenque y que permitirá conectar al Corredor Interoceánico del Istmo de Tehuantepec con la asignación ferroviaria del Tren Maya.,0.0,37,25,09,2023
OSCAR DAVID LOZANO AGUILA,"Además, construimos un patio de operaciones en Escárcega, Campeche. Esto nos permitirá lograr capacidades de transportar combustible, cemento, acero, granos, perecederos, inclusive vehículos, entre otros de los artículos que se van a transportar a través del sistema ferroviario del tren.",0.0,40,25,09,2023
OSCAR DAVID LOZANO AGUILA,"En la siguiente, por favor, en general, el avance del tramo 1 ya lo llevamos conforme a lo proyectado, ya se concluyeron 185 kilómetros, se han concluido la mayoría de las 600 obras de infraestructura que se consideran para este proyecto. El avance de esta obra se ejemplifica aquí en la estación Escárcega y estamos a un 92 por ciento de avance; El Triunfo, 56; el bulevar Palenque en 98 por ciento y prácticamente ya se concluyó el Centro de Atención a Visitantes en Palenque, que lleva un 100 por ciento.",0.0,91,25,09,2023
OSCAR DAVID LOZANO AGUILA,"De los viaductos proyectados, que son las obras más complejas que están haciendo en este tramo, ya se concluyó el de Candelaria y se lleva un avance muy importante en los viaductos de Palenque, Tenosique y Escárcega, y hemos iniciado ya la construcción del puente de Boca del Cerro, que corre sobre el río Usumacinta, que explicará más adelante Joao.",0.0,60,25,09,2023
OSCAR DAVID LOZANO AGUILA,"En la siguiente, por favor, en relación al patrimonio arqueológico, se están mejorando tres zonas, que va a explicar más tarde Diego Prieto, Palenque, Moral Reforma y El Tigre; y la Secretaría de la Defensa Nacional está construyendo muy cerca de la zona arqueológica de Palenque un Hotel Tren Maya.",0.0,50,25,09,2023
OSCAR DAVID LOZANO AGUILA,"La siguiente, por favor. En general, las obras complementarias llevan un avance conforme a programa, como lo dije. Llevamos 11 de los 12 puentes proyectados en este tramo, el de Boca del Cerro está en proceso. Se han concluido 386 drenajes transversales de 387 proyectados; 174 pasos peatonales, vehiculares y de fauna de los 204 proyectos. Y todas estas obras han permitido generar más de 21 mil empleos en beneficio de la población de esta región y por supuesto del mismo número de familias.",0.0,84,25,09,2023
OSCAR DAVID LOZANO AGUILA,"Señor presidente, hemos avanzado con el proyecto conforme al programa. Cumpliremos con el compromiso de inaugurar el Tren Maya en diciembre de 2023, que nos va a permitir conocer, entre otros destinos turísticos importantes, la cascada ‘Roberto Barrios’, la iglesia el Señor de Tila, conocida como de Colores, el cañón del Usumacinta y la zona arqueológica espectacular de Palenque.",0.0,59,25,09,2023
OSCAR DAVID LOZANO AGUILA,"A continuación, me voy a permitir presentarles un breve video del avance del tramo 1 del Tren Maya.",0.0,18,25,09,2023
OSCAR DAVID LOZANO AGUILA,(INICIA VIDEO),0.0,2,25,09,2023
OSCAR DAVID LOZANO AGUILA,"VOZ DE MUJER: Tren Maya, reporte integral tramo 1, 25 de septiembre de 2023.",0.0,14,25,09,2023
OSCAR DAVID LOZANO AGUILA,"El Tren Maya sigue su avance en el tramo 1 a lo largo de los 226 kilómetros que van de Palenque, Chiapas, a Escárcega, Campeche: bulevar y estación Palenque, casetas de control Palenque, paso ferroviario ‘Gregorio Méndez’, estación Boca del Cerro, puente Boca del Cerro, viaducto Tenosique., puente San Pedro, estación El Triunfo, viaducto Candelaria, estación Candelaria, tendido de vía Escárcega, taller y cochera Escárcega, viaducto Escárcega, estación Escárcega.",0.0,69,25,09,2023
OSCAR DAVID LOZANO AGUILA,Faltan 87 días para la inauguración del Tren Maya en diciembre de 2023.,0.0,13,25,09,2023
OSCAR DAVID LOZANO AGUILA,(FINALIZA VIDEO),0.0,2,25,09,2023
OSCAR DAVID LOZANO AGUILA," Listo, señor presidente.",0.0,3,25,09,2023
