Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
LUIS CRESENCIO SANDOVAL GONZALEZ,"Con su permiso, señor presidente. Bien, continuando con el informe, en lo que es el personal que tenemos aplicando el Plan DN-III, Plan Marina y el Plan de la Guardia Nacional, permanecen los 24 mil permanecen los 24 mil 712 elementos; de ellos, son 14 mil 712 del Ejército, de la Fuerza Aérea y Marina, y 10 mil de la Guardia Nacional, apoyados con aeronaves, con embarcaciones, maquinaria pesada, plantas potabilizadoras y pipas de agua.",0.0,75,10,01,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"La Guardia Nacional, estos 10 mil elementos, también continúan su trabajo de patrullaje, control de tránsito y seguridad a las colonias de aquí de Acapulco, a instituciones bancaras, casetas de cobro, centros comerciales, estaciones de gasolina y también a las dependencias que están participando en lo que es la reconstrucción de Acapulco.",0.0,52,10,01,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"Sobre el plan de seguridad para este municipio y también para Coyuca de Benítez, ya se tienen los predios, 21 predios, que ya están preparados para poder iniciar ya la construcción, esperemos ya en las próximas semanas ya poder iniciar con nuestros ingenieros este proyecto; también, tenemos ya dos terrenos en donde se llevará a cabo la construcción de unidades habitacionales para el personal de la Guardia Nacional que estará aquí apoyando a Coyuca de Benítez y a Acapulco.",0.0,79,10,01,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"Sobre la entrega de paquetes de refrigerador, estufa, colchón, vajilla, ventilador y licuadora, se han entregado hasta la fecha 87 mil 668 paquetes a la población, a las familias.",0.0,29,10,01,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"Tenemos, enseguida, el programa, aquí vemos el programa de todos estos enseres, de estos paquetes que procederán de China. Estamos estimando el primer arribo el día 18 de enero, y ahí está para el 25 y el 29 de enero, y tenemos fechas para febrero, 8, 12, 15, 19 y 22 de febrero.",0.0,53,10,01,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"Este programa está ya coordinado con la Secretaría de Marina y con la Secretaría de la Defensa en cuanto al traslado de todos esos enseres, estufas y refrigeradores que llegarán a Lázaro Cárdenas y serán trasladados aquí al puerto de Acapulco, a través de barcos de la Secretaría de Marina y transportes de la Secretaría de la Defensa.",0.0,58,10,01,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,Por mi parte es todo. Cedo la palabra a la secretaria del Bienestar.,0.0,13,10,01,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"Con su permiso. Bien, estos enseres, hay dos artículos que son críticos, es con lo que estamos un poquito batallando y que fue, como menciona el señor presidente, de lo que se acudió a Asia a comprar, que son los refrigeradores y las estufas.",0.0,44,10,01,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"Entonces, la estrategia es entregar los paquetes completos. Los demás artículos los tenemos ya completos totalmente, los 250 mil, pero pues no podemos entregar por partes, sería más complicado, y lo que buscamos es entregar todos los artículos en paquetes de manera unitaria a las familias. Conforme nos están llegando las estufas y los refrigeradores, se arman los paquetes y se distribuyen en las colonias.",0.0,65,10,01,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"Hay una página que el gobierno del estado, la gobernadora, está diariamente estableciendo la información a qué colonias se va a asistir a entregar estos enseres. Entonces, ahí está el programa de entrega.",0.0,33,10,01,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"No es que vayamos a otras colonias que se nos ocurra ir, sino se programa, se coordina con el estado de acuerdo a los paquetes que tengamos disponibles. Desde la noche anterior se van y se mueven los vehículos desde muy temprano hacia a las áreas donde se estableció. Entonces, no es que no queramos entregar o nos falte la iniciativa por entregar, sino es la necesidad que tenemos de estos dos artículos.",0.0,73,10,01,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"Hemos coordinado con las empresas mexicanas para que con mayor rapidez nos hagan la entrega de estos artículos y podamos integrar esos paquetes. Inclusive con lo que va a llegar a partir del día 18 de enero tenemos una estrategia o estamos buscando que lo que vaya llegando, integrar de inmediato los paquetes e irlos distribuyendo a la población para poder concluir en la fecha que tenemos establecida, que es a finales de febrero.",0.0,74,10,01,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"Pero esa es la condición que tenemos para la entrega de estos paquetes, la disponibilidad de estos refrigeradores y la estufas, que son los artículos críticos en esta integración de esos enseres que tenemos que hacer llegar a la sociedad.",0.0,40,10,01,2024
LUIS CRESENCIO SANDOVAL GONZALEZ,"Veintiuno, más dos de las unidades habitacionales",0.0,7,10,01,2024
