Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"  Buenos días, su señoría. Matatero, terolá. Ánimo.",0.0,7,17,01,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Hoy vamos a informar, como todos los miércoles, sobre ‘Quién es quién en las mentiras de la semana’.",0.0,18,17,01,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"También, queremos dar a conocer todos los proyectos, o buena parte de los proyectos que se están realizando para la construcción de distritos de riego en beneficio de productores del campo, y también de acueductos, agua para ciudades, para municipios, que han padecido durante mucho tiempo de falta de agua.",0.0,50,17,01,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y son proyectos muy importantes, les diría que no se habían llevado a cabo en muchos años. El proyecto de instalar sistemas de riego para la agricultura, en seis sexenios anteriores, 36 años, significó incorporar al riego 22 mil hectáreas, y nosotros —y esto es un orgullo, pero no se conoce— vamos a dejar incorporadas al sistema de riego 100 mil hectáreas. De 22 mil hectáreas en 36 años a 100 mil hectáreas en cinco años, pero ni por aquí le pasa a muchos; entonces, sobre esto vamos a informar y también sobre, como les decía, el abasto de agua, son las dos cosas.",0.0,104,17,01,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"El ‘Quién es quién en las mentiras’, eso nada más para seguir alertando a la población, que tengan cuidado porque López-Dóriga, y Ciro, y Loret, y muchos están en modo… ¿Cómo se llama? No es modo avión.",0.0,37,17,01,2024
PREGUNTA, En nado sincronizado.,0.0,3,17,01,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," No, no, vamos a ponerle ‘modo amarillismo’, ‘modo sensacionalismo’, ‘modo nota roja’.",0.0,12,17,01,2024
PREGUNTA, Alarma!,0.0,1,17,01,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," ‘Modo Alarma!’ me gusta más, modo Alarma!",0.0,7,17,01,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Nada más que estén pendientes porque ayer hubo un accidente, se cayó, al momento del montaje, una trabe; ‘¡qué barbaridad!, ¡qué escandalo!’, todos, ¿eh? Sólo les faltó decir: ‘Lástima que no se murió nadie’",0.0,34,17,01,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Es vergonzoso, pero sí tenemos que estar advirtiendo que hay esta campaña. Es una guerra sucia muy intensificada porque estamos en temporada electoral, estamos en vísperas de elecciones presidenciales, entonces están desatados. Nada más que la gente tenga este antecedente para que se cubra, tenga un filtro y actúe de manera precavida, porque sí está fuerte el bombardeo.",0.0,58,17,01,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Por eso, vamos a seguir informando, replicando sobre todas estas mentiras, toda esta campaña de calumnias, que tiene el propósito de ayudar al bloque conservador, a los que se oponen a la transformación, a los que quieren que regresen los que se dedicaban a saquear al país, a robarse el presupuesto, a dejar en estado de indefensión al pueblo de México.",0.0,61,17,01,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, están desesperados. Se quedaron muy malacostumbrados. Y yo repito: sí quiero que regresen, pero lo que se llevaron.",0.0,19,17,01,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, vamos a la sección de ‘Quién es quién en las mentiras de la semana’.",0.0,15,17,01,2024
PREGUNTA, José Agustín.,0.0,2,17,01,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Ah, también, eso sí es… Lamentamos mucho el fallecimiento del gran escritor José Agustín.",0.0,14,17,01,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Para los jóvenes, son muy recomendables sus textos porque mezclaba José Agustín la parte cultural con la política, y escribía para jóvenes; también sus textos, que llamó la Tragicomedia mexicana, son lectura obligada para comprender cómo funcionaba el régimen autoritario y la corrupción que imperaba. Son textos muy buenos. Y un abrazo a sus familiares, a sus amigos. Un gran, gran escritor mexicano.",0.0,63,17,01,2024
PREGUNTA, ¿Qué novelas…?,0.0,2,17,01,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR," Yo me quedo con lo de la Tragicomedia mexicana porque tiene cosas excepcionales, hace un relato del funcionamiento del sistema político mexicano, de los acuerdos que se hacían entre el poder económico y el poder político.",0.0,36,17,01,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Narra como pocos cómo, después de que hay un enfrentamiento entre el gobierno del general Cárdenas con la oligarquía de entonces, sobre todo del Grupo Monterrey, al llegar Ávila Camacho, aunque el Grupo Monterrey y otros grupos económicos habían apoyado a Almazán en la elección presidencial, al llegar Ávila Camacho, que era moderado, se reúnen con el nuevo presidente y pactan para que el Estado les apoye no pagando impuestos, con créditos baratos. Y llegan a confesar que ya era distinto el gobierno, que no se podían entender con el general Cárdenas, pero que con Ávila Camacho sí, porque era moderado y buscaba la reconciliación. Lo cuenta de manera magistral.",0.0,110,17,01,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Y son historias que se repiten, porque cuando el presidente Echeverría quiere congraciarse con los empresarios, después de que asesinan malamente a don Eugenio Garza Sada y hay inconformidad, Echeverría les concede lo que se conoce como consolidación fiscal, un sistema por el cual alguien tiene una empresa fuerte y obtiene utilidades, y tiene que pagar impuestos por estas utilidades, pero mediante este sistema de consolidación fiscal esa empresa, esa compañía, puede crear tres, cuatro, cinco, 10 empresas como las factureras, o sea, fantasmas, y en esas empresas fantasma tiene pérdidas, no hay utilidad. Entonces, se une todo, la que gana y las que supuestamente pierden, y al final no hay utilidades. Y si no hay utilidades, pues no se paga impuestos.",0.0,122,17,01,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"López Portillo hace lo mismo. Se habla de Fobaproa de Zedillo, que convirtió las deudas privadas, también de banqueros y de empresarios, en deuda pública. Bueno, López Portillo también, rescató al Grupo Alfa con créditos de Banobras, créditos baratos. Pero esa ha sido la historia.",0.0,45,17,01,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Entonces, José Agustín es precursor, es iniciador con su talento, como pocos intelectuales, de poner al descubierto todos estos enjuagues. Porque ni modo que Krauze hable de eso, o Aguilar Camín, o Volpi, o Sheridan, no; en cambio, este señor que falleció sí. Por eso, todo nuestro respeto y toda nuestra admiración; y recomendado a los jóvenes.",0.0,57,17,01,2024
PRESIDENTE ANDRES MANUEL LOPEZ OBRADOR,"Bueno, ya.",0.0,2,17,01,2024
ANA ELIZABETH GARCIA VILCHIS," Con su permiso, señor presidente. Buenos días a todas, a todos.",0.0,11,17,01,2024
ANA ELIZABETH GARCIA VILCHIS,Esta es la sección ‘Quién es quién en las mentiras de la semana’. Hoy es 17 de enero del año 2024. Y vamos a iniciar con que es falso que haya hospitales en México que se encuentren saturados al 100 por ciento por repunte de COVID-19.,0.0,46,17,01,2024
ANA ELIZABETH GARCIA VILCHIS,"Esta semana han proliferado las notas y comentarios en medios y redes acerca de un aumento de casos de COVID-19 y la supuesta saturación de 16 hospitales con ocupación del 100 por ciento, lo cual, hay que decirlo, es falso.",0.0,40,17,01,2024
ANA ELIZABETH GARCIA VILCHIS,"La Secretaría de Salud desmintió esto, pero las notas continúan circulando, tal parece que se busca crear sicosis entre la población, lo cual, la verdad es que es muy irresponsable.  Salud aclaró que se cuenta con alta disponibilidad de camas hospitalarias para la atención de COVID-19.",0.0,46,17,01,2024
ANA ELIZABETH GARCIA VILCHIS,"Al 13 de enero pasado la ocupación de camas generales era del cinco por ciento y con ventilador sólo del uno por ciento. Imagínense de qué tamaño es esta mentira, decir que es del 100 por ciento, cuando solamente el uno por ciento de las camas con ventilador están ocupadas, y por supuesto que para nada es el 100 por ciento de saturación que han publicado diversos medios como El Financiero, Milenio, Imagen, El Heraldo, Radio Fórmula, Reporte Índigo, ADN 40, de TV Azteca, entre muchos otros.",0.0,87,17,01,2024
ANA ELIZABETH GARCIA VILCHIS,"De un total de cinco mil 489 camas reportadas por las unidades hospitalarias para la atención de pacientes con COVID, sólo 183 camas generales y 25 con ventilador estaban ocupadas. Además, la Secretaría de Salud federal informe que existe un descenso en la demanda de atención hospitalaria respecto a las olas epidemiológicas previas como resultado de la política de vacunación.",0.0,60,17,01,2024
ANA ELIZABETH GARCIA VILCHIS,"Si bien, hay que decirlo también, hay hospitales con un porcentaje mayor de camas ocupadas en el sistema de información de la red, esto se debe a que se atiende a personas con otras enfermedades en camas que en 2020 fueron consideradas para atender a pacientes con COVID, pero que ahora no se han requerido con ese fin.",0.0,58,17,01,2024
ANA ELIZABETH GARCIA VILCHIS,Pero ahora les vamos a profundizar un poquito más en el tema porque les vamos a presentar un trabajo sobre esta campaña de noticas falsas acerca del COVID-19. Este reportaje que vamos a ver fue difundido en el nuevo noticiero de medios públicos llamado Punto de referencia. Vamos a verlo.,0.0,50,17,01,2024
PREGUNTA," Que no te cuenten, los hospitales en México no están saturados por casos de COVID-19.",0.0,15,17,01,2024
