Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MAURICIO KURI GONZALEZ, Muchas gracias. Muy buenos días a los medios de comunicación.,0.0,10,22,01,2024
MAURICIO KURI GONZALEZ,"Y primero que nada darle la más cordial bienvenida a nuestro señor presidente, con quien hemos tenido una excelente relación, a quien le agradezco infinitamente siempre sus generosas palabras hacia un servidor, y creo que es una muestra cuando se trabaja en equipo que podemos llegar a lograr grandes cosas no importando los colores, sino siempre importando el bien de México y en este caso de nuestro Querétaro.",0.0,68,22,01,2024
MAURICIO KURI GONZALEZ,"Siempre he dicho que queremos que a nuestro presidente le vaya bien porque solamente aquel que no quiera a México quiere que al presidente le vaya mal, y aunque podamos tener diferentes visiones, los dos queremos lo mismo, que le vaya muy, pero muy bien.",0.0,45,22,01,2024
MAURICIO KURI GONZALEZ,"Y muy, muy agradecido, señor presidente, por venir aquí a Querétaro, su estado.",0.0,13,22,01,2024
MAURICIO KURI GONZALEZ,Hoy es un día muy especial. Tuvimos el gusto de sostener la reunión de seguridad hace unos minutos con las autoridades federales en donde refrendamos dos puntos sustantivos:,0.0,28,22,01,2024
MAURICIO KURI GONZALEZ,"El primero de ellos es estructural. En Querétaro creemos en la coordinación, la cooperación, en el intercambio de información entre los órdenes de gobierno, y enarbolamos la política del respeto y la unidad, y que ya sabemos que juntos, que juntos logramos más.",0.0,43,22,01,2024
MAURICIO KURI GONZALEZ,"El segundo es el resultado de esta visión. Querétaro se mantiene como uno de los estados que vive en paz. No estamos exentos de desafíos, de dificultades ni de delitos, pero mantenemos el imperio de la ley; se vive con orden y el orden facilita la prosperidad que las familias merecen.",0.0,51,22,01,2024
MAURICIO KURI GONZALEZ,"Gracias a esos dos pilares, Querétaro es el estado número 24 con menor tasa de homicidios, una tasa de ocho por cada 100 mil habitantes, somos el número 25 con menor número de feminicidios. Y en los próximos días vamos a inaugurar el edificio que concentrará la más moderna tecnología a nivel global en materia de prevención, reacción inmediata e investigación científica para proteger a las familias queretanas.",0.0,68,22,01,2024
MAURICIO KURI GONZALEZ,"Gracias a la paz que vivimos podemos construir bien común. Somos el segundo estado más competitivo del país y el año pasado generamos más de 32 mil empleos, que superó la expectativa de 25 mil empleos que teníamos en expectativa a principios del 2023.",0.0,44,22,01,2024
MAURICIO KURI GONZALEZ,"Somos la séptima entidad con mayor ingreso del país, lo que nos ha permitido ser uno de los ocho estados de la República con mayor clase media en todo el país.",0.0,31,22,01,2024
MAURICIO KURI GONZALEZ,"Como senador aprobé la iniciativa del señor presidente para que los programas sociales fueran incluidos en la Constitución. Soy un creyente que el empleo formal bien pagado es la mejor forma de progreso, pero mientras este llega la gente necesita que le echemos la mano.",0.0,45,22,01,2024
MAURICIO KURI GONZALEZ,"Congruente con esto, a mi llegada como gobernador me propuse complementar los programas sociales federales con una gran red de protección e impulso social estatal y en Querétaro creemos en la solidaridad y en tender el hombro al prójimo.",0.0,39,22,01,2024
