Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
JESUS RAMIREZ CUEVAS,(Inaudible),0.0,1,23,01,2024
JESUS RAMIREZ CUEVAS, Trump está arriba.,0.0,3,23,01,2024
JESUS RAMIREZ CUEVAS,Esos son un plus de todas las encuestas en Estados Unidos.,0.0,11,23,01,2024
JESUS RAMIREZ CUEVAS, De Morning…,0.0,2,23,01,2024
JESUS RAMIREZ CUEVAS," Esta es de hace cuatro días, o sea, lo azul es Biden y lo rojo es Trump.",0.0,17,23,01,2024
JESUS RAMIREZ CUEVAS,"Entonces, van, digamos, en las preferencias son un 40 por ciento a favor de Biden y 45 Trump, según.",0.0,19,23,01,2024
JESUS RAMIREZ CUEVAS," Sí, en la tarde, en Radio Fórmula.",0.0,7,23,01,2024
JESUS RAMIREZ CUEVAS,: Ahora le van a dar un matutino.,0.0,8,23,01,2024
JESUS RAMIREZ CUEVAS, Sí.,0.0,1,23,01,2024
JESUS RAMIREZ CUEVAS," Pues desde que entramos, desde el 19. O sea, tiene ya…",0.0,11,23,01,2024
JESUS RAMIREZ CUEVAS, De Valle de Bravo.,0.0,4,23,01,2024
JESUS RAMIREZ CUEVAS,: …el uso de la mentira como arma política.,0.0,9,23,01,2024
JESUS RAMIREZ CUEVAS, Sí.,0.0,1,23,01,2024
JESUS RAMIREZ CUEVAS," Sí, es que dice que mientras más mentiras se digan contra Morena, mejor le va, pero nada más tenemos esa frase, con esa frase.",0.0,24,23,01,2024
JESUS RAMIREZ CUEVAS, Y también habló de Trump y Biden.,0.0,7,23,01,2024
JESUS RAMIREZ CUEVAS, Lo de la encuesta que hacen de Trump y Biden.,0.0,10,23,01,2024
JESUS RAMIREZ CUEVAS, Esto es lo del Inegi.,0.0,5,23,01,2024
JESUS RAMIREZ CUEVAS, Vamos a poner la gráfica en grande.,0.0,7,23,01,2024
JESUS RAMIREZ CUEVAS, Alazraki.,0.0,1,23,01,2024
