Participante,Texto,Sentimiento,Palabras,Dia,Mes,Anio
MANUEL MUÑOZCANO CASTRO," Muy buenos días a todos y a todas. Con su permiso, señor presidente.",0.0,13,08,01,2024
MANUEL MUÑOZCANO CASTRO,"Nosotros, Grupo Indi, estamos a cargo del tramo 5 Sur B, que corre de Puerto Aventuras a Akumal, que consta de 20.3 kilómetros, de los cuales 12 kilómetros van sobre viaducto, ocho kilómetros van sobre losa, sobre terraplén sobre losa, y 300 metros de un puente atirantado.",0.0,47,08,01,2024
MANUEL MUÑOZCANO CASTRO,"Al momento llevamos ejecutadas ya más de dos mil pilas coladas ahí en el tramo, mil 400 columnas ya construidas, 325 cabezales montados y colados, así como mil 750 trabes montadas; ya llevamos más de 10 mil 800 tabletas montadas al día de hoy, así como 3.5 kilómetros de losa sobre viaducto al momento de la obra.",0.0,57,08,01,2024
MANUEL MUÑOZCANO CASTRO,"En cuanto a terraplén sobre losa, ya se tiene el 100 por ciento de la losa de concreto terminada, que son los ocho kilómetros el terraplén, se lleva 4.4 kilómetros; en cuanto a balasto, se lleva cuatro, subalastos se llevan cuatro kilómetros ya colocados.",0.0,44,08,01,2024
MANUEL MUÑOZCANO CASTRO,"En el puente Garra de Jaguar, la estructura ya se encuentra 100 por ciento fabricada, el 80 por ciento de la estructura ya está en el tramo 5 Sur B, el otro 20 por ciento ya está en Guadalajara y estará llegando al 100 por ciento en los próximos días.",0.0,50,08,01,2024
MANUEL MUÑOZCANO CASTRO,"Asimismo, ya se tiene cinco columnas coladas, dos cabezales construidos, ya más de 100 pilas coladas, así como cinco zapatas ya coladas.",0.0,22,08,01,2024
MANUEL MUÑOZCANO CASTRO,La siguientes es una imagen de cómo se está armando los módulos del puente atirantado de estructura metálica.,0.0,18,08,01,2024
MANUEL MUÑOZCANO CASTRO,"También, informar de los empleos generados, empleos generados indirectos son más de cinco mil 200 empleos, así como empleos activos son dos mil 670 empleos activos.",0.0,26,08,01,2024
MANUEL MUÑOZCANO CASTRO,El avance general que tenemos en la obra es de un 60 por ciento y vamos avanzando.,0.0,17,08,01,2024
MANUEL MUÑOZCANO CASTRO,Les vamos a presentar un pequeño video de un minuto y medio para que puedan ver el avance de la obra.,0.0,21,08,01,2024
